probability,move,scenario_no,loss,move_no
[0.10444903],1,6,[2.9559152],1
[0.09738326],1,18,[2.9499376],2
[0.09084497],1,13,[2.9506543],3
[0.08888436],1,9,[2.9668863],4
[0.10005818],6,16,[2.9785495],5
[0.10792939],6,4,[2.9226668],6
[0.11608301],6,1,[2.9220493],7
[0.11602678],6,13,[2.9155674],8
[0.11864752],6,8,[2.9607527],9
[0.11547048],6,2,[2.9808404],10
[0.1170416],4,4,[2.8807135],11
[0.13297732],4,4,[2.8648841],12
[0.15032929],4,19,[2.98221],13
[0.1792221],4,6,[2.8943982],14
[0.2014042],4,7,[2.9777248],15
[0.2153035],4,9,[2.9478037],16
[0.23063903],4,16,[2.9721465],17
[0.24171647],4,10,[2.979774],18
[0.2534775],4,8,[2.954302],19
[0.27713954],4,11,[2.9856849],20
[0.282698],4,4,[2.7165914],21
[0.3010275],4,6,[2.8721826],22
[0.31428605],4,10,[2.9813614],23
[0.35288176],4,4,[2.647517],24
[0.37573096],4,9,[2.9460964],25
[0.4040394],4,3,[2.9930866],26
[0.43612936],4,9,[2.94698],27
[0.46031484],4,7,[2.9871268],28
[0.47493356],4,5,[2.9996877],29
[0.47999534],4,16,[2.9780383],30
[0.5012285],4,9,[2.9380298],31
[0.50224316],4,6,[2.8711987],32
[0.4878744],4,10,[2.9873452],33
[0.5023312],4,11,[2.9935565],34
[0.4696087],4,12,[2.9971538],35
[0.45818758],4,19,[2.9930117],36
[0.4446659],4,6,[2.8249533],37
[0.41728365],4,8,[2.9656277],38
[0.42986515],4,14,[2.999996],39
[0.3706146],4,15,[2.9989407],40
[0.3454056],4,10,[2.9789886],41
[0.34589338],4,2,[2.9904425],42
[0.316717],4,1,[2.9666448],43
[0.29988968],4,9,[2.8729258],44
[0.30544388],6,10,[2.9721622],45
[0.28315234],6,2,[2.9891121],46
[0.2843457],6,4,[2.7251377],47
[0.2863585],6,18,[2.9761615],48
[0.2800696],6,3,[2.9934826],49
[0.27146035],6,3,[2.9932683],50
[0.3049712],4,4,[2.695927],51
[0.29529354],4,2,[2.986796],52
[0.30075276],4,7,[2.9843554],53
[0.3346052],4,11,[2.9881504],54
[0.33163178],4,8,[2.9574234],55
[0.35175565],4,19,[2.9900146],56
[0.3493731],4,17,[2.9945252],57
[0.3866685],4,11,[2.9876194],58
[0.3738998],4,7,[2.9829068],59
[0.37473002],4,15,[2.998467],60
[0.38630652],4,18,[2.973687],61
[0.3846124],4,19,[2.9886434],62
[0.38398612],4,5,[2.9985938],63
[0.38612643],4,9,[2.8595307],64
[0.37451127],4,9,[2.8493257],65
[0.34836355],4,3,[2.9897919],66
[0.3274936],4,7,[2.973761],67
[0.3180511],4,9,[2.789243],68
[0.28869742],4,18,[2.961129],69
[0.2667716],4,3,[2.987392],70
[0.28196287],9,2,[2.9803634],71
[0.3033583],4,4,[2.6978934],72
[0.3240727],9,12,[2.9942205],73
[0.34252396],9,1,[2.9668844],74
[0.33449757],9,8,[2.9542835],75
[0.36462796],9,9,[2.6367955],76
[0.37962475],9,1,[2.967362],77
[0.38619626],9,11,[2.9877062],78
[0.42657238],9,6,[2.922983],79
[0.4250181],9,12,[2.9965818],80
[0.43580535],9,15,[3.0000403],81
[0.44981086],9,5,[3.001165],82
[0.45675236],9,5,[3.001306],83
[0.4748401],9,18,[2.9619062],84
[0.43648306],9,14,[3.0015166],85
[0.470063],9,3,[2.9896195],86
[0.46990147],9,6,[2.924137],87
[0.43493783],9,8,[2.9544375],88
[0.42730564],9,11,[2.9862175],89
[0.40630984],9,8,[2.9461722],90
[0.3879004],9,8,[2.9388504],91
[0.38780028],9,12,[2.993137],92
[0.41602123],9,9,[2.5859065],93
[0.38741294],9,1,[2.9557166],94
[0.37442002],9,15,[2.9975853],95
[0.39376077],9,4,[2.7686563],96
[0.42758578],9,19,[2.992361],97
[0.38120368],9,5,[2.9985137],98
[0.37195906],9,11,[2.9792655],99
[0.38142964],9,3,[2.9846375],100
[0.3509507],9,15,[2.9971185],101
[0.370489],9,6,[2.9019663],102
[0.34474397],9,13,[2.9816263],103
[0.32928196],9,7,[2.9806101],104
[0.30911744],9,2,[2.9858496],105
[0.30246565],9,5,[2.9966583],106
[0.3173954],9,18,[2.9554424],107
[0.28097233],9,5,[2.9959033],108
[0.3209972],9,19,[2.9893227],109
[0.24892849],9,8,[2.8696268],110
[0.2457617],9,17,[2.9943445],111
[0.23767252],9,5,[2.9939098],112
[0.23046027],9,7,[2.9749193],113
[0.29095018],9,9,[2.7090147],114
[0.22745821],9,5,[2.9923558],115
[0.23527743],9,15,[2.9936411],116
[0.2434478],9,2,[2.9823167],117
[0.2673014],9,3,[2.9788954],118
[0.27430698],9,12,[2.9894102],119
[0.270209],9,7,[2.9704628],120
[0.26643512],9,2,[2.9804444],121
[0.27721706],9,7,[2.966636],122
[0.25282288],9,8,[2.8200912],123
[0.2715008],9,7,[2.9603853],124
[0.26001972],9,11,[2.971149],125
[0.3723132],9,9,[2.6286922],126
[0.28919494],9,6,[2.893884],127
[0.27619955],9,11,[2.9705],128
[0.27814838],9,15,[2.993205],129
[0.28354228],9,14,[2.998404],130
[0.40461215],9,19,[2.9909878],131
[0.2982107],9,17,[2.9957385],132
[0.30177242],9,14,[2.9985368],133
[0.30587888],9,17,[2.9957912],134
[0.30832022],9,15,[2.9924834],135
[0.35911325],9,1,[2.97107],136
[0.30815932],9,17,[2.9954622],137
[0.34066582],9,6,[2.8848202],138
[0.29795787],9,15,[2.989833],139
[0.32270956],9,6,[2.8692076],140
[0.29540178],9,12,[2.9889092],141
[0.28111753],9,12,[2.9881375],142
[0.28224343],9,10,[2.9853036],143
[0.26422557],9,16,[2.9902196],144
[0.26441926],9,1,[2.9674516],145
[0.28105],9,18,[2.9672813],146
[0.23241535],9,6,[2.7784185],147
[0.20910196],6,17,[2.9923754],148
[0.2772535],9,19,[2.9860182],149
[0.26817587],6,1,[2.964925],150
[0.26072237],6,8,[2.8458514],151
[0.2664173],6,11,[2.9522095],152
[0.27361217],6,3,[2.9830103],153
[0.27711552],6,18,[2.9666984],154
[0.3348422],6,6,[2.6654515],155
[0.31105545],6,19,[2.98475],156
[0.32394195],6,17,[2.9923708],157
[0.31659123],6,14,[2.9977884],158
[0.37053478],6,5,[2.9928796],159
[0.41578755],6,1,[2.9648888],160
[0.3800617],6,11,[2.9468808],161
[0.44333804],6,16,[2.994435],162
[0.43573287],6,1,[2.9622507],163
[0.43791258],6,10,[2.9897382],164
[0.41210133],6,7,[2.9671335],165
[0.47842488],6,6,[2.5248096],166
[0.3958528],6,8,[2.8479595],167
[0.40665695],6,8,[2.8435836],168
[0.41381618],6,11,[2.931498],169
[0.4240372],6,5,[2.9940708],170
[0.3987448],6,17,[2.993972],171
[0.45772192],6,9,[2.884243],172
[0.35248816],6,12,[2.989439],173
[0.3949838],6,19,[2.9881546],174
[0.34636626],6,18,[2.9708643],175
[0.38050365],6,10,[2.9884193],176
[0.3117984],6,18,[2.966876],177
[0.28846028],6,12,[2.9868257],178
[0.26510537],6,14,[2.9981108],179
[0.3157819],6,1,[2.947592],180
[0.28543133],6,15,[2.993441],181
[0.27266774],6,15,[2.9930465],182
[0.37678647],6,6,[2.6246035],183
[0.2738506],6,19,[2.9816673],184
[0.3198459],6,1,[2.9365704],185
[0.2905098],6,11,[2.912669],186
[0.30531666],6,5,[2.9922266],187
[0.29015464],6,4,[2.8664558],188
[0.26790962],6,14,[2.9972343],189
[0.26999238],6,2,[2.9879992],190
[0.36083844],6,15,[2.9920971],191
[0.5187615],6,6,[2.4857228],192
[0.28156522],6,4,[2.7887497],193
[0.58538425],6,6,[2.421342],194
[0.35740525],6,12,[2.9862602],195
[0.6804353],6,6,[2.3302271],196
[0.49572244],6,17,[2.9976504],197
[0.7775811],6,6,[2.2380471],198
[0.78938395],6,16,[3.0138383],199
[0.72263944],6,5,[3.0099144],200
[0.74076295],6,19,[3.0060108],201
[0.6628374],6,13,[3.0064301],202
[0.5660554],6,4,[2.748262],203
[0.7143255],6,12,[3.0066237],204
[0.8453536],6,1,[3.0081303],205
[0.8217559],6,1,[3.0058622],206
[0.46867037],4,4,[2.5372772],207
[0.6445119],6,7,[3.0026922],208
[0.45841777],6,11,[2.9850836],209
[0.6644902],4,4,[2.3460848],210
[0.64445674],6,16,[3.007328],211
[0.6122996],4,10,[3.006734],212
[0.71837187],4,1,[2.9941444],213
[0.7660251],4,1,[2.9973824],214
[0.8291614],4,13,[3.0162582],215
[0.8429014],4,13,[3.0172052],216
[0.8327749],4,3,[3.0173626],217
[0.8481403],4,18,[3.013145],218
[0.8055868],4,16,[3.0145607],219
[0.78328663],4,6,[2.891908],220
[0.7946828],4,16,[3.0137086],221
[0.66976583],4,6,[2.7859945],222
[0.8118356],4,12,[3.0123184],223
[0.860262],4,4,[2.160422],224
[0.78520566],6,6,[2.2312586],225
[0.6378964],4,12,[2.9999828],226
[0.8528157],6,16,[3.018699],227
[0.44659927],4,18,[2.9903471],228
[0.6055115],6,11,[2.9897509],229
[0.7311915],6,17,[3.0106966],230
[0.87557423],6,1,[3.0112572],231
[0.76059586],6,8,[2.9802766],232
[0.5905911],6,2,[3.0009995],233
[0.8493201],6,9,[2.9912562],234
[0.81053597],6,5,[3.015399],235
[0.7923585],6,5,[3.0139914],236
[0.90237916],6,15,[3.0220578],237
[0.87167746],6,10,[3.0190692],238
[0.87666357],6,15,[3.0197866],239
[0.6612969],6,19,[3.0015924],240
[0.6063987],6,19,[2.998027],241
[0.46356466],6,12,[2.9775035],242
[0.59787124],6,9,[2.9248137],243
[0.40997177],6,17,[2.9948168],244
[0.64242667],4,4,[2.3666298],245
[0.3146674],6,8,[2.8993473],246
[0.33388123],6,7,[2.981251],247
[0.3239209],4,9,[2.8676581],248
[0.86354655],6,6,[2.157328],249
[0.35254002],6,15,[2.9921343],250
[0.5262931],6,16,[2.9980736],251
[0.3569887],4,8,[2.901086],252
[0.43070632],4,19,[2.991356],253
[0.5231456],6,16,[2.9979422],254
[0.38683453],4,12,[2.968653],255
[0.32325214],6,15,[2.9905581],256
[0.3040029],4,1,[2.939591],257
[0.31706607],4,17,[2.9922569],258
[0.30193678],4,17,[2.991694],259
[0.4755016],6,16,[2.995366],260
[0.314314],4,11,[2.966596],261
[0.56230557],4,13,[2.9965467],262
[0.2655682],4,12,[2.9475257],263
[0.61230004],4,14,[3.00668],264
[0.19085136],8,8,[2.8081896],265
[0.19144289],8,17,[2.9870062],266
[0.18202549],8,1,[2.9220936],267
[0.21811947],8,7,[2.977235],268
[0.20914157],9,9,[2.789995],269
[0.4072467],4,14,[2.9999216],270
[0.25237486],8,17,[2.984534],271
[0.20705028],8,18,[2.9631796],272
[0.21733811],8,1,[2.90981],273
[0.24780454],8,10,[2.98437],274
[0.23236322],8,3,[2.990096],275
[0.23111059],9,19,[2.9823053],276
[0.19643065],9,18,[2.9588044],277
[0.19544938],8,1,[2.88024],278
[0.21248364],8,3,[2.9887455],279
[0.21021543],8,7,[2.9747617],280
[0.19359282],8,11,[2.960432],281
[0.24493536],8,8,[2.7541137],282
[0.7942512],6,6,[2.2223256],283
[0.23716402],8,10,[2.9833038],284
[0.32966805],9,9,[2.6706486],285
[0.24791783],8,5,[2.993744],286
[0.23973364],8,3,[2.9881542],287
[0.19348194],8,14,[2.9966776],288
[0.2490175],6,1,[2.8665285],289
[0.25048497],8,2,[2.993416],290
[0.21891415],8,3,[2.9880996],291
[0.3639575],9,19,[2.9848678],292
[0.32486117],6,10,[2.9868226],293
[0.19678813],1,14,[2.9968493],294
[0.23156585],6,1,[2.834933],295
[0.20042466],6,7,[2.9779422],296
[0.23206468],1,14,[2.9968548],297
[0.22089073],1,3,[2.9845207],298
[0.23732078],1,3,[2.9836023],299
[0.2688089],1,17,[2.9860635],300
[0.27880982],1,14,[2.9965339],301
[0.28216195],1,18,[2.9611316],302
[0.89395577],6,6,[2.1289897],303
[0.2965256],1,14,[2.9956303],304
[0.27096453],1,8,[2.7457561],305
[0.29475605],1,5,[2.9952717],306
[0.29255566],1,18,[2.9555006],307
[0.2604969],1,3,[2.9743586],308
[0.2778729],1,18,[2.9506607],309
[0.26819792],8,2,[2.9949498],310
[0.27527654],8,7,[2.9756238],311
[0.37353668],8,8,[2.627621],312
[0.37138876],8,17,[2.9850957],313
[0.37338156],8,10,[2.9816897],314
[0.23867305],8,19,[2.9844306],315
[0.55206597],6,16,[3.0026205],316
[0.4272351],8,11,[2.9647324],317
[0.491226],6,16,[3.000963],318
[0.4319612],8,1,[2.8597376],319
[0.48103562],8,12,[2.9873233],320
[0.5189904],8,17,[2.9880319],321
[0.48961756],8,10,[2.982719],322
[0.45970342],8,15,[2.9978597],323
[0.32434916],8,14,[2.9914176],324
[0.42650983],8,3,[2.9698067],325
[0.33816785],8,16,[2.9961257],326
[0.3866466],8,3,[2.9615843],327
[0.36602226],8,12,[2.9809563],328
[0.34675592],8,5,[2.9952576],329
[0.3232405],8,5,[2.9947608],330
[0.2449775],8,18,[2.9154887],331
[0.33021307],4,4,[2.6702087],332
[0.30441386],8,17,[2.9729125],333
[0.2258242],8,2,[2.9924011],334
