probability,move,scenario_no,loss,move_no
[0.13197663],13,19,[2.9416263],1
[0.12945242],13,7,[2.9626899],2
[0.1299028],13,12,[2.9864154],3
[0.13117652],13,2,[2.9446445],4
[0.13015613],13,15,[2.964776],5
[0.12796526],13,13,[2.8695276],6
[0.12996662],13,4,[2.9084122],7
[0.13092749],13,17,[2.9727626],8
[0.13259251],13,18,[2.9725006],9
[0.13246404],13,4,[2.9064403],10
[0.13217193],13,12,[2.9858887],11
[0.13183771],13,7,[2.9599493],12
[0.13597004],13,9,[2.9411976],13
[0.13706718],13,5,[2.956747],14
[0.13386595],13,12,[2.9856799],15
[0.13584748],13,18,[2.971934],16
[0.13614583],13,2,[2.9413843],17
[0.13440664],13,12,[2.9854949],18
[0.13774393],13,8,[2.9250317],19
[0.1347337],13,13,[2.862781],20
[0.13629705],13,19,[2.9352746],21
[0.13580939],13,3,[2.975325],22
[0.13991578],13,5,[2.9556942],23
[0.137293],13,10,[2.9374115],24
[0.13940594],13,14,[2.9519792],25
[0.13742521],13,12,[2.9851384],26
[0.13875467],13,19,[2.9341016],27
[0.13991243],13,1,[2.977921],28
[0.13805622],13,3,[2.9749415],29
[0.13978639],13,2,[2.9394355],30
[0.1424316],13,6,[2.9215548],31
[0.13911213],13,4,[2.9005477],32
[0.14119887],13,8,[2.9238176],33
[0.13978864],13,1,[2.9776192],34
[0.14090586],13,8,[2.9233096],35
[0.13910174],13,18,[2.9707127],36
[0.13829792],13,19,[2.9321747],37
[0.1369718],13,12,[2.9847972],38
[0.14116432],13,6,[2.9200819],39
[0.13979158],13,8,[2.9212272],40
[0.13856877],13,14,[2.951393],41
[0.13832547],13,14,[2.9512537],42
[0.13577284],13,12,[2.9846487],43
[0.13764955],13,1,[2.9771738],44
[0.13573378],13,13,[2.8617926],45
[0.13623555],13,10,[2.937151],46
[0.13957176],13,8,[2.9182878],47
[0.13699645],13,10,[2.9368117],48
[0.14019392],13,8,[2.917267],49
[0.14002569],13,9,[2.941307],50
[0.13831998],13,19,[2.9305215],51
[0.13823986],13,17,[2.973011],52
[0.1396633],13,1,[2.9768884],53
[0.1377374],13,10,[2.9350402],54
[0.13849129],13,11,[2.939482],55
[0.1385639],13,4,[2.9012604],56
[0.14169025],13,6,[2.9177942],57
[0.1393171],13,14,[2.9491973],58
[0.13684495],13,3,[2.9753194],59
[0.1373645],13,17,[2.9728858],60
[0.13643394],13,12,[2.9844134],61
[0.13623607],13,12,[2.9843814],62
[0.13833742],13,14,[2.948616],63
[0.13888633],13,8,[2.9123952],64
[0.13581592],13,10,[2.9325998],65
[0.13432768],13,7,[2.960715],66
[0.13955788],13,6,[2.9164124],67
[0.1350019],13,10,[2.931702],68
[0.13812321],13,5,[2.9566162],69
[0.13419257],13,3,[2.9751837],70
[0.13825937],13,6,[2.9151044],71
[0.13579884],13,14,[2.947241],72
[0.13610916],13,8,[2.9102414],73
[0.1351437],13,14,[2.9468207],74
[0.13612278],13,5,[2.9561048],75
[0.134117],13,15,[2.9663625],76
[0.13323112],13,4,[2.9017355],77
[0.13284665],13,2,[2.9417977],78
[0.13246533],13,4,[2.9012785],79
[0.13352744],13,8,[2.908306],80
[0.1338294],13,5,[2.9553354],81
[0.1325857],13,16,[2.9736047],82
[0.12955478],13,12,[2.9839427],83
[0.12916362],13,12,[2.9839134],84
[0.1292739],13,17,[2.9721107],85
[0.13057402],13,14,[2.9448636],86
[0.12688297],13,7,[2.9611192],87
[0.12950993],13,15,[2.9657266],88
[0.12769988],13,13,[2.8698359],89
[0.12915546],13,18,[2.9715388],90
[0.13230029],13,6,[2.9115374],91
[0.13097513],13,8,[2.9058068],92
[0.13191438],13,5,[2.9541388],93
[0.12743905],13,7,[2.9608293],94
[0.1329009],13,6,[2.9102807],95
[0.129097],13,13,[2.8684483],96
[0.13072765],13,18,[2.9714596],97
[0.12877525],13,7,[2.9605207],98
[0.13470851],13,6,[2.908214],99
[0.13218679],13,4,[2.8988519],100
[0.13251819],13,4,[2.8985612],101
