probability,move,scenario_no,loss,move_no
[0.11007171],14,6,[2.9586322],1
[0.10835858],14,2,[2.9363668],2
[0.1108599],14,12,[2.9155612],3
[0.10851673],14,17,[2.96074],4
[0.10982044],14,4,[2.9623165],5
[0.1079087],14,10,[2.9269233],6
[0.10899792],14,1,[2.951261],7
[0.1098619],14,5,[2.910698],8
[0.10922723],14,4,[2.9619927],9
[0.10760171],14,7,[2.9455233],10
[0.10934982],14,15,[2.9632878],11
[0.10818169],14,1,[2.9508958],12
[0.108888],14,9,[2.9612458],13
[0.10660771],14,19,[2.968198],14
[0.10927221],14,14,[2.8881135],15
[0.10781559],14,1,[2.9505303],16
[0.1079592],14,1,[2.9504235],17
[0.10864092],14,4,[2.9614902],18
[0.10908521],14,9,[2.9609385],19
[0.11101241],14,13,[2.9648917],20
[0.10757175],14,11,[2.9756165],21
[0.1072171],14,19,[2.9678876],22
[0.10947976],14,18,[2.9413006],23
[0.1095466],14,15,[2.9628801],24
[0.10901643],14,6,[2.957329],25
[0.11021516],14,14,[2.8871684],26
[0.10815731],14,16,[2.905444],27
[0.10789803],14,7,[2.9448164],28
[0.10841002],14,16,[2.9052095],29
[0.10825946],14,11,[2.975426],30
[0.11021656],14,15,[2.9626956],31
[0.10840598],14,17,[2.9598346],32
[0.11037168],14,15,[2.962621],33
[0.11107672],14,14,[2.8863094],34
[0.11055882],14,18,[2.9410965],35
[0.110176],14,6,[2.957166],36
[0.11260215],14,13,[2.9646916],37
[0.10864747],14,19,[2.9674456],38
[0.11111304],14,5,[2.910535],39
[0.11120361],14,5,[2.9104571],40
[0.11195107],14,3,[2.9679732],41
[0.11131962],14,15,[2.9623008],42
[0.11090297],14,4,[2.9610314],43
[0.11210275],14,3,[2.9679065],44
[0.11035975],14,1,[2.9491835],45
[0.11084512],14,6,[2.956842],46
[0.11317513],14,13,[2.9644902],47
[0.11141287],14,18,[2.9407394],48
[0.11216148],14,3,[2.9676945],49
[0.11214335],14,3,[2.9676328],50
[0.10946669],14,17,[2.95968],51
[0.11171019],14,12,[2.915926],52
[0.10928392],14,7,[2.9448185],53
[0.11020127],14,1,[2.9490504],54
[0.11133768],14,5,[2.9094062],55
[0.11112994],14,18,[2.9403453],56
[0.10925587],14,11,[2.9752831],57
[0.11279152],14,13,[2.9642105],58
[0.10940373],14,16,[2.9045534],59
[0.11171337],14,3,[2.9671419],60
[0.10983983],14,1,[2.9488082],61
[0.11088412],14,15,[2.9619467],62
[0.10853579],14,2,[2.9365926],63
[0.10886848],14,11,[2.9751756],64
[0.11060098],14,18,[2.939882],65
[0.10951547],14,1,[2.9485028],66
[0.11126849],14,3,[2.96692],67
[0.10821153],14,10,[2.9283113],68
[0.11025125],14,9,[2.9607148],69
[0.10980222],14,4,[2.9608572],70
[0.10958239],14,6,[2.956649],71
[0.11179549],14,13,[2.963892],72
[0.10893549],14,1,[2.9480882],73
[0.10889784],14,8,[2.96424],74
[0.11058886],14,3,[2.9666517],75
[0.10785353],14,17,[2.959472],76
[0.10985893],14,5,[2.9092412],77
[0.1080155],14,16,[2.90453],78
[0.10980927],14,12,[2.9163756],79
[0.10935234],14,9,[2.9605668],80
[0.10748277],14,11,[2.9749002],81
[0.10949243],14,5,[2.908967],82
[0.10910027],14,18,[2.9392962],83
[0.10698459],14,10,[2.9281273],84
[0.1079479],14,1,[2.9476864],85
[0.10958249],14,14,[2.8877954],86
[0.10895868],14,9,[2.9604647],87
[0.10717017],14,7,[2.9450808],88
[0.10758243],14,16,[2.9042056],89
[0.11084934],14,13,[2.963751],90
[0.10875995],14,4,[2.9608157],91
[0.10816552],14,1,[2.9474316],92
[0.10709696],14,19,[2.9677556],93
[0.10740909],14,11,[2.9748435],94
[0.10918618],14,18,[2.9391482],95
[0.10923485],14,9,[2.9602067],96
[0.10992505],14,14,[2.8874555],97
[0.10941152],14,15,[2.9619644],98
[0.10952532],14,15,[2.9619443],99
[0.10806316],14,16,[2.9034114],100
[0.10911545],14,6,[2.9569054],101
[0.10868224],14,1,[2.9469414],102
[0.10764028],14,19,[2.9676025],103
[0.10800641],14,11,[2.9747157],104
[0.10797918],14,7,[2.9449496],105
[0.11165348],14,13,[2.9636497],106
[0.11024801],14,5,[2.9087648],107
[0.10776305],14,10,[2.9286003],108
[0.10778772],14,19,[2.967406],109
[0.10809409],14,17,[2.959742],110
[0.10951379],14,4,[2.9607778],111
[0.10805377],14,17,[2.9596782],112
[0.11062583],14,3,[2.9668329],113
[0.10798709],14,11,[2.9745266],114
[0.10756642],14,2,[2.9380534],115
[0.10757709],14,19,[2.9671283],116
[0.11140541],14,13,[2.9634645],117
[0.10969406],14,15,[2.9615784],118
[0.10954586],14,9,[2.9597783],119
[0.1076021],14,7,[2.944731],120
[0.10942344],14,9,[2.9596937],121
[0.10753024],14,11,[2.974303],122
[0.1071597],14,10,[2.9283893],123
[0.10872213],14,6,[2.9568653],124
[0.10729852],14,7,[2.9445074],125
[0.108053],14,1,[2.9463706],126
[0.10720409],14,17,[2.9591103],127
[0.10679886],14,19,[2.9666538],128
[0.10787036],14,8,[2.9655488],129
