probability,move,scenario_no,loss,move_no
[0.16914903],17,6,[2.9568307],1
[0.1636446],17,14,[2.981553],2
[0.15250511],17,3,[2.9548924],3
[0.14195856],17,14,[2.9718714],4
[0.13201548],17,12,[2.9788783],5
[0.11939246],17,13,[2.9234831],6
[0.11866704],6,11,[2.940044],7
[0.12162412],6,13,[2.9054897],8
[0.12250109],6,11,[2.9276688],9
[0.12157441],6,14,[2.9410672],10
[0.134289],13,19,[2.968458],11
[0.14454193],13,16,[2.97945],12
[0.15198962],13,13,[2.8458304],13
[0.17102486],13,15,[2.983961],14
[0.18922196],13,3,[2.9096985],15
[0.20463142],13,13,[2.7936265],16
[0.23135185],13,11,[2.8726883],17
[0.25523287],13,12,[2.9661255],18
[0.27775863],13,19,[2.968354],19
[0.29406473],13,11,[2.845758],20
[0.30774802],13,1,[2.9685154],21
[0.3169591],13,17,[2.95505],22
[0.32692248],13,13,[2.6733677],23
[0.34622344],13,9,[2.993321],24
[0.3712457],13,15,[2.990227],25
[0.4029609],13,13,[2.5989459],26
[0.42992654],13,9,[2.9965436],27
[0.47111517],13,8,[2.9999056],28
[0.50692165],13,2,[3.0015857],29
[0.53717464],13,1,[2.9841533],30
[0.5496789],13,11,[2.8172364],31
[0.5884019],13,13,[2.4188685],32
[0.59685767],13,8,[3.0055995],33
[0.63533807],13,14,[2.987616],34
[0.6609051],13,3,[2.9739945],35
[0.6425783],13,11,[2.8222866],36
[0.64394045],13,18,[3.0066295],37
[0.64477676],13,5,[3.0070667],38
[0.6526601],13,6,[2.9982736],39
[0.64600384],13,7,[3.008829],40
[0.6290158],13,12,[2.9971995],41
[0.6220489],13,6,[2.9982207],42
[0.608478],13,6,[2.9977365],43
[0.58043784],13,1,[2.9924579],44
[0.56180227],13,15,[3.0027018],45
[0.55167335],13,8,[3.0061598],46
[0.5898596],13,13,[2.4185631],47
[0.5572655],13,5,[3.0052438],48
[0.5865887],13,12,[2.995224],49
[0.5859285],13,19,[2.9978848],50
[0.6388907],13,4,[3.007912],51
[0.6493186],13,4,[3.0082803],52
[0.59916383],13,9,[3.0055287],53
