probability,move,scenario_no,loss,move_no
[0.1478258],18,19,[2.866042],1
[0.23140554],19,16,[2.9504864],2
[0.3094214],19,15,[2.9844627],3
[0.36459446],19,6,[2.987623],4
[0.4011553],19,5,[2.952616],5
[0.4155626],19,1,[2.9839852],6
[0.42811725],19,8,[2.9714942],7
[0.41157508],19,2,[2.9824977],8
[0.40739426],19,13,[2.9881005],9
[0.38879764],19,14,[2.9763846],10
[0.36235023],19,4,[2.9810252],11
[0.34621945],19,7,[2.9881918],12
[0.32243624],19,7,[2.9861052],13
[0.29326963],19,2,[2.9655354],14
[0.2774952],19,3,[2.9950848],15
[0.25500157],19,7,[2.977459],16
[0.2335235],19,5,[2.8796165],17
[0.21042365],19,2,[2.945249],18
[0.19939093],19,19,[2.7990556],19
[0.20900625],19,6,[2.9650888],20
[0.21270037],19,14,[2.9581537],21
[0.22303389],19,3,[2.9928052],22
[0.22371778],19,2,[2.9159572],23
[0.23190239],19,6,[2.9588473],24
[0.22601889],19,14,[2.947904],25
[0.23059563],19,16,[2.9178228],26
[0.2191446],19,1,[2.9675276],27
[0.22434774],19,9,[2.9864793],28
[0.20448792],19,4,[2.9700623],29
[0.2037449],19,7,[2.9579859],30
[0.19104807],19,6,[2.9315221],31
[0.18535623],19,18,[2.9819891],32
[0.16812935],19,13,[2.9847007],33
[0.16030623],2,13,[2.983764],34
[0.16344355],2,4,[2.9594762],35
[0.16867559],2,2,[2.8296435],36
[0.1806594],2,4,[2.9520087],37
[0.1937535],2,13,[2.9789693],38
[0.21490926],2,4,[2.9402757],39
[0.22537875],2,10,[2.9941175],40
[0.23161523],2,3,[2.9900522],41
[0.24483782],2,1,[2.9614031],42
[0.23378855],2,8,[2.9717724],43
[0.2414263],2,18,[2.980351],44
[0.24076352],2,17,[2.9890916],45
[0.24401997],2,5,[2.9359696],46
[0.23966299],2,6,[2.8778331],47
[0.24203308],2,4,[2.8665833],48
[0.2318671],2,12,[2.9938846],49
[0.20685726],2,3,[2.9865437],50
[0.19951445],2,4,[2.8170333],51
[0.21291696],4,15,[2.9882562],52
[0.24740148],4,14,[2.9551675],53
[0.27049708],4,3,[2.984895],54
[0.30566132],4,4,[2.6940973],55
[0.35431483],4,16,[2.95716],56
[0.40347898],4,11,[2.998546],57
[0.45468017],4,13,[2.977308],58
[0.4687884],4,9,[2.9935656],59
[0.514247],4,15,[2.994848],60
[0.5362274],4,10,[3.002261],61
[0.5514002],4,19,[2.9712238],62
[0.56650716],4,17,[2.9999595],63
[0.57192594],4,15,[2.9954023],64
[0.5632165],4,8,[2.990581],65
[0.5676012],4,10,[3.002961],66
[0.5481272],4,18,[2.9885046],67
[0.5466904],4,5,[2.962906],68
[0.5576477],4,4,[2.4478981],69
[0.5723887],4,13,[2.9718623],70
[0.5849175],4,16,[2.9706225],71
[0.5960622],4,10,[3.0034647],72
[0.60146064],4,17,[3.000505],73
[0.5942122],4,18,[2.988227],74
[0.65542835],4,4,[2.3539798],75
[0.6571782],4,12,[3.0072074],76
[0.6818615],4,7,[2.997705],77
[0.72626984],4,14,[2.9907155],78
[0.74325687],4,11,[3.0121818],79
[0.78247327],4,4,[2.2333715],80
[0.77052414],4,10,[3.0126054],81
[0.8114603],4,1,[3.0111022],82
[0.8095818],4,19,[2.9990675],83
[0.8516973],4,14,[3.0060723],84
[0.8619739],4,13,[3.007597],85
[0.83713114],4,15,[3.0128136],86
[0.86219543],4,11,[3.0200086],87
[0.84466535],4,7,[3.0130262],88
[0.83461285],4,17,[3.0155537],89
[0.83490103],4,10,[3.0166662],90
[0.81605357],4,6,[2.9987242],91
[0.8354235],4,11,[3.0180292],92
[0.78420806],4,6,[2.9934494],93
[0.8226806],4,13,[2.9986427],94
[0.7400095],4,10,[3.009159],95
[0.7137054],4,12,[3.0099716],96
[0.8097648],4,4,[2.2076848],97
[0.7069698],4,11,[3.0095673],98
[0.6541554],4,19,[2.9710376],99
[0.74062365],4,14,[2.9882596],100
[0.6501974],4,12,[3.0060906],101
[0.60730624],4,10,[2.998769],102
[0.5806592],4,15,[2.9905238],103
[0.5399293],4,6,[2.955165],104
[0.47021204],4,19,[2.933281],105
[0.42277953],4,9,[2.993002],106
[0.48331225],4,2,[2.9729679],107
[0.34741354],4,5,[2.93644],108
[0.29125306],4,8,[2.9737916],109
[0.25733894],4,17,[2.9831347],110
[0.23017573],4,1,[2.9683409],111
[0.22205168],4,2,[2.949603],112
[0.20202214],4,14,[2.9370527],113
[0.1575335],4,6,[2.914368],114
[0.15609725],19,10,[2.9716334],115
[0.15250923],19,8,[2.9598324],116
[0.21287577],4,4,[2.7853558],117
[0.14361018],19,15,[2.9690382],118
[0.1373461],19,5,[2.903445],119
[0.1400654],4,7,[2.9685025],120
[0.14017785],4,10,[2.96229],121
