probability,move,scenario_no,loss,move_no
[0.09079357],9,9,[2.9064634],1
[0.09550724],9,7,[2.930854],2
[0.09770903],9,9,[2.8995626],3
[0.10020337],9,10,[2.9648967],4
[0.10401414],9,9,[2.8932736],5
[0.1087851],9,13,[2.955141],6
[0.11177605],9,13,[2.9546087],7
[0.11170917],9,8,[2.9389036],8
[0.11566655],9,9,[2.8816543],9
[0.11748834],9,15,[2.9828544],10
[0.11976655],9,8,[2.9358146],11
[0.12196812],9,10,[2.9623008],12
[0.1277767],9,2,[2.9715066],13
[0.1271274],9,6,[2.9291031],14
[0.13098705],9,5,[2.955352],15
[0.13207267],9,9,[2.8653085],16
[0.13541262],9,13,[2.9493198],17
[0.1358879],9,17,[2.9624286],18
[0.1378711],9,18,[2.948174],19
[0.13846141],9,15,[2.982603],20
[0.13994266],9,15,[2.98253],21
[0.14198507],9,7,[2.9245708],22
[0.14314865],9,19,[2.9323444],23
[0.14251772],9,8,[2.9255192],24
[0.1424973],9,10,[2.959663],25
[0.14536002],9,7,[2.9229982],26
[0.14741942],9,5,[2.9535518],27
[0.14617515],9,7,[2.9214082],28
[0.1469851],9,11,[2.9430487],29
[0.14480895],9,1,[2.9679308],30
[0.14683072],9,18,[2.9458885],31
[0.14673698],9,18,[2.9454792],32
[0.1448564],9,8,[2.9213612],33
[0.14768213],9,5,[2.9519608],34
[0.1438452],9,16,[2.9745436],35
[0.14566249],9,7,[2.9146852],36
[0.14919253],9,3,[2.9528077],37
[0.14500682],9,19,[2.9328477],38
[0.1465772],9,2,[2.969917],39
[0.14421545],9,18,[2.941696],40
[0.14372024],9,18,[2.94111],41
[0.14515169],9,2,[2.9695108],42
[0.14179765],9,15,[2.9813063],43
[0.14435261],9,13,[2.946033],44
[0.14022419],9,8,[2.9170594],45
[0.14377606],9,14,[2.9619825],46
[0.14248116],9,9,[2.854991],47
[0.13946036],9,16,[2.9739034],48
[0.14063936],9,1,[2.9670901],49
[0.14647402],9,3,[2.9524686],50
[0.14413369],9,11,[2.9435418],51
[0.14446698],9,11,[2.9432535],52
[0.14229655],9,1,[2.9664917],53
[0.14201196],9,16,[2.9732726],54
[0.14293687],9,8,[2.9131322],55
[0.14787714],9,3,[2.951272],56
[0.1443129],9,17,[2.9624538],57
[0.14386527],9,7,[2.909029],58
[0.1439817],9,18,[2.9347963],59
[0.14410016],9,11,[2.9400725],60
[0.14209802],9,15,[2.9811254],61
[0.14514264],9,12,[2.963255],62
[0.14073204],9,8,[2.909999],63
[0.13952793],9,16,[2.9720948],64
[0.14175786],9,11,[2.9378767],65
[0.14019991],9,4,[2.9607306],66
[0.14226791],9,2,[2.9679391],67
[0.14201549],9,12,[2.962413],68
[0.13906956],9,18,[2.932215],69
[0.13817485],9,7,[2.905509],70
[0.13983268],9,2,[2.9674633],71
[0.13910334],9,2,[2.967208],72
[0.1363431],9,19,[2.9387827],73
[0.1352187],9,6,[2.9378364],74
[0.13447565],9,6,[2.9375386],75
[0.13624239],9,12,[2.9604099],76
[0.13542072],9,13,[2.9459054],77
[0.13107358],9,8,[2.905992],78
[0.13379201],9,13,[2.9453104],79
[0.13122436],9,11,[2.9339833],80
[0.12828772],9,16,[2.9713044],81
[0.1290242],9,7,[2.9016774],82
[0.12695938],9,10,[2.9627616],83
[0.1278801],9,11,[2.932618],84
[0.12640584],9,7,[2.8994715],85
[0.12602559],9,11,[2.931362],86
[0.12444266],9,6,[2.93297],87
[0.12405563],9,11,[2.9295416],88
[0.12161845],9,10,[2.9626532],89
[0.12108754],9,15,[2.9808273],90
[0.12309475],9,9,[2.8743632],91
[0.12316111],9,12,[2.95805],92
[0.12384591],9,9,[2.8736193],93
[0.12216572],9,15,[2.9807177],94
[0.1262415],9,2,[2.9656944],95
[0.1270219],9,12,[2.9573994],96
[0.12440065],9,16,[2.971667],97
[0.12706693],9,19,[2.9422836],98
[0.12709938],9,7,[2.8915792],99
[0.12630866],9,8,[2.9064636],100
[0.12942234],9,5,[2.9571788],101
[0.12960517],9,5,[2.957071],102
[0.1279117],9,7,[2.8889341],103
[0.12664911],9,8,[2.905354],104
[0.12699687],9,15,[2.9802783],105
[0.12764773],9,18,[2.9344501],106
[0.12706716],9,6,[2.9317546],107
[0.12953742],9,13,[2.9433403],108
[0.12630191],9,6,[2.9310067],109
[0.12626374],9,4,[2.9668565],110
[0.12811969],9,13,[2.9426093],111
[0.12412354],9,10,[2.962834],112
[0.12293616],9,16,[2.9716249],113
[0.12589857],9,12,[2.9556832],114
[0.12371205],9,11,[2.9232225],115
[0.120944],9,1,[2.9690762],116
[0.12280919],9,19,[2.944331],117
[0.12144756],9,17,[2.9681976],118
[0.12155087],9,4,[2.9666677],119
[0.1209464],9,11,[2.9217257],120
[0.11994768],9,17,[2.9679313],121
[0.12237842],9,3,[2.9571881],122
[0.11778024],9,16,[2.9710836],123
[0.1184077],9,6,[2.9255803],124
[0.11951353],9,5,[2.9554465],125
[0.11715691],9,6,[2.9243684],126
[0.11714718],9,4,[2.9654918],127
[0.11754564],9,5,[2.9547164],128
[0.11513228],9,6,[2.9213426],129
[0.11621338],9,12,[2.9543278],130
[0.11542611],9,5,[2.953413],131
[0.11569945],9,13,[2.939363],132
[0.11536533],9,9,[2.882115],133
[0.11265571],9,17,[2.966374],134
[0.11295962],9,17,[2.9661534],135
[0.11642541],9,9,[2.8810544],136
[0.11327599],9,16,[2.9704494],137
[0.11434226],9,16,[2.9702988],138
[0.11554547],9,8,[2.9070826],139
[0.12099469],9,9,[2.8764937],140
[0.11987174],9,18,[2.9372191],141
[0.11988513],9,8,[2.9055128],142
[0.12551498],9,14,[2.9742815],143
[0.12679075],9,13,[2.9382663],144
[0.1280609],9,3,[2.958521],145
[0.12572756],9,17,[2.9639254],146
[0.12982084],9,3,[2.9585125],147
[0.12626219],9,15,[2.9807136],148
[0.12856269],9,4,[2.9649937],149
[0.12653275],9,16,[2.9682505],150
[0.12836571],9,7,[2.8979814],151
[0.12839131],9,7,[2.8974953],152
[0.12670046],9,16,[2.9675744],153
[0.13016714],9,12,[2.9561706],154
[0.12737826],9,6,[2.9161284],155
[0.12828238],9,4,[2.964485],156
[0.12672326],9,11,[2.9231837],157
[0.1244179],9,1,[2.971842],158
[0.1257156],9,11,[2.9225376],159
[0.12511939],9,7,[2.8902457],160
[0.12337236],9,8,[2.9012208],161
[0.12377678],9,10,[2.9663293],162
[0.12802307],9,9,[2.8695126],163
[0.12685962],9,3,[2.9558847],164
[0.1277285],9,13,[2.9382484],165
[0.123252],9,16,[2.9659703],166
[0.12399898],9,15,[2.9808593],167
[0.13015811],9,9,[2.867398],168
[0.12632167],9,10,[2.9662716],169
[0.12628074],9,8,[2.8995008],170
[0.13224123],9,14,[2.9756875],171
[0.13182703],9,5,[2.9541998],172
[0.13361697],9,3,[2.9553201],173
[0.13053928],9,7,[2.8847473],174
[0.13485046],9,14,[2.975544],175
[0.133924],9,2,[2.9727085],176
[0.1313096],9,11,[2.9195292],177
[0.13139716],9,10,[2.9654803],178
[0.13137233],9,17,[2.9643404],179
[0.13746102],9,9,[2.8601422],180
[0.13596243],9,3,[2.9536424],181
[0.13700345],9,3,[2.9532356],182
[0.13573036],9,18,[2.9431489],183
[0.13754027],9,5,[2.954076],184
[0.13406317],9,8,[2.8973074],185
[0.13591827],9,10,[2.964465],186
[0.13478523],9,8,[2.8961136],187
[0.13800749],9,18,[2.9427104],188
[0.13585152],9,15,[2.9815564],189
[0.13493256],9,1,[2.973467],190
[0.1410937],9,13,[2.940989],191
[0.1396932],9,2,[2.9724772],192
[0.14071734],9,14,[2.9751072],193
[0.13640936],9,17,[2.963864],194
[0.1398498],9,3,[2.949849],195
[0.13755743],9,18,[2.9404564],196
[0.13915953],9,3,[2.9490387],197
[0.13929944],9,14,[2.9747627],198
[0.13748357],9,5,[2.952943],199
[0.13638216],9,4,[2.9673476],200
[0.13350537],9,7,[2.8857605],201
[0.13338546],9,10,[2.9629445],202
[0.13093959],9,8,[2.8876798],203
[0.13135643],9,7,[2.8837264],204
[0.13298953],9,4,[2.9670966],205
[0.12953109],9,7,[2.8808358],206
[0.13203874],9,2,[2.9716475],207
[0.12602152],9,1,[2.973176],208
[0.12961058],9,19,[2.9597332],209
[0.12549154],9,7,[2.8727403],210
[0.12820356],9,2,[2.9713156],211
[0.12663472],9,5,[2.952301],212
[0.1269845],9,14,[2.9738133],213
[0.12733111],7,14,[2.9736562],214
[0.13514195],7,19,[2.9598293],215
[0.12858324],7,1,[2.9725137],216
[0.12721814],7,12,[2.9629219],217
[0.13776648],7,3,[2.9431021],218
[0.13507949],7,10,[2.9622178],219
[0.14151078],7,17,[2.9631264],220
[0.12990418],7,2,[2.9700613],221
[0.14389795],7,7,[2.8537326],222
[0.13917853],7,10,[2.9615095],223
[0.14036115],7,4,[2.9670339],224
[0.14869678],7,17,[2.9623766],225
[0.14320914],7,4,[2.9668162],226
[0.1443362],7,5,[2.9511626],227
[0.15133183],7,19,[2.958444],228
[0.14603847],7,5,[2.950581],229
[0.14618593],7,14,[2.9713097],230
[0.1555168],7,7,[2.8421323],231
[0.14749402],7,15,[2.9818454],232
[0.15115064],7,10,[2.9595692],233
[0.15864617],7,19,[2.9574656],234
[0.1534581],7,14,[2.9705076],235
[0.15515397],7,5,[2.9479225],236
[0.1516274],7,6,[2.935632],237
[0.1566011],7,10,[2.958297],238
[0.15741734],7,5,[2.9463348],239
[0.15720794],7,4,[2.9653718],240
[0.16635518],7,8,[2.9014993],241
[0.16598064],7,18,[2.9452584],242
[0.1672652],7,7,[2.8304133],243
[0.16527583],7,19,[2.9556046],244
[0.15999556],7,4,[2.9648101],245
[0.15963225],7,1,[2.9719508],246
[0.16436629],7,16,[2.9716673],247
[0.15543835],7,11,[2.9327536],248
[0.16323069],7,13,[2.9516628],249
[0.16621554],7,16,[2.9714978],250
[0.17070095],7,19,[2.9544148],251
[0.1629954],7,9,[2.894478],252
[0.16227295],7,1,[2.9713967],253
[0.17237855],7,18,[2.9449973],254
[0.16969967],7,19,[2.952912],255
[0.15501754],7,11,[2.9317818],256
[0.17061998],7,18,[2.944115],257
[0.16230841],7,5,[2.9420617],258
[0.15864556],7,1,[2.9704037],259
[0.152093],7,11,[2.9301183],260
[0.15496229],7,6,[2.936313],261
[0.16460861],7,19,[2.9499693],262
[0.15630743],7,15,[2.9818146],263
[0.1651778],7,8,[2.9048467],264
[0.1539424],7,9,[2.8916097],265
[0.1526615],7,9,[2.8906581],266
[0.15316704],7,14,[2.970044],267
[0.14737014],7,6,[2.93512],268
[0.1484107],7,9,[2.885774],269
[0.14684342],7,9,[2.8834696],270
[0.14601067],7,15,[2.9818566],271
[0.14545903],7,10,[2.9577694],272
[0.14402704],7,10,[2.9576137],273
[0.14047103],7,9,[2.8725352],274
[0.14081761],7,4,[2.9631145],275
[0.13960402],7,10,[2.9565709],276
[0.13570863],7,9,[2.8634543],277
[0.14314197],7,18,[2.9409213],278
[0.1376698],7,16,[2.9713326],279
[0.13859093],9,14,[2.9697404],280
[0.14027713],9,4,[2.9624407],281
[0.13804746],7,8,[2.9023798],282
[0.15246448],9,9,[2.8452308],283
[0.14950834],9,19,[2.945213],284
[0.15208857],9,3,[2.9530873],285
[0.16255659],9,9,[2.8351839],286
[0.15677626],9,5,[2.9453943],287
[0.16332646],9,19,[2.944094],288
[0.16497073],9,4,[2.961261],289
[0.16221689],9,8,[2.9002328],290
[0.16470398],9,8,[2.8994257],291
[0.1751769],9,13,[2.957156],292
[0.1706577],9,10,[2.9541903],293
[0.17827778],9,19,[2.941783],294
[0.17333989],9,6,[2.9392009],295
[0.17167363],9,16,[2.971676],296
[0.19080257],9,9,[2.8071127],297
[0.18434407],9,14,[2.9705343],298
[0.1879215],9,13,[2.9571867],299
[0.17986453],9,16,[2.9714808],300
[0.18171483],9,16,[2.9712825],301
[0.18553412],9,17,[2.9697864],302
[0.19434665],9,14,[2.9704127],303
[0.1867536],9,8,[2.889187],304
[0.19655223],9,14,[2.9700928],305
[0.1881608],9,15,[2.9846957],306
[0.19022192],9,17,[2.9697442],307
[0.19125792],9,10,[2.9536536],308
[0.19898601],9,19,[2.9382207],309
[0.19087392],9,17,[2.9692433],310
[0.19219974],9,11,[2.9381638],311
[0.2095417],9,9,[2.7885263],312
[0.19417906],9,11,[2.9379556],313
[0.19311693],9,15,[2.9847221],314
[0.19620028],9,1,[2.97547],315
[0.203823],9,18,[2.9459896],316
[0.20738505],9,19,[2.935916],317
[0.20409511],9,2,[2.9765337],318
[0.20474823],9,2,[2.9764867],319
[0.2011222],9,10,[2.9528391],320
[0.19902678],9,15,[2.9845862],321
[0.22193006],9,9,[2.7762427],322
[0.20494558],9,11,[2.935581],323
[0.213792],9,12,[2.9756985],324
[0.21805692],9,3,[2.9623916],325
[0.21732846],9,12,[2.9756799],326
[0.20941457],9,7,[2.9032314],327
[0.2192295],9,12,[2.9753857],328
[0.2344561],9,9,[2.7638342],329
[0.21203846],9,16,[2.9703755],330
[0.2256127],9,12,[2.97491],331
[0.21921907],9,17,[2.9687898],332
[0.22257066],9,11,[2.9334571],333
[0.23372847],9,19,[2.9331632],334
[0.22517751],9,11,[2.9325364],335
[0.23209213],9,4,[2.96424],336
[0.22603293],9,10,[2.9533098],337
[0.22586572],9,6,[2.9479084],338
[0.23778495],9,3,[2.9625077],339
[0.2370186],9,13,[2.9609725],340
[0.23311545],9,18,[2.9485602],341
[0.25103292],9,9,[2.7474272],342
[0.22697558],9,6,[2.9473853],343
[0.22970344],9,10,[2.9526937],344
[0.2276495],9,15,[2.9850721],345
[0.22921285],9,16,[2.9710922],346
[0.23258764],9,1,[2.977477],347
[0.24626958],9,3,[2.9619594],348
[0.23377588],9,17,[2.9692097],349
[0.24300069],9,12,[2.9733865],350
[0.2337201],9,1,[2.9772596],351
[0.24648601],9,13,[2.9614155],352
[0.23323375],9,6,[2.9456573],353
[0.23246123],9,1,[2.9767444],354
[0.24369264],9,14,[2.9708064],355
[0.23107187],9,6,[2.9442682],356
[0.2432374],9,13,[2.960571],357
[0.2288957],9,6,[2.9427528],358
[0.2397433],9,14,[2.9702573],359
[0.22349818],9,15,[2.9845567],360
[0.22469103],9,1,[2.9751523],361
[0.23352909],9,18,[2.9483867],362
[0.23734371],9,19,[2.932951],363
[0.22059964],9,6,[2.937491],364
[0.21881029],9,1,[2.974052],365
[0.2484872],9,9,[2.749911],366
[0.25038195],9,9,[2.7480376],367
[0.22926491],9,2,[2.9785376],368
[0.23739347],9,18,[2.9476418],369
[0.23265359],9,10,[2.9519184],370
[0.23249885],9,1,[2.9733782],371
[0.24598803],9,18,[2.9470637],372
[0.24346706],9,5,[2.9595401],373
[0.24928229],9,4,[2.9659948],374
[0.23520434],9,15,[2.9846876],375
[0.24269365],9,10,[2.9518628],376
[0.24699214],9,2,[2.9789007],377
[0.24338606],9,17,[2.9704027],378
[0.25286487],9,18,[2.9442036],379
[0.24369657],9,10,[2.9506378],380
[0.24224116],9,11,[2.9316113],381
[0.25052732],9,12,[2.9738336],382
[0.24214181],9,10,[2.9491203],383
[0.24125594],9,10,[2.9483473],384
[0.23620747],9,6,[2.9333105],385
[0.24610355],9,12,[2.97342],386
[0.25183564],9,19,[2.9343004],387
[0.24844967],9,3,[2.962233],388
[0.2486414],9,19,[2.933242],389
[0.23270275],9,17,[2.96951],390
[0.22720878],9,8,[2.9157414],391
[0.23791541],9,4,[2.9653149],392
[0.23930115],9,3,[2.9609985],393
[0.23175363],9,12,[2.97198],394
