probability,move,scenario_no,loss,move_no
[0.10290505],15,8,[2.9510732],1
[0.10392804],15,3,[2.9469695],2
[0.10307859],15,16,[2.9432595],3
[0.10241114],15,4,[2.9689827],4
[0.10286948],15,18,[2.9503107],5
[0.10299436],15,19,[2.971199],6
[0.10270202],15,3,[2.9450548],7
[0.10194065],15,15,[2.895308],8
[0.102988],15,19,[2.9708095],9
[0.10269891],15,2,[2.9422715],10
[0.10327031],15,16,[2.9411395],11
[0.10336583],15,14,[2.928738],12
[0.10429725],15,6,[2.9374852],13
[0.1042817],15,17,[2.93875],14
[0.10417926],15,9,[2.964176],15
[0.10494305],15,3,[2.9430761],16
[0.10451199],15,5,[2.9583526],17
[0.10527367],15,19,[2.9700656],18
[0.10454008],15,14,[2.927596],19
[0.1049098],15,15,[2.8923423],20
[0.10469941],15,11,[2.9715314],21
[0.10502611],15,13,[2.9493482],22
[0.10523841],15,11,[2.9714162],23
[0.10575709],15,9,[2.963589],24
[0.10540898],15,7,[2.959574],25
[0.10670556],15,3,[2.9418273],26
[0.10570672],15,10,[2.9354157],27
[0.10674465],15,18,[2.9480143],28
[0.10647344],15,5,[2.9576426],29
[0.1072187],15,19,[2.9694612],30
[0.10700488],15,6,[2.936041],31
[0.10693156],15,3,[2.9410415],32
[0.1058635],15,7,[2.9590209],33
[0.10702249],15,12,[2.9492042],34
[0.10604083],15,4,[2.967686],35
[0.10593608],15,13,[2.948713],36
[0.10596906],15,2,[2.9405835],37
[0.10558555],15,7,[2.9585319],38
[0.1066604],15,12,[2.9488335],39
[0.10621841],15,15,[2.8910253],40
[0.1059029],15,2,[2.9400628],41
[0.10577606],15,7,[2.9580483],42
[0.10709061],15,12,[2.9482636],43
[0.10707022],15,18,[2.9470625],44
[0.10760576],15,19,[2.9689653],45
[0.10710095],15,1,[2.9241998],46
[0.10748905],15,12,[2.9475534],47
[0.10648944],15,13,[2.9481478],48
[0.10644852],15,11,[2.9704244],49
[0.1072449],15,17,[2.9389648],50
[0.10672225],15,9,[2.9629993],51
[0.10660363],15,2,[2.9386408],52
[0.10745306],15,12,[2.946589],53
[0.10709315],15,17,[2.9387841],54
[0.10696978],15,1,[2.9236586],55
[0.10643137],15,9,[2.9627633],56
[0.10609996],15,13,[2.9476366],57
[0.1066983],15,15,[2.8905416],58
[0.10611359],15,7,[2.9568],59
[0.10724539],15,3,[2.9401338],60
[0.10758245],15,6,[2.9358985],61
[0.10735438],15,17,[2.9380486],62
[0.10654224],15,11,[2.9701023],63
[0.10679201],15,2,[2.9376493],64
[0.10773659],15,12,[2.9454384],65
[0.10813241],15,19,[2.9687674],66
[0.10687581],15,9,[2.9622507],67
[0.107393],15,15,[2.8898485],68
[0.10775582],15,3,[2.93968],69
[0.10700142],15,7,[2.9562447],70
[0.1074186],15,9,[2.961969],71
[0.1083371],15,18,[2.946499],72
[0.10830031],15,17,[2.937203],73
[0.10725818],15,10,[2.9386744],74
[0.10755076],15,7,[2.955819],75
[0.10787546],15,14,[2.9303844],76
[0.10730691],15,8,[2.9525316],77
[0.1073808],15,10,[2.9383645],78
[0.10849177],15,3,[2.938928],79
[0.10744175],15,11,[2.9697816],80
[0.1082508],15,5,[2.9587781],81
[0.10825296],15,3,[2.938512],82
