probability,move,scenario_no,loss,move_no
[0.13359036],11,7,[2.9851503],6647
[0.12491927],11,9,[2.9625745],6648
[0.45307165],5,14,[2.873699],6649
[0.15020762],11,10,[2.9859827],6650
[0.34607783],8,17,[2.71708],6651
[0.12688278],11,9,[2.9623697],6652
[0.16910169],11,13,[2.8800783],6653
[0.12746213],11,19,[2.9520845],6654
[0.30010876],5,6,[2.8459332],6655
[0.16883676],11,13,[2.8791978],6656
[0.44623455],5,14,[2.8692608],6657
[0.2596354],17,18,[2.9502556],6658
[0.6552014],5,5,[2.3546298],6659
[0.44281402],5,14,[2.8672206],6660
[0.17055863],11,12,[2.8796217],6661
[0.124496],11,19,[2.9514015],6662
[0.16752255],11,13,[2.8755455],6663
[0.14691381],11,10,[2.9858608],6664
[0.16698615],11,2,[2.9169638],6665
[0.24384184],17,18,[2.9499269],6666
[0.16807474],11,11,[2.8301456],6667
[0.43424258],5,14,[2.8620572],6668
[0.13141124],11,7,[2.9851956],6669
[0.16212258],11,1,[2.978304],6670
[0.1624765],11,1,[2.9782543],6671
[0.13315628],11,7,[2.9851687],6672
[0.15870449],11,4,[2.937078],6673
[0.28711033],17,17,[2.7125528],6674
[0.1685335],11,2,[2.9164271],6675
[0.1274068],11,9,[2.9621987],6676
[0.16825819],11,13,[2.8714726],6677
[0.1703428],11,12,[2.879557],6678
[0.25938603],5,6,[2.8492494],6679
[0.16763641],11,2,[2.915518],6680
[0.13663688],11,7,[2.985093],6681
[0.27883154],17,18,[2.948966],6682
[0.6320298],5,15,[2.980893],6683
[0.1682079],11,12,[2.8784447],6684
[0.91919416],8,8,[2.1055865],6685
[0.12923501],11,19,[2.952291],6686
[0.13559976],11,7,[2.9849598],6687
[0.16045302],11,1,[2.977916],6688
[0.12694359],11,9,[2.9622457],6689
[0.12783398],11,19,[2.9519122],6690
[0.29163718],17,18,[2.9486797],6691
[0.26074934],5,6,[2.8463087],6692
[0.922037],8,8,[2.102947],6693
[0.13190772],11,7,[2.9846084],6694
[0.31025946],8,17,[2.694397],6695
[0.16315074],11,11,[2.8351038],6696
[0.16438398],11,12,[2.8742626],6697
[0.11911287],11,9,[2.9611917],6698
[0.11818707],11,9,[2.9609969],6699
[0.16248016],11,13,[2.8721392],6700
[0.3073334],5,6,[2.8419027],6701
[0.92069453],8,8,[2.104194],6702
[0.16366786],11,11,[2.8345842],6703
[0.1652409],11,12,[2.8722749],6704
[0.26407692],5,16,[2.9862142],6705
[0.16356853],11,2,[2.9157917],6706
[0.1162255],6,9,[2.9595153],6707
[0.15390931],11,4,[2.940055],6708
[0.3137558],5,6,[2.8377473],6709
[0.16613255],11,11,[2.8321376],6710
[0.31476748],17,17,[2.6858351],6711
[0.16847663],11,12,[2.8695807],6712
[0.16648133],11,13,[2.8728218],6713
[0.16087994],11,1,[2.9783902],6714
[0.9215463],8,8,[2.1034038],6715
[0.6235787],5,15,[2.9802103],6716
[0.14595897],11,10,[2.9866836],6717
[0.3243195],17,17,[2.6767056],6718
[0.12144531],11,19,[2.950977],6719
[0.92129827],8,8,[2.1036353],6720
[0.16727886],11,13,[2.872502],6721
[0.24854375],5,16,[2.9858847],6722
[0.4231],5,14,[2.8582878],6723
[0.92172337],8,8,[2.103242],6724
[0.16645338],11,2,[2.9180655],6725
[0.41269815],5,14,[2.8560288],6726
[0.12145337],11,9,[2.958765],6727
[0.16721623],11,11,[2.831151],6728
[0.22256249],5,16,[2.985268],6729
[0.158672],11,4,[2.942034],6730
[0.6256249],5,5,[2.3830674],6731
[0.62673926],5,5,[2.3819957],6732
[0.16958402],11,11,[2.8287997],6733
[0.22247314],5,16,[2.98508],6734
[0.1728733],11,12,[2.8695726],6735
[0.1724005],11,11,[2.825995],6736
[0.12856339],11,19,[2.9512708],6737
[0.62530345],5,15,[2.9805727],6738
[0.1297495],11,19,[2.9510107],6739
[0.17594954],11,2,[2.917962],6740
[0.17675665],11,2,[2.917726],6741
[0.31309757],17,18,[2.953626],6742
[0.16795959],11,4,[2.9418843],6743
[0.1785832],11,13,[2.8718774],6744
[0.17884561],11,13,[2.8715186],6745
[0.17895284],11,13,[2.8706262],6746
[0.13015759],11,19,[2.9495504],6747
[0.32655403],17,17,[2.674885],6748
[0.4337225],5,14,[2.8565083],6749
[0.12787925],11,19,[2.9488006],6750
[0.17609689],11,3,[2.948312],6751
[0.17769481],11,13,[2.8647792],6752
[0.1773285],11,2,[2.9152796],6753
[0.9235816],8,8,[2.1015177],6754
[0.29140925],17,18,[2.9529107],6755
[0.65031904],5,5,[2.3593411],6756
[0.9237393],8,8,[2.1013715],6757
[0.17752695],11,11,[2.8208766],6758
[0.17600477],11,13,[2.8587322],6759
[0.32875845],5,6,[2.8466527],6760
[0.17676395],11,2,[2.9138248],6761
[0.17686051],11,13,[2.8558452],6762
[0.65831137],5,5,[2.3516786],6763
[0.17709059],11,2,[2.9128108],6764
[0.17914076],11,11,[2.819282],6765
[0.12313891],11,19,[2.946924],6766
[0.66607714],5,5,[2.344239],6767
[0.928117],8,8,[2.0973094],6768
[0.17929262],11,13,[2.8493214],6769
[0.17958897],11,13,[2.8480792],6770
[0.31921813],17,17,[2.6812797],6771
[0.6663017],5,15,[2.984907],6772
[0.36113715],5,6,[2.851756],6773
[0.1229548],11,19,[2.9465382],6774
[0.6693203],5,15,[2.9851604],6775
[0.32811716],17,17,[2.6729655],6776
[0.17966379],11,2,[2.910087],6777
[0.34966406],5,6,[2.8501055],6778
[0.30679655],17,18,[2.9543781],6779
[0.3396147],17,17,[2.6619077],6780
[0.669877],5,15,[2.9849477],6781
[0.1796629],11,11,[2.818865],6782
[0.12535952],11,19,[2.945847],6783
[0.17252563],11,1,[2.9816208],6784
[0.9232369],8,8,[2.101842],6785
[0.17925663],11,2,[2.9091592],6786
[0.1810114],11,11,[2.8175457],6787
[0.17853083],11,3,[2.9516237],6788
[0.33319432],17,18,[2.9557192],6789
[0.17088388],11,4,[2.9467645],6790
