probability,move,scenario_no,loss,move_no
[0.10309789],11,10,[2.9532351],1
[0.10238209],11,12,[2.9452271],2
[0.10189158],11,4,[2.9795632],3
[0.10265154],11,5,[2.944033],4
[0.10256842],11,5,[2.9438918],5
[0.10013304],11,8,[2.943456],6
[0.10153078],11,6,[2.979376],7
[0.10228653],11,16,[2.954933],8
[0.10137141],11,6,[2.9793065],9
[0.09981868],11,8,[2.9430501],10
[0.10175087],11,13,[2.9248405],11
[0.10113],11,6,[2.979193],12
[0.10380161],11,11,[2.893492],13
[0.10216995],11,7,[2.9312236],14
[0.10171586],11,2,[2.942267],15
[0.10251641],11,10,[2.9522364],16
[0.10263317],11,15,[2.9569366],17
[0.10276192],11,1,[2.9698133],18
[0.10163498],11,4,[2.9791868],19
[0.10345384],11,9,[2.9408882],20
[0.10170716],11,6,[2.9789877],21
[0.10354006],11,9,[2.9407825],22
[0.10262389],11,5,[2.942733],23
[0.10264133],11,16,[2.9544146],24
[0.10293281],11,10,[2.9519713],25
[0.102692],11,5,[2.942572],26
[0.10256329],11,14,[2.9490793],27
[0.10247292],11,19,[2.9288204],28
[0.10032149],11,8,[2.9421785],29
[0.10364115],11,9,[2.94028],30
[0.1026397],11,16,[2.9542413],31
[0.10262738],11,16,[2.9542038],32
[0.1022653],11,12,[2.9437213],33
[0.10247529],11,14,[2.948912],34
[0.10246184],11,14,[2.9488604],35
[0.10236305],11,19,[2.9286005],36
[0.10220174],11,12,[2.9435592],37
[0.10279328],11,10,[2.9516685],38
[0.10265344],11,7,[2.9308417],39
[0.1021002],11,13,[2.9242914],40
[0.10033229],11,17,[2.9665458],41
[0.10153445],11,4,[2.9790108],42
[0.10230932],11,16,[2.9537735],43
[0.10242393],11,7,[2.9306135],44
[0.10252808],11,15,[2.956743],45
[0.10217622],11,5,[2.942023],46
[0.10200388],11,14,[2.9484162],47
[0.10224527],11,7,[2.9302793],48
[0.10123217],11,6,[2.9787765],49
[0.10199348],11,5,[2.941879],50
[0.10182368],11,14,[2.948247],51
[0.10189727],11,5,[2.9417484],52
[0.09951402],11,8,[2.941932],53
[0.10167892],11,14,[2.948056],54
[0.102034],11,10,[2.951434],55
[0.10197935],11,10,[2.951405],56
[0.0995784],11,17,[2.966416],57
[0.10144903],11,14,[2.9477642],58
[0.10190611],11,1,[2.96982],59
[0.10244104],11,9,[2.9399478],60
[0.10056238],11,4,[2.9789083],61
[0.10122883],11,14,[2.947461],62
[0.10110065],11,19,[2.9286087],63
[0.10045794],11,6,[2.978736],64
[0.10218921],11,9,[2.9397907],65
[0.10116403],11,16,[2.9532673],66
[0.10075147],11,12,[2.943191],67
[0.09875364],11,8,[2.9416437],68
[0.10089665],11,14,[2.9470236],69
[0.10061883],11,12,[2.9430702],70
[0.10081147],11,14,[2.9468918],71
[0.10051867],11,13,[2.9241502],72
[0.10183237],11,9,[2.9394274],73
[0.10109245],11,10,[2.9509702],74
[0.09871677],11,17,[2.9662733],75
[0.10035299],11,3,[2.9186175],76
[0.10062001],11,16,[2.9531293],77
[0.1001576],11,13,[2.923901],78
[0.09815551],11,8,[2.941295],79
[0.1000165],11,12,[2.942667],80
[0.09799913],11,8,[2.94119],81
[0.09986166],11,12,[2.9425454],82
[0.10054549],11,1,[2.9697497],83
[0.0996793],11,13,[2.9235034],84
[0.10029732],11,10,[2.950814],85
[0.09978393],11,14,[2.9463508],86
[0.10078891],11,9,[2.9389958],87
[0.09937968],11,12,[2.9421146],88
