probability,move,scenario_no,loss,move_no
[0.09259305],11,9,[2.918185],1
[0.09404925],11,14,[2.9164357],2
[0.09258499],11,8,[2.967497],3
[0.09377854],11,2,[2.9450018],4
[0.09347904],11,14,[2.914986],5
[0.09109055],11,16,[2.939005],6
[0.09351885],11,5,[2.9757528],7
[0.0908659],11,6,[2.963469],8
[0.09245408],11,15,[2.9621937],9
[0.09193226],11,4,[2.9716794],10
[0.09092328],11,12,[2.9183347],11
[0.08993157],11,18,[2.9419718],12
[0.09019897],11,9,[2.9148598],13
[0.08810124],11,10,[2.9527376],14
[0.08915838],11,18,[2.941517],15
[0.08924199],11,19,[2.9552069],16
[0.08973983],11,3,[2.9142308],17
[0.08861986],11,1,[2.971409],18
[0.08678153],11,10,[2.952438],19
[0.08863375],11,13,[2.961871],20
[0.0862307],11,10,[2.9522247],21
[0.08706354],14,17,[2.9431791],22
[0.0875463],11,8,[2.966353],23
[0.08905983],11,5,[2.9754074],24
[0.08670053],11,19,[2.9547954],25
[0.08761434],11,4,[2.9712462],26
[0.08679301],14,16,[2.9374],27
[0.08678505],14,16,[2.9372988],28
[0.0868068],11,4,[2.971101],29
[0.08706602],14,17,[2.9426026],30
[0.08615129],14,10,[2.9511733],31
[0.08613339],14,10,[2.9510431],32
[0.08609407],11,14,[2.911451],33
[0.08544824],11,4,[2.9708004],34
[0.08689344],14,11,[2.9143195],35
[0.08579797],14,13,[2.9614646],36
[0.08579323],14,1,[2.9709296],37
[0.08743963],14,9,[2.9138608],38
[0.08617271],14,19,[2.9540985],39
[0.0860355],14,18,[2.9403589],40
[0.0872253],14,2,[2.943863],41
[0.08626299],14,19,[2.953903],42
[0.08658908],11,5,[2.9750092],43
[0.08660103],11,5,[2.9749744],44
[0.08620422],14,12,[2.9182591],45
[0.08589192],14,1,[2.9707117],46
[0.08568025],14,3,[2.9143724],47
[0.08835987],14,7,[2.945814],48
[0.08617865],14,19,[2.9533806],49
[0.08641928],14,10,[2.9497771],50
[0.08691148],14,11,[2.9138882],51
[0.08548378],14,6,[2.9630988],52
[0.08720498],14,17,[2.9419415],53
[0.08528653],14,6,[2.9629917],54
[0.0865014],14,11,[2.9133134],55
[0.08574551],11,3,[2.9139926],56
[0.08627059],11,13,[2.961193],57
[0.08744612],14,7,[2.945623],58
[0.08737607],11,2,[2.9438813],59
[0.08566917],11,18,[2.940429],60
[0.0859559],11,6,[2.9625037],61
[0.08632816],11,9,[2.9140882],62
[0.08596243],11,18,[2.9403253],63
[0.08632136],11,1,[2.9705994],64
[0.08485493],11,10,[2.9492297],65
[0.08686861],11,3,[2.9134476],66
[0.08642149],11,1,[2.970517],67
[0.08555535],11,11,[2.9117284],68
[0.08575489],11,11,[2.911529],69
[0.08711395],11,9,[2.913561],70
[0.086418],11,11,[2.9108675],71
[0.08755647],11,6,[2.961977],72
[0.0884492],11,3,[2.912732],73
[0.08877449],11,3,[2.9125326],74
[0.08906119],11,3,[2.9122126],75
[0.0905289],11,14,[2.9138656],76
[0.08767371],11,10,[2.9489682],77
[0.089847],11,12,[2.9188445],78
[0.08899745],11,16,[2.938039],79
[0.09174218],11,5,[2.974799],80
[0.0908832],11,4,[2.9709418],81
[0.0909749],11,4,[2.970928],82
[0.0903512],11,8,[2.9676793],83
[0.0895942],11,18,[2.9398475],84
[0.09008656],11,1,[2.970479],85
[0.09002806],11,19,[2.9535882],86
[0.09004296],11,19,[2.9535365],87
[0.09013244],11,1,[2.9703908],88
[0.09058181],11,12,[2.9181824],89
[0.09057482],11,12,[2.9180105],90
[0.08856329],11,10,[2.9488788],91
[0.08962458],11,18,[2.939377],92
[0.08851941],11,10,[2.9487908],93
[0.08932837],11,7,[2.9470904],94
