probability,move,scenario_no,loss,move_no
[0.11178801],2,18,[2.943719],2073
[0.11325692],2,2,[2.8842082],2074
[0.11388039],2,12,[2.9420435],2075
[0.11405441],2,5,[2.9709804],2076
[0.11524644],2,12,[2.9414253],2077
[0.11510535],2,14,[2.948738],2078
[0.11514879],2,18,[2.9432588],2079
[0.11616433],2,16,[2.9634852],2080
[0.11706573],2,2,[2.880403],2081
[0.11775643],2,1,[2.9371457],2082
[0.11808366],2,19,[2.95393],2083
[0.11929815],2,1,[2.936845],2084
[0.11853015],2,8,[2.8913019],2085
[0.12033459],2,12,[2.938734],2086
[0.12063439],2,7,[2.9321654],2087
[0.12057256],2,16,[2.9633148],2088
[0.12000032],2,18,[2.94228],2089
[0.12085993],2,13,[2.9807682],2090
[0.12133719],2,10,[2.95725],2091
[0.12114558],2,19,[2.953885],2092
[0.12094001],2,5,[2.97121],2093
[0.12177388],2,1,[2.9350328],2094
[0.12179387],2,1,[2.9347186],2095
[0.12115765],2,13,[2.9806025],2096
[0.12105104],2,9,[2.962482],2097
[0.12123569],2,3,[2.9791064],2098
[0.12119707],2,3,[2.9790592],2099
[0.12086818],2,5,[2.9709215],2100
[0.12105701],2,19,[2.9531038],2101
[0.12096853],2,19,[2.9528937],2102
[0.1214771],2,1,[2.9317563],2103
[0.12057284],2,9,[2.9620292],2104
[0.12069712],2,16,[2.9625785],2105
[0.12079669],2,10,[2.956986],2106
[0.1212301],2,11,[2.9263797],2107
[0.12011551],2,6,[2.9843683],2108
[0.11931579],2,17,[2.9381166],2109
[0.11883413],2,18,[2.941071],2110
[0.11941995],2,3,[2.9783468],2111
[0.11852677],2,17,[2.9377387],2112
[0.11881573],2,6,[2.9842312],2113
[0.11834563],2,9,[2.961025],2114
[0.11874948],2,12,[2.9377375],2115
[0.1173239],2,17,[2.9365695],2116
[0.11734507],2,9,[2.9605317],2117
[0.11709938],2,13,[2.9800668],2118
[0.11653988],2,15,[2.9169948],2119
[0.11648703],2,3,[2.9779382],2120
[0.11692452],2,2,[2.8805113],2121
[0.11612687],2,14,[2.94945],2122
[0.11714792],2,7,[2.9326127],2123
[0.11679357],2,9,[2.959226],2124
[0.11778012],2,1,[2.9296315],2125
[0.11740064],2,16,[2.9619515],2126
[0.11741691],2,13,[2.9798367],2127
[0.1176454],2,16,[2.961743],2128
[0.11741773],2,5,[2.9705706],2129
[0.11687762],2,18,[2.9408436],2130
[0.11768271],2,6,[2.983829],2131
[0.11704689],2,17,[2.933746],2132
[0.1167153],2,18,[2.9403942],2133
[0.11656813],2,18,[2.940026],2134
[0.11619696],2,8,[2.8989782],2135
[0.11736578],2,7,[2.9318664],2136
[0.11756559],2,11,[2.9282892],2137
[0.11701705],2,1,[2.9288023],2138
[0.11589305],2,5,[2.9702775],2139
[0.11616983],2,10,[2.9572442],2140
[0.1165143],2,2,[2.88091],2141
[0.11649016],2,7,[2.9312546],2142
[0.11605816],2,14,[2.9495256],2143
[0.11567372],2,8,[2.8985486],2144
[0.11626279],2,17,[2.9328265],2145
[0.11753479],2,12,[2.9394026],2146
[0.11703599],2,16,[2.9606178],2147
[0.1169534],2,6,[2.983782],2148
[0.11602819],2,18,[2.9365764],2149
[0.11778428],2,11,[2.928223],2150
[0.11665951],2,19,[2.9525106],2151
[0.11747058],2,2,[2.8799608],2152
[0.1166529],2,14,[2.9492586],2153
[0.11745862],2,6,[2.9836705],2154
[0.11775898],2,13,[2.9797542],2155
[0.11794114],2,9,[2.9590588],2156
[0.11843038],2,6,[2.9835148],2157
[0.11842036],2,9,[2.958888],2158
[0.11885123],2,3,[2.9782684],2159
[0.11865577],2,5,[2.9702182],2160
[0.11966167],2,12,[2.9394014],2161
[0.12009948],2,2,[2.8773358],2162
[0.12035967],2,12,[2.9390285],2163
[0.11926176],2,18,[2.9353454],2164
[0.12176684],2,2,[2.8756719],2165
[0.12251188],2,1,[2.9293513],2166
[0.12262692],2,4,[2.9686975],2167
[0.12314739],2,15,[2.9232523],2168
[0.12417119],2,4,[2.9686708],2169
[0.12569639],2,1,[2.9287431],2170
[0.12536919],2,19,[2.9530215],2171
[0.12624492],2,10,[2.9588912],2172
[0.12575155],2,14,[2.9490523],2173
[0.1265996],2,3,[2.9782329],2174
[0.12594926],2,17,[2.9345338],2175
[0.12737218],2,10,[2.958666],2176
[0.12841614],2,2,[2.8690412],2177
[0.12748612],2,15,[2.9231572],2178
[0.12868159],2,3,[2.9780753],2179
[0.1291672],2,4,[2.9680743],2180
[0.12938479],2,5,[2.970527],2181
[0.13027233],2,3,[2.9778566],2182
[0.13066041],2,3,[2.9777224],2183
[0.13082364],2,13,[2.9799225],2184
[0.13090503],2,9,[2.958596],2185
[0.13103837],2,5,[2.9702678],2186
[0.13267359],2,1,[2.926575],2187
[0.1318301],2,16,[2.9620008],2188
[0.13293916],2,1,[2.9260185],2189
[0.13202447],2,16,[2.961841],2190
[0.13097313],2,17,[2.9344785],2191
[0.13093005],2,17,[2.93427],2192
[0.13175401],2,4,[2.967436],2193
[0.12998141],2,8,[2.9058154],2194
[0.13304983],2,2,[2.864414],2195
[0.13168047],2,9,[2.958126],2196
[0.1307301],2,8,[2.9054794],2197
[0.13235947],2,5,[2.9696004],2198
[0.13299133],2,19,[2.9533887],2199
[0.13138267],2,8,[2.904244],2200
[0.134957],2,11,[2.933666],2201
[0.1313441],2,8,[2.9028366],2202
[0.13474308],2,2,[2.862734],2203
[0.13352446],2,13,[2.9799554],2204
[0.13378207],2,5,[2.9691753],2205
[0.13525197],2,10,[2.9588015],2206
[0.13515748],2,6,[2.983965],2207
[0.13499767],2,5,[2.9688485],2208
[0.13570227],2,19,[2.9531949],2209
[0.13474298],2,17,[2.9324389],2210
[0.13535592],2,14,[2.9500644],2211
[0.13410583],2,8,[2.897248],2212
[0.13528977],2,14,[2.9498677],2213
[0.13386333],2,8,[2.895922],2214
[0.13754913],2,2,[2.859952],2215
[0.13819559],2,2,[2.8593104],2216
[0.1381271],2,10,[2.9588065],2217
[0.13803819],2,14,[2.9490626],2218
[0.14206164],2,2,[2.855466],2219
[0.14123742],2,9,[2.958448],2220
[0.14333959],2,6,[2.9842684],2221
[0.14392537],2,14,[2.9482658],2222
[0.14556237],2,9,[2.9583764],2223
[0.14505313],2,18,[2.942284],2224
[0.14808941],2,6,[2.9842644],2225
[0.1515868],2,2,[2.8459897],2226
[0.15068907],2,3,[2.9772143],2227
[0.15222996],2,16,[2.9633093],2228
[0.15638006],2,11,[2.9371948],2229
[0.15470634],2,6,[2.9841418],2230
[0.15580797],2,3,[2.977143],2231
[0.15737875],2,10,[2.9593346],2232
[0.15660511],2,5,[2.9685469],2233
[0.16121672],2,2,[2.836409],2234
[0.15769725],2,17,[2.9344425],2235
[0.15997921],2,14,[2.9465108],2236
[0.16567223],2,11,[2.9372385],2237
[0.16241586],2,15,[2.9310834],2238
[0.16301829],2,14,[2.946077],2239
[0.16494906],2,6,[2.9838662],2240
