probability,move,scenario_no,loss,move_no
[0.0955699],11,6,[2.9478679],1
[0.08733445],11,11,[2.9099922],2
[0.10465962],11,7,[2.9187293],3
[0.11547396],11,9,[2.967208],4
[0.12802204],11,17,[2.9653285],5
[0.1353855],11,18,[2.9460413],6
[0.14038722],11,3,[2.9308407],7
[0.14541128],11,13,[2.972031],8
[0.14893481],11,14,[2.9664378],9
[0.14922091],11,10,[2.9699228],10
[0.15058818],11,3,[2.9160929],11
[0.15040313],11,9,[2.9548833],12
[0.1498797],11,7,[2.872697],13
[0.14593358],11,10,[2.9658906],14
[0.14378631],11,13,[2.9672775],15
[0.14230625],7,4,[2.9589083],16
[0.14645083],7,2,[2.9795563],17
[0.15299912],7,10,[2.9596272],18
[0.15414387],7,9,[2.9412506],19
[0.15664127],7,3,[2.8802881],20
[0.15989895],7,5,[2.989285],21
[0.15938434],7,2,[2.9781594],22
[0.16158111],7,11,[2.8824422],23
[0.16021208],7,18,[2.9342773],24
[0.16015147],7,10,[2.948834],25
[0.15602677],7,12,[2.9765155],26
[0.15434729],7,19,[2.9743743],27
[0.15132254],7,12,[2.9754398],28
[0.14868307],7,12,[2.9742951],29
[0.1489532],7,16,[2.9873545],30
[0.14692087],3,4,[2.9553657],31
[0.14590807],3,5,[2.988461],32
[0.1466337],3,15,[2.9866908],33
[0.14542341],3,14,[2.9604454],34
[0.14453474],3,15,[2.9860516],35
[0.14117032],3,2,[2.9730966],36
[0.14113832],3,18,[2.922854],37
[0.14158244],3,3,[2.8563197],38
[0.14459021],3,4,[2.9476619],39
[0.14906175],3,8,[2.975453],40
[0.15248467],3,19,[2.9724011],41
[0.15900436],3,3,[2.838911],42
[0.16583431],3,17,[2.9641397],43
[0.17353928],3,16,[2.9845908],44
[0.18260868],3,4,[2.9408529],45
[0.1872621],3,2,[2.968339],46
[0.19315682],3,2,[2.9673183],47
[0.2028421],3,15,[2.9822657],48
[0.20382732],3,1,[2.992934],49
[0.20838754],3,5,[2.987221],50
[0.2197715],3,3,[2.7784493],51
[0.22547433],3,7,[2.90202],52
[0.23540008],3,1,[2.9927764],53
[0.25255722],3,13,[2.9736264],54
[0.2609967],3,12,[2.9667866],55
[0.26652735],3,10,[2.9537525],56
[0.2710282],3,7,[2.8975563],57
[0.27504402],3,4,[2.9314144],58
[0.27258632],3,16,[2.9851303],59
[0.29157078],3,3,[2.70751],60
[0.29483628],3,17,[2.9648247],61
[0.30291888],3,19,[2.9736805],62
[0.31543177],3,6,[2.9686441],63
[0.32644796],3,7,[2.8829172],64
[0.33015868],3,19,[2.9738297],65
[0.33149236],3,2,[2.9630857],66
[0.36626127],3,3,[2.6341732],67
[0.3900146],3,3,[2.6109211],68
[0.39168462],3,1,[2.996045],69
[0.46662468],3,3,[2.5361898],70
[0.4740372],3,1,[2.9987593],71
[0.53863156],3,14,[2.984071],72
[0.56454146],3,9,[2.9818048],73
[0.6040793],3,17,[2.9867857],74
[0.6249149],3,9,[2.9871955],75
[0.6580308],3,5,[3.0063262],76
[0.6587502],3,19,[2.992797],77
[0.67333263],3,16,[3.005109],78
[0.6903558],3,8,[3.006568],79
[0.6968062],3,8,[3.006957],80
[0.6944797],3,7,[2.9307146],81
[0.739579],3,3,[2.2739687],82
[0.7127589],3,9,[2.9937868],83
[0.76501614],3,3,[2.2499037],84
[0.7393285],3,8,[3.0095727],85
[0.762819],3,9,[2.9986],86
[0.77353287],3,18,[3.0028777],87
[0.7833726],3,9,[3.000103],88
[0.81479317],3,12,[3.0118651],89
[0.7846079],3,18,[3.003819],90
[0.76584965],3,6,[3.0055113],91
[0.82256156],3,13,[3.0142944],92
[0.7459666],3,6,[3.0033264],93
[0.7497307],3,10,[3.0021234],94
[0.70819527],3,6,[2.9991188],95
[0.7334332],3,15,[3.0095706],96
[0.7604626],3,13,[3.0081058],97
[0.64029473],3,2,[2.990911],98
[0.6058514],3,2,[2.9878805],99
[0.55076855],3,8,[2.9943256],100
[0.5230149],3,17,[2.9830582],101
[0.48888007],3,16,[2.992458],102
[0.45574963],3,17,[2.9777713],103
[0.4430709],3,9,[2.9528935],104
[0.4270664],3,1,[2.9962482],105
[0.37812465],3,8,[2.9817178],106
[0.36868334],3,11,[2.9444585],107
[0.3493051],3,2,[2.9655938],108
[0.32978064],3,18,[2.9523675],109
[0.31795073],3,19,[2.9644408],110
[0.30525985],3,5,[2.9858732],111
[0.29307404],3,5,[2.9848332],112
[0.2821333],3,10,[2.9564168],113
[0.27086684],3,16,[2.9780407],114
[0.26097763],3,18,[2.9426432],115
[0.2511241],3,17,[2.9598627],116
[0.24220924],3,6,[2.961031],117
[0.23345454],3,17,[2.9568367],118
[0.22560623],3,5,[2.9767504],119
[0.21776704],3,6,[2.9573863],120
[0.21053384],3,19,[2.9520853],121
[0.2033365],3,6,[2.953321],122
[0.19681355],3,14,[2.9767067],123
[0.19037014],3,7,[2.9047933],124
[0.18495484],3,14,[2.975802],125
[0.17979057],3,14,[2.9749823],126
[0.17496495],3,5,[2.9674776],127
[0.17042108],3,12,[2.9739413],128
[0.16601142],3,6,[2.9368327],129
[0.1618104],3,19,[2.940462],130
[0.15762825],3,11,[2.9264123],131
[0.1533249],3,6,[2.927779],132
[0.14913276],3,11,[2.9237783],133
[0.1448607],3,17,[2.9403865],134
[0.14090583],3,17,[2.938989],135
[0.13729441],3,15,[2.9840665],136
[0.13394387],3,12,[2.9723425],137
[0.13077855],3,17,[2.9310455],138
[0.12796582],3,10,[2.94964],139
[0.1251481],3,13,[2.9684463],140
[0.12230849],3,9,[2.9452748],141
[0.11970132],3,19,[2.9270236],142
[0.11710274],3,15,[2.9828403],143
[0.11468736],3,5,[2.9571753],144
[0.11221266],3,7,[2.9103043],145
[0.11008546],3,7,[2.909399],146
[0.108314],3,12,[2.9697652],147
[0.10665588],3,14,[2.968357],148
[0.10510442],3,18,[2.9376183],149
[0.1035565],3,15,[2.9807327],150
[0.10212602],3,4,[2.9569278],151
[0.10068653],3,14,[2.9666457],152
[0.10111097],7,8,[2.977435],153
[0.10206377],7,18,[2.934452],154
[0.1027903],7,13,[2.9667768],155
[0.10330933],7,14,[2.962985],156
[0.10367122],7,13,[2.9652915],157
[0.10387129],7,8,[2.9756827],158
[0.10391773],7,4,[2.9541354],159
[0.10390384],7,17,[2.9078403],160
[0.10361627],7,9,[2.9463863],161
[0.10327231],7,6,[2.9145343],162
[0.10279752],7,19,[2.9231253],163
[0.10205971],7,12,[2.9660585],164
[0.10122196],7,14,[2.9545238],165
[0.10036031],7,2,[2.9678092],166
[0.09949436],7,10,[2.9512625],167
[0.09861395],7,8,[2.971703],168
[0.09863085],17,13,[2.9570498],169
[0.09840805],17,16,[2.9814978],170
[0.09809434],17,7,[2.9015596],171
[0.09759664],17,2,[2.9667056],172
[0.09812953],7,11,[2.9307702],173
[0.09888343],7,16,[2.9807205],174
[0.09945959],7,11,[2.929043],175
[0.0997834],7,10,[2.9481337],176
[0.09997441],7,6,[2.9123242],177
[0.10002488],7,10,[2.945866],178
[0.09995649],7,15,[2.9780827],179
[0.0998162],7,15,[2.9777265],180
[0.09962125],7,10,[2.9400046],181
[0.09930602],7,13,[2.9495919],182
[0.0988414],7,3,[2.927721],183
[0.09843443],7,16,[2.9776359],184
[0.09792101],7,1,[2.9926941],185
[0.097476],7,7,[2.899918],186
[0.09905432],7,15,[2.9735434],187
[0.10044365],7,12,[2.9650762],188
[0.10153787],7,14,[2.9504554],189
[0.10241977],7,3,[2.926036],190
[0.10320828],7,19,[2.9321105],191
[0.1036955],7,18,[2.9370022],192
[0.10398892],7,18,[2.9363725],193
[0.10411861],7,13,[2.94286],194
[0.10402381],7,12,[2.9625833],195
[0.10377917],7,17,[2.9267132],196
[0.10338815],7,5,[2.970508],197
[0.10293262],7,5,[2.9701798],198
[0.10241162],7,2,[2.9663997],199
[0.10187101],7,17,[2.9242399],200
[0.10121476],7,4,[2.9586122],201
[0.10058796],7,1,[2.9922128],202
[0.09998965],7,2,[2.9650204],203
[0.09935612],7,19,[2.9297984],204
[0.09858518],7,2,[2.9633243],205
[0.09782553],7,6,[2.920048],206
[0.09703147],7,1,[2.9917405],207
[0.09631334],7,19,[2.9243867],208
[0.0954468],7,14,[2.949862],209
[0.09455385],7,1,[2.991292],210
[0.0937441],7,16,[2.9761608],211
[0.09289481],7,16,[2.9757507],212
[0.09204288],7,17,[2.912174],213
[0.0911404],7,19,[2.9109883],214
[0.09027734],19,7,[2.9072323],215
[0.09354525],19,1,[2.9901917],216
[0.09664241],19,16,[2.9725614],217
[0.09936668],19,11,[2.9350364],218
[0.10173664],19,2,[2.9541368],219
[0.10379042],19,2,[2.9530797],220
[0.10555617],19,16,[2.9690123],221
[0.10700928],19,12,[2.9622416],222
[0.10810076],19,15,[2.9728606],223
[0.1089669],19,8,[2.9780366],224
[0.10948531],19,19,[2.8879251],225
[0.11352715],19,11,[2.9323707],226
[0.11704737],19,18,[2.9384832],227
[0.11999028],19,17,[2.9053488],228
[0.12231316],19,6,[2.926379],229
[0.12411069],19,16,[2.9610717],230
[0.12552373],19,12,[2.961167],231
[0.12655905],19,17,[2.900577],232
[0.12705782],19,18,[2.937411],233
[0.127108],19,13,[2.9541817],234
[0.12686047],19,3,[2.9331937],235
[0.1262939],19,15,[2.9728653],236
[0.1255898],19,10,[2.951399],237
[0.12464759],19,6,[2.9251256],238
[0.12341671],19,15,[2.9716544],239
[0.12216005],19,17,[2.8845935],240
[0.1205762],19,17,[2.8805974],241
[0.12381984],17,12,[2.958539],242
[0.13011505],17,18,[2.932173],243
[0.13578369],17,16,[2.9563813],244
[0.14070676],17,19,[2.8851473],245
[0.14472923],17,15,[2.9681907],246
[0.14816388],17,16,[2.9543965],247
[0.1508835],17,11,[2.9360206],248
[0.15283544],17,9,[2.971152],249
[0.15437867],17,7,[2.9266543],250
[0.15553632],17,3,[2.9362576],251
[0.1561805],17,8,[2.9818966],252
[0.15667105],17,4,[2.9703724],253
[0.15683827],17,18,[2.928253],254
[0.15659751],17,1,[2.9913626],255
[0.15622519],17,8,[2.9813764],256
[0.15570854],17,2,[2.95619],257
[0.15489762],17,17,[2.8427827],258
[0.15956704],17,17,[2.8381371],259
[0.16905364],17,1,[2.9912496],260
[0.1779076],17,7,[2.9263813],261
[0.18584812],17,15,[2.964462],262
[0.19279535],17,2,[2.9561267],263
[0.19876128],17,17,[2.7992043],264
[0.21148264],17,17,[2.78659],265
[0.23085485],17,1,[2.9918015],266
[0.24940448],17,5,[2.9831488],267
[0.26671356],17,18,[2.9288034],268
[0.28201896],17,7,[2.928394],269
[0.29517436],17,8,[2.9838412],270
[0.3067764],17,13,[2.9720316],271
[0.31655133],17,1,[2.9931507],272
[0.32503286],17,17,[2.6744897],273
[0.34664744],17,12,[2.9730654],274
[0.36589548],17,5,[2.9876876],275
[0.38296235],17,11,[2.958791],276
[0.39700606],17,8,[2.9869738],277
[0.4088768],17,10,[2.9747996],278
[0.41822976],17,18,[2.9366636],279
[0.42423838],17,7,[2.9350746],280
[0.42705166],17,4,[2.9834518],281
[0.42836958],17,18,[2.9338357],282
[0.4267769],17,12,[2.9771826],283
[0.42378795],17,1,[2.9954977],284
[0.42023525],17,10,[2.9747252],285
[0.41545087],17,19,[2.9436052],286
[0.40895605],17,6,[2.9601855],287
[0.40133002],17,13,[2.9771507],288
[0.39328998],17,16,[2.9755867],289
[0.38467798],17,18,[2.9145842],290
[0.37447947],17,4,[2.9804456],291
[0.3644611],17,19,[2.9378867],292
[0.35381603],17,2,[2.9661944],293
[0.3433151],17,3,[2.9520226],294
[0.33274987],17,5,[2.9857488],295
[0.32280126],17,2,[2.9631922],296
[0.31307483],17,10,[2.9659402],297
[0.30352637],17,13,[2.9702237],298
[0.29438964],17,11,[2.9532056],299
[0.28532887],17,11,[2.9519575],300
[0.2763805],17,12,[2.9661996],301
[0.26788437],17,3,[2.946712],302
[0.25978994],17,7,[2.9199767],303
[0.25179017],17,13,[2.9649062],304
[0.24424158],17,13,[2.963613],305
[0.23712184],17,17,[2.7612705],306
[0.23874904],17,3,[2.9427495],307
[0.23991506],17,5,[2.9807372],308
[0.24051958],17,6,[2.9507644],309
[0.24050328],17,17,[2.7579134],310
[0.24802686],17,13,[2.9572377],311
[0.2544655],17,13,[2.9560633],312
[0.25984204],17,11,[2.942952],313
[0.26358414],17,12,[2.9628527],314
[0.2667236],17,17,[2.7319856],315
[0.2781115],17,5,[2.9812503],316
[0.28824964],17,6,[2.9523647],317
[0.29676023],17,18,[2.906737],318
[0.3034114],17,16,[2.9742656],319
[0.30868965],17,17,[2.6906095],320
[0.32411173],17,1,[2.9929178],321
[0.33835083],17,17,[2.6614442],322
[0.36285272],17,19,[2.943013],323
[0.38485476],17,6,[2.9570324],324
[0.40401947],17,5,[2.9863043],325
[0.42082205],17,15,[2.9871843],326
[0.4355012],17,5,[2.9875214],327
[0.44789943],17,10,[2.97724],328
[0.4579326],17,7,[2.9442618],329
[0.46471894],17,15,[2.9893332],330
[0.46993697],17,1,[2.9981003],331
[0.47389945],17,15,[2.9893785],332
[0.47609878],17,12,[2.9774852],333
[0.47702584],17,15,[2.988751],334
[0.47646773],17,15,[2.9881256],335
[0.47478443],17,15,[2.987216],336
[0.4721411],17,6,[2.9594069],337
[0.46768934],17,11,[2.9615552],338
[0.46177107],17,19,[2.9518473],339
[0.45448294],17,1,[2.9969792],340
[0.44683564],17,12,[2.9735222],341
[0.43928483],17,5,[2.9843266],342
[0.43072668],17,2,[2.9759758],343
[0.42236388],17,5,[2.9825172],344
[0.41358733],17,10,[2.97438],345
[0.40460753],17,16,[2.9814084],346
[0.3952846],17,14,[2.9883995],347
[0.38618577],17,13,[2.956728],348
[0.3766892],17,12,[2.9646006],349
[0.367795],17,4,[2.9838276],350
[0.35862958],17,14,[2.9864464],351
[0.3502927],17,8,[2.9888966],352
[0.3421413],17,17,[2.6576633],353
[0.34666327],17,6,[2.943882],354
[0.34984392],17,6,[2.943253],355
[0.3509625],17,2,[2.9698565],356
[0.35235828],17,16,[2.9769428],357
[0.35156918],17,9,[2.9866028],358
[0.35126674],17,10,[2.9687107],359
[0.34962666],17,8,[2.988434],360
[0.3470103],17,2,[2.968119],361
[0.3446387],17,18,[2.933121],362
[0.3404658],17,13,[2.9502695],363
[0.33678097],17,15,[2.9699395],364
[0.33103],17,12,[2.9561577],365
[0.32556367],17,12,[2.9548333],366
[0.3211047],17,10,[2.9648423],367
[0.31512156],17,5,[2.9721422],368
[0.3074548],17,13,[2.9437034],369
[0.3018817],17,4,[2.9807045],370
[0.29151744],17,3,[2.95161],371
[0.28982165],17,10,[2.960694],372
[0.28322637],17,16,[2.9713182],373
[0.27391005],17,2,[2.9608111],374
[0.26859498],17,4,[2.9786627],375
[0.25729394],17,3,[2.9452705],376
[0.2569354],17,7,[2.939919],377
[0.24929911],17,16,[2.966464],378
[0.24289629],17,1,[2.9892824],379
[0.23647128],17,14,[2.9792104],380
[0.23133856],17,11,[2.9523873],381
[0.22619727],17,11,[2.9517593],382
[0.22104895],17,8,[2.9818819],383
[0.21624012],17,4,[2.9738574],384
[0.21192123],17,1,[2.9870884],385
[0.20783801],17,16,[2.95781],386
[0.20326006],17,10,[2.9509418],387
[0.19975846],17,7,[2.9362807],388
[0.19489802],17,1,[2.9850664],389
[0.18967038],17,18,[2.9310489],390
[0.1877692],17,11,[2.9440985],391
[0.18492484],17,16,[2.9505298],392
[0.1814789],17,16,[2.9487054],393
[0.1762763],17,19,[2.9431992],394
[0.17362666],17,11,[2.939075],395
[0.16914016],17,9,[2.9754226],396
[0.16582684],17,3,[2.9291947],397
[0.16357379],17,16,[2.9366775],398
[0.15943968],17,13,[2.9384873],399
[0.15609598],17,9,[2.9740355],400
[0.15339057],17,14,[2.9738162],401
[0.15065376],17,6,[2.942148],402
[0.14818373],17,16,[2.922699],403
[0.1454139],17,16,[2.9185112],404
[0.14248729],17,13,[2.9365876],405
[0.13977888],17,11,[2.9285588],406
[0.1366905],17,10,[2.948636],407
[0.13401243],17,8,[2.9777455],408
[0.1317678],17,13,[2.9324713],409
[0.12806958],17,4,[2.9689894],410
[0.12777115],17,3,[2.9273486],411
[0.12542698],17,3,[2.9258008],412
[0.12209971],17,12,[2.9453542],413
[0.12153439],16,10,[2.9467297],414
[0.12300789],16,8,[2.975851],415
[0.12408465],16,10,[2.9455836],416
[0.12479637],16,15,[2.9714537],417
[0.12474532],16,14,[2.97168],418
[0.12462565],16,13,[2.9217901],419
[0.12395228],16,9,[2.9670968],420
[0.12306172],16,10,[2.939489],421
[0.12212575],16,11,[2.929233],422
[0.12128042],16,19,[2.9523022],423
[0.11996811],16,4,[2.9655755],424
[0.1187332],16,18,[2.943035],425
[0.11705428],16,13,[2.9125428],426
[0.11538008],16,8,[2.9715521],427
[0.1135956],16,1,[2.9816616],428
[0.1115621],16,7,[2.9439714],429
[0.10962749],16,4,[2.9639344],430
[0.10781574],16,11,[2.9245195],431
[0.10579616],16,16,[2.891601],432
[0.10804483],16,1,[2.9808176],433
[0.10976016],16,6,[2.9493876],434
[0.11107145],16,13,[2.8993402],435
[0.11216127],16,8,[2.9689374],436
[0.11278629],16,5,[2.9711862],437
[0.11298598],16,7,[2.944794],438
[0.11300573],16,7,[2.9445708],439
[0.11290925],16,5,[2.970433],440
[0.11223558],16,7,[2.943319],441
[0.11194371],16,12,[2.9470143],442
[0.11234874],13,19,[2.9543223],443
[0.11261139],13,2,[2.965531],444
[0.11289474],13,17,[2.9165993],445
[0.112899],13,5,[2.9672875],446
[0.11241484],13,18,[2.9433043],447
[0.11214581],13,18,[2.9426212],448
[0.11210541],13,13,[2.8853025],449
[0.11619139],13,7,[2.936867],450
[0.11853543],13,4,[2.9628165],451
[0.12025046],13,8,[2.9679883],452
[0.12177442],13,14,[2.972921],453
[0.12270711],13,15,[2.971964],454
[0.12323995],13,16,[2.9047673],455
[0.12358262],13,8,[2.9667277],456
[0.12365104],13,1,[2.9813447],457
[0.12351564],13,1,[2.9810915],458
[0.12318105],13,8,[2.964771],459
[0.12263528],13,19,[2.9514744],460
[0.1218894],13,7,[2.9327848],461
[0.12096882],13,17,[2.9077666],462
[0.11991041],13,5,[2.9637756],463
[0.11877243],13,4,[2.961277],464
[0.11789839],13,3,[2.9416835],465
[0.11662288],13,3,[2.9408162],466
[0.11475833],13,9,[2.970581],467
[0.11328972],13,12,[2.9495049],468
[0.11180586],13,1,[2.9767118],469
[0.11171027],13,3,[2.9329257],470
[0.1089011],13,7,[2.928508],471
[0.1074832],13,6,[2.9481778],472
[0.10622731],13,15,[2.9700475],473
[0.10484001],13,18,[2.9394932],474
[0.10330543],13,6,[2.9475303],475
[0.1020709],13,9,[2.9673653],476
[0.1006962],13,9,[2.966857],477
[0.09848665],13,4,[2.9575486],478
[0.0984659],13,12,[2.94756],479
[0.09662373],13,2,[2.964355],480
[0.09475945],13,10,[2.9434307],481
[0.0939406],13,15,[2.968466],482
[0.09256908],13,6,[2.9442146],483
[0.09120188],13,16,[2.918922],484
[0.09036144],13,17,[2.9080184],485
[0.08919087],17,14,[2.9686868],486
[0.08944475],17,4,[2.9544692],487
[0.08967821],17,4,[2.9539344],488
[0.09036398],17,9,[2.9622147],489
[0.09042837],17,11,[2.9429138],490
[0.08957832],17,14,[2.9674075],491
[0.09002887],17,5,[2.9641387],492
[0.08977055],17,1,[2.9710305],493
[0.089403],17,1,[2.9705048],494
[0.09042493],3,3,[2.906834],495
[0.08806748],17,5,[2.9636295],496
[0.08796089],3,13,[2.9207351],497
[0.08663329],17,15,[2.9648066],498
[0.0861134],3,4,[2.9477189],499
[0.08692103],3,14,[2.9647143],500
[0.08539893],3,1,[2.9646611],501
[0.08567493],3,8,[2.9573188],502
[0.08442692],3,2,[2.9608576],503
[0.08780431],3,10,[2.9457319],504
[0.08696783],3,8,[2.9562001],505
[0.11713613],3,3,[2.8801696],506
[0.0921769],3,18,[2.9454184],507
[0.09287614],3,8,[2.954439],508
[0.1555592],3,3,[2.8419552],509
[0.10479889],3,17,[2.9158294],510
[0.11329388],3,11,[2.9520578],511
[0.15308407],3,1,[2.9615283],512
[0.14373656],3,16,[2.9305575],513
[0.19982357],3,19,[2.966896],514
[0.16907072],3,2,[2.9645813],515
[0.18542095],3,17,[2.9083877],516
[0.25045317],3,5,[2.9815876],517
[0.23862521],3,10,[2.959598],518
[0.1908121],3,18,[2.9514608],519
[0.14635494],3,6,[2.9511845],520
[0.15370423],3,10,[2.9498935],521
[0.13380884],3,10,[2.9471304],522
[0.12095781],3,5,[2.966787],523
[0.10566039],3,16,[2.9283621],524
[0.11249786],3,14,[2.9651299],525
[0.10104366],3,10,[2.9406283],526
[0.09932909],3,15,[2.9655955],527
[0.0965733],3,10,[2.937994],528
[0.095086],3,10,[2.9363143],529
[0.09400429],3,15,[2.9646847],530
[0.09275343],3,15,[2.9641528],531
[0.09073386],3,11,[2.947478],532
[0.09025991],3,5,[2.9611883],533
[0.08960287],3,14,[2.963042],534
[0.08826263],3,9,[2.960558],535
[0.08717133],3,8,[2.9519117],536
[0.08634444],3,16,[2.9245443],537
[0.08583187],3,10,[2.924131],538
[0.08701497],3,13,[2.9356],539
[0.08359477],17,11,[2.9454663],540
[0.08316829],3,7,[2.9343934],541
[0.08248916],17,5,[2.9587274],542
[0.08202498],17,1,[2.9607074],543
[0.08143069],17,15,[2.9594014],544
[0.0809928],17,10,[2.916762],545
[0.08184956],10,6,[2.947452],546
[0.09254631],3,3,[2.904695],547
[0.08428325],10,18,[2.9423037],548
[0.10556847],3,3,[2.8917253],549
[0.08636761],10,17,[2.9180958],550
[0.08725292],10,9,[2.9602098],551
[0.08850124],10,14,[2.9630237],552
[0.08821972],10,11,[2.9436498],553
[0.09000164],3,5,[2.9585342],554
[0.09267398],3,5,[2.958498],555
[0.10083999],3,4,[2.9569058],556
[0.1432695],3,12,[2.962803],557
[0.10037596],3,18,[2.9425535],558
[0.43276],3,3,[2.5691495],559
[0.10714701],3,19,[2.9637225],560
[0.11921763],3,8,[2.9545996],561
[0.13090292],3,7,[2.9330368],562
[0.15927596],3,17,[2.918817],563
[0.1977392],3,1,[2.9690485],564
[0.26823807],3,15,[2.9741926],565
[0.2217183],3,19,[2.9720206],566
[0.7212638],3,13,[3.002944],567
[0.3913014],3,14,[2.9814968],568
[0.33580273],3,14,[2.9777632],569
[0.17438819],3,7,[2.931559],570
[0.14862664],3,2,[2.9667084],571
[0.14866036],3,5,[2.9581387],572
[0.13646504],3,9,[2.9634852],573
[0.14526705],3,4,[2.9596205],574
[0.7789574],3,3,[2.2367396],575
[0.10764297],3,6,[2.9498765],576
[0.11377703],3,9,[2.9607735],577
[0.11328162],3,9,[2.9602852],578
[0.10552082],3,11,[2.9425237],579
[0.10928069],3,1,[2.9619722],580
[0.10371026],3,6,[2.948013],581
[0.31754807],3,13,[2.9616542],582
[0.10492866],3,9,[2.9581394],583
[0.87356645],3,3,[2.147967],584
[0.10281705],3,18,[2.9417403],585
[0.90018064],3,3,[2.1231866],586
[0.10257197],3,11,[2.9387116],587
[0.1062043],3,9,[2.9565845],588
[0.10688864],3,11,[2.9369986],589
[0.26384032],3,13,[2.9506488],590
[0.10606182],3,10,[2.931671],591
[0.95316255],3,3,[2.0741098],592
[0.10831715],3,19,[2.954323],593
[0.11116293],3,14,[2.9607966],594
[0.21372001],3,12,[2.966196],595
[0.11105549],3,14,[2.9606922],596
[0.10940646],3,19,[2.953458],597
[0.1093066],3,16,[2.939481],598
[0.97149134],3,3,[2.0572128],599
[0.10870159],3,16,[2.938743],600
[0.10875264],3,7,[2.937597],601
[0.14917177],3,13,[2.9336765],602
[0.10780051],3,7,[2.9374049],603
[0.10882296],3,18,[2.9408557],604
[0.10637128],3,7,[2.9365933],605
[0.10985969],3,2,[2.9644492],606
[0.9785138],3,3,[2.0507503],607
[0.12827456],3,13,[2.9284837],608
[0.10346808],3,4,[2.956135],609
[0.10467756],3,11,[2.9292138],610
[0.1293365],3,12,[2.9585283],611
[0.10291447],3,9,[2.9575217],612
[0.10051532],3,10,[2.9318392],613
[0.10141344],3,9,[2.9566708],614
[0.98181355],3,3,[2.047716],615
[0.10076044],3,8,[2.9634013],616
[0.09931865],3,5,[2.9528139],617
[0.09798376],3,16,[2.933901],618
[0.0986262],3,18,[2.9397376],619
[0.09685735],3,1,[2.969441],620
[0.9845147],3,3,[2.045233],621
[0.9850227],3,3,[2.044766],622
[0.09494758],3,10,[2.9298828],623
[0.09565575],3,17,[2.929977],624
[0.09703423],3,2,[2.9636385],625
[0.09376407],3,16,[2.9312868],626
[0.09308084],3,16,[2.930468],627
[0.09236707],3,14,[2.958922],628
[0.09157597],3,7,[2.93489],629
