probability,move,scenario_no,loss,move_no
[0.16283405],12,7,[2.96732],1
[0.1595037],12,17,[2.977132],2
[0.14939344],12,10,[2.9583278],3
[0.1441064],12,2,[2.940148],4
[0.13496561],12,2,[2.9319046],5
[0.12146793],12,15,[2.9716232],6
[0.11550397],12,13,[2.936429],7
[0.10670906],12,6,[2.9618013],8
[0.1072454],2,15,[2.9662728],9
[0.11082975],2,7,[2.9280386],10
[0.11961086],2,14,[2.9522116],11
[0.12623739],2,12,[2.9101648],12
[0.12408662],2,17,[2.9511907],13
[0.12615515],2,7,[2.9099946],14
[0.12694763],2,7,[2.9031367],15
[0.13271177],2,11,[2.9376898],16
[0.12998669],2,12,[2.8919585],17
[0.12541519],2,18,[2.957701],18
[0.12697752],7,18,[2.9574234],19
[0.13229148],7,10,[2.93179],20
[0.13897751],7,6,[2.9516187],21
[0.14609537],7,5,[2.9748387],22
[0.1459462],7,4,[2.9845386],23
[0.14901404],7,12,[2.854812],24
[0.15100259],7,10,[2.9251447],25
[0.15954337],12,16,[2.9872527],26
[0.16345158],12,15,[2.956252],27
[0.17209677],12,10,[2.9166331],28
[0.17556818],12,1,[2.9858854],29
[0.1853152],12,11,[2.9261348],30
[0.19418797],12,3,[2.9889805],31
[0.19772302],12,12,[2.8006077],32
[0.2100738],12,8,[2.9888864],33
[0.2194656],12,7,[2.8529534],34
[0.22088626],12,6,[2.944053],35
[0.22982135],12,1,[2.9871604],36
[0.24558452],12,8,[2.9901233],37
[0.24361786],12,10,[2.8935664],38
[0.25405538],12,8,[2.9901059],39
[0.24555196],12,6,[2.938804],40
[0.25667647],12,11,[2.9169686],41
[0.26284444],12,12,[2.7363029],42
[0.26353616],12,18,[2.9611726],43
[0.28301206],12,11,[2.9111538],44
[0.2816987],12,9,[2.9939592],45
[0.2903792],12,1,[2.9884763],46
[0.2985162],12,18,[2.9625225],47
[0.3034293],12,10,[2.8805678],48
[0.29514387],12,4,[2.9918778],49
[0.30403122],12,10,[2.8702195],50
[0.30690295],12,7,[2.8676958],51
[0.28566158],12,19,[2.9952576],52
[0.29452297],12,8,[2.9902554],53
[0.27717936],12,10,[2.8328972],54
[0.26047957],12,4,[2.9918532],55
[0.2630685],12,7,[2.85706],56
[0.24653071],12,18,[2.9530253],57
[0.24163032],12,13,[2.9675143],58
[0.232527],12,2,[2.9662888],59
[0.23207167],10,1,[2.9896975],60
[0.23351917],10,11,[2.9027417],61
[0.23844247],10,2,[2.965176],62
[0.24038124],10,11,[2.898143],63
[0.24458537],10,18,[2.9422793],64
[0.2395769],10,12,[2.8133101],65
[0.23624547],10,7,[2.820489],66
[0.2368115],10,19,[2.99409],67
[0.2233984],10,9,[2.9949467],68
[0.2133023],10,7,[2.7981415],69
[0.20821075],10,18,[2.9355218],70
[0.21619663],7,19,[2.9941032],71
[0.2239792],7,12,[2.8159068],72
[0.23760752],7,13,[2.9698486],73
[0.24253255],7,6,[2.9566362],74
[0.24795215],7,9,[2.9953558],75
[0.24500014],7,12,[2.7941124],76
[0.24441904],7,3,[2.9959226],77
[0.2481585],7,11,[2.872757],78
[0.24048562],7,3,[2.9961948],79
[0.24554345],7,15,[2.982279],80
[0.24576788],7,4,[2.9928699],81
[0.24408919],7,5,[2.9934566],82
[0.24425822],12,6,[2.9554186],83
[0.26228705],12,8,[2.993275],84
[0.2533435],12,1,[2.9907644],85
[0.27880564],12,2,[2.968118],86
[0.26690575],12,17,[2.9884758],87
[0.2605406],12,6,[2.9486876],88
[0.26009944],12,14,[2.987229],89
[0.2857494],12,11,[2.8470078],90
[0.2608898],12,18,[2.9319296],91
[0.24839708],12,19,[2.994643],92
[0.24972448],12,1,[2.988124],93
[0.24310063],12,6,[2.9352412],94
[0.23038372],12,4,[2.9905703],95
[0.23592469],12,18,[2.9199986],96
[0.24941605],12,11,[2.8157744],97
[0.23075558],12,8,[2.9905279],98
[0.21123801],12,6,[2.9195683],99
[0.24104054],12,12,[2.7586045],100
[0.22035427],12,8,[2.9898252],101
[0.21443595],12,18,[2.9018042],102
[0.23229666],12,13,[2.9775555],103
[0.22594617],12,8,[2.988943],104
[0.21465796],12,14,[2.9846456],105
[0.22027503],12,16,[2.9954598],106
[0.24024872],12,3,[2.9944854],107
[0.21815364],12,16,[2.9951792],108
[0.22049074],12,10,[2.923503],109
[0.2075971],12,6,[2.889992],110
[0.23597547],12,11,[2.796187],111
[0.19587635],12,4,[2.9886613],112
[0.19983763],12,9,[2.994821],113
[0.19616409],11,6,[2.8720887],114
[0.22321744],11,7,[2.884628],115
[0.21574017],11,16,[2.994333],116
[0.21291046],11,3,[2.9939246],117
[0.201325],11,19,[2.9927695],118
