probability,move,scenario_no,loss,move_no
[0.11374468],10,13,[2.9620702],1
[0.11250795],10,8,[2.9694064],2
[0.11400926],10,15,[2.950306],3
[0.11510598],10,2,[2.9657345],4
[0.11389195],10,16,[2.9301603],5
[0.11189943],10,8,[2.968561],6
[0.11336547],10,16,[2.929176],7
[0.11229891],10,10,[2.8851163],8
[0.11299906],10,18,[2.9604325],9
[0.11528551],10,2,[2.9646754],10
[0.11333353],10,5,[2.9524632],11
[0.11435796],10,10,[2.8830593],12
[0.11442631],10,11,[2.942911],13
[0.11569773],10,10,[2.8817213],14
[0.1175064],10,9,[2.9562027],15
[0.11730598],10,18,[2.959645],16
[0.12036958],10,4,[2.9141796],17
[0.1209249],10,4,[2.9138753],18
[0.1190518],10,18,[2.9593174],19
[0.11844338],10,8,[2.967295],20
[0.11994713],10,10,[2.87748],21
[0.12179498],10,17,[2.9740896],22
[0.12239621],10,17,[2.97402],23
[0.12216754],10,12,[2.9765046],24
[0.12324308],10,9,[2.9556537],25
[0.12306505],10,12,[2.976409],26
[0.12369795],10,3,[2.9054148],27
[0.12362679],10,15,[2.947514],28
[0.12348874],10,7,[2.9740584],29
[0.12411072],10,15,[2.9472816],30
[0.12198745],10,6,[2.9600751],31
[0.12210862],10,6,[2.9599855],32
[0.12486237],10,16,[2.9256728],33
[0.12534551],10,9,[2.955141],34
[0.12428964],10,19,[2.9109511],35
[0.12664682],10,4,[2.9100816],36
[0.12429915],10,18,[2.958148],37
[0.12335364],10,5,[2.9518495],38
[0.12518375],10,9,[2.9546974],39
[0.12333794],10,11,[2.942075],40
[0.12405728],10,13,[2.9597473],41
[0.12474483],10,14,[2.9512842],42
[0.1242576],10,12,[2.9759176],43
[0.12414984],10,12,[2.9758701],44
[0.12428021],10,3,[2.9049413],45
[0.12342984],10,19,[2.9103663],46
[0.12431332],10,9,[2.9539146],47
[0.12102918],10,6,[2.9588542],48
[0.1208454],10,6,[2.9587543],49
[0.12193748],10,5,[2.951528],50
[0.1204464],10,6,[2.9584305],51
[0.12023371],10,6,[2.958218],52
[0.12215196],10,18,[2.9576414],53
[0.12201342],10,13,[2.9594545],54
[0.12063601],10,8,[2.9670928],55
[0.12044133],10,8,[2.9670465],56
[0.12144142],10,10,[2.8759878],57
[0.12163677],10,10,[2.875793],58
[0.12130854],10,11,[2.9420767],59
[0.12245239],10,18,[2.9572742],60
[0.12174197],10,8,[2.966647],61
[0.12367751],10,16,[2.9254656],62
[0.12357534],10,10,[2.8738596],63
[0.12422033],10,15,[2.9468958],64
[0.12224101],10,6,[2.9566853],65
[0.12503125],10,10,[2.8724084],66
[0.12779276],10,4,[2.9104896],67
[0.12614691],10,19,[2.909944],68
[0.12665841],10,13,[2.9589877],69
[0.12895094],10,2,[2.96485],70
[0.12935083],10,2,[2.9648101],71
[0.12905659],10,17,[2.9740207],72
[0.12921923],10,9,[2.953242],73
[0.12843749],10,18,[2.9569685],74
[0.12969862],10,9,[2.9531398],75
[0.12946503],10,14,[2.952322],76
[0.13116817],10,4,[2.9097595],77
[0.12906003],10,18,[2.9567242],78
[0.12898152],10,7,[2.9750047],79
[0.1298536],10,14,[2.9520772],80
[0.12983643],10,3,[2.9072351],81
[0.12937804],10,15,[2.9470341],82
[0.12847947],10,11,[2.942017],83
[0.12818143],10,5,[2.9519432],84
[0.12813745],10,5,[2.9518757],85
[0.12935437],10,10,[2.8681028],86
[0.13044524],10,9,[2.9524145],87
