probability,move,scenario_no,loss,move_no
[0.1375749],2,16,[2.9707005],1
[0.13941751],2,12,[2.9827538],2
[0.13608865],2,8,[2.9677734],3
[0.13607576],2,4,[2.9754627],4
[0.1331445],2,6,[2.9514964],5
[0.13488914],2,15,[2.9537256],6
[0.12893978],2,17,[2.9701762],7
[0.12659846],2,19,[2.911985],8
[0.12732723],2,3,[2.9679573],9
[0.12473813],2,12,[2.9777796],10
[0.11804055],2,18,[2.8864827],11
[0.12086952],2,15,[2.9452453],12
[0.11857655],18,17,[2.9663327],13
[0.12008444],18,13,[2.9689078],14
[0.12367769],18,8,[2.9566665],15
[0.1254376],18,4,[2.9685314],16
[0.12630858],18,19,[2.894254],17
[0.12937127],18,3,[2.9636486],18
[0.12925614],18,13,[2.9665406],19
[0.13206245],18,2,[2.8989778],20
[0.13156177],18,4,[2.966196],21
[0.13215084],18,3,[2.9613726],22
[0.1306956],18,19,[2.8816578],23
[0.13067192],18,18,[2.8668919],24
[0.13422245],18,16,[2.9540887],25
[0.13885602],18,6,[2.9381998],26
[0.14112172],18,10,[2.964252],27
[0.13771233],18,7,[2.9806647],28
[0.14035153],18,12,[2.9754236],29
[0.14249907],18,17,[2.9625237],30
[0.1455892],18,1,[2.9651825],31
[0.1437171],18,3,[2.9569688],32
[0.14383861],18,17,[2.9612846],33
[0.14293012],18,5,[2.9719667],34
[0.1423317],18,12,[2.9746318],35
[0.14336325],18,17,[2.9592361],36
[0.14279354],18,3,[2.9540849],37
[0.13733353],18,9,[2.954204],38
[0.14347163],18,11,[2.9482477],39
[0.13550507],18,9,[2.95315],40
[0.13951765],18,2,[2.897557],41
[0.13666107],18,19,[2.8637571],42
[0.1379553],18,10,[2.9628859],43
[0.13735929],19,10,[2.9625297],44
[0.1356633],19,1,[2.9633424],45
[0.13817447],19,9,[2.9481258],46
[0.13713247],19,11,[2.9466727],47
[0.13855016],19,2,[2.8900416],48
[0.13914642],19,12,[2.97207],49
[0.14039658],19,18,[2.8744435],50
[0.13780428],19,1,[2.9618382],51
[0.13789012],19,2,[2.882114],52
[0.13769971],19,12,[2.9711866],53
[0.13986607],19,8,[2.9586272],54
[0.13625492],19,12,[2.9703856],55
[0.13456178],19,1,[2.9600635],56
[0.13421072],19,2,[2.8684027],57
[0.13460484],2,15,[2.9489534],58
[0.1348322],2,6,[2.941165],59
[0.13858932],2,4,[2.965747],60
[0.14070101],2,10,[2.9586077],61
[0.14607546],2,3,[2.9517913],62
[0.14174075],2,18,[2.876947],63
[0.14449838],2,17,[2.954144],64
[0.15120763],2,12,[2.9669266],65
[0.14717408],2,7,[2.981931],66
[0.15635312],2,5,[2.9746149],67
[0.15343277],2,15,[2.9490669],68
[0.1536394],2,15,[2.94843],69
[0.15051855],2,4,[2.9652934],70
[0.15317148],2,15,[2.9460404],71
[0.14687406],2,17,[2.9526622],72
[0.15093952],2,9,[2.9425275],73
[0.14858368],2,1,[2.9549341],74
[0.14498946],2,17,[2.9509978],75
[0.14890201],2,11,[2.947496],76
[0.14910169],2,2,[2.8486264],77
[0.1504757],2,14,[2.9868927],78
[0.15372057],2,12,[2.9643445],79
[0.15383081],2,9,[2.9406643],80
[0.15357435],2,4,[2.9635441],81
[0.15264148],2,19,[2.8885958],82
[0.15115532],2,18,[2.8777964],83
[0.15140222],2,8,[2.96388],84
[0.15543239],2,4,[2.9624557],85
[0.15895598],2,2,[2.8388124],86
[0.15349881],2,18,[2.8737044],87
[0.16685031],2,5,[2.9749217],88
[0.1642834],2,11,[2.9475],89
[0.16624],2,15,[2.9383998],90
[0.16646777],2,14,[2.9871404],91
[0.15979733],2,8,[2.9638064],92
[0.16248617],2,19,[2.8880591],93
[0.16459757],2,4,[2.960609],94
[0.16698013],2,14,[2.9869068],95
[0.15928575],2,8,[2.962418],96
[0.16126335],2,7,[2.983428],97
[0.16054794],2,19,[2.8825295],98
[0.15865155],2,17,[2.949329],99
[0.15964785],2,16,[2.969637],100
[0.16480859],2,12,[2.9641786],101
[0.16204712],2,11,[2.9467297],102
[0.15787138],2,1,[2.9577255],103
[0.15157695],2,18,[2.858629],104
[0.15382488],2,4,[2.9571626],105
[0.14935921],2,17,[2.9476185],106
[0.15322794],2,3,[2.960522],107
[0.15213771],2,15,[2.937362],108
[0.15360475],2,5,[2.9755237],109
[0.1516935],2,5,[2.9753063],110
[0.14801782],2,12,[2.9631677],111
[0.15006387],18,17,[2.9447834],112
[0.14695528],18,14,[2.9858027],113
[0.15083146],18,18,[2.847022],114
[0.15485749],18,1,[2.955592],115
[0.15518998],18,11,[2.9432132],116
[0.15413617],18,15,[2.9334087],117
[0.15913068],18,3,[2.9600492],118
[0.16299492],18,6,[2.9590607],119
[0.16425711],18,6,[2.958856],120
[0.16508563],18,6,[2.9582098],121
[0.16430965],18,4,[2.9538138],122
[0.16681048],18,18,[2.8310506],123
[0.16636373],18,16,[2.9703226],124
[0.16634329],18,9,[2.951291],125
[0.17573585],18,6,[2.954688],126
[0.17911635],18,1,[2.95228],127
[0.1735774],18,12,[2.9630334],128
[0.1829734],18,18,[2.8149514],129
[0.17973402],18,9,[2.9510007],130
[0.18681629],18,2,[2.884463],131
[0.19016844],18,2,[2.883845],132
[0.19705757],18,6,[2.9511154],133
[0.19803487],18,4,[2.9533412],134
[0.1926146],18,12,[2.9627352],135
[0.19327758],18,12,[2.9622982],136
[0.2047044],18,18,[2.793396],137
[0.20415561],18,3,[2.9602852],138
[0.20856501],18,3,[2.9602253],139
[0.20736066],18,9,[2.9477272],140
[0.21688877],18,19,[2.8983135],141
[0.21232428],18,9,[2.946347],142
[0.2262315],18,18,[2.7720754],143
[0.22931954],18,10,[2.9756238],144
[0.23328207],18,19,[2.8975198],145
[0.23821363],18,4,[2.9544468],146
[0.23925313],18,13,[2.983338],147
[0.24553178],18,19,[2.8938046],148
[0.25050336],18,17,[2.9538512],149
[0.24196957],18,9,[2.9414065],150
[0.24273042],18,9,[2.9402404],151
[0.25369835],18,1,[2.958605],152
[0.24186487],18,15,[2.943509],153
[0.2455298],18,7,[2.9884038],154
[0.2520409],18,1,[2.9580746],155
[0.25094846],18,1,[2.957321],156
[0.2419196],18,11,[2.955336],157
[0.2459751],18,6,[2.9520707],158
[0.2400186],18,3,[2.9595358],159
[0.23675664],18,16,[2.976976],160
[0.23534426],18,3,[2.958393],161
[0.23892574],18,8,[2.9719677],162
[0.22665747],18,2,[2.8864818],163
[0.23154667],18,10,[2.9771683],164
[0.22761181],18,6,[2.9488318],165
[0.227051],18,17,[2.9532952],166
[0.21241315],18,9,[2.925078],167
[0.20778283],18,5,[2.9806004],168
[0.21316907],18,6,[2.945352],169
[0.21647279],18,18,[2.781804],170
[0.21464773],18,8,[2.9709868],171
[0.21651669],18,17,[2.951265],172
[0.2173305],18,8,[2.97054],173
[0.20604241],18,15,[2.9436824],174
[0.21130326],18,7,[2.9881709],175
[0.20603585],18,5,[2.9802258],176
[0.21167196],18,7,[2.9880464],177
[0.21606125],18,10,[2.9760478],178
[0.21653602],18,1,[2.9483669],179
[0.20346674],18,12,[2.9632478],180
[0.213267],18,6,[2.9387472],181
[0.20133781],18,12,[2.9626164],182
[0.21456525],18,8,[2.9669683],183
[0.20620789],18,13,[2.9842894],184
[0.20059855],18,2,[2.884917],185
[0.20144078],18,3,[2.9523191],186
[0.19976303],18,16,[2.9756904],187
[0.19008236],18,12,[2.9591641],188
[0.20728816],18,18,[2.7908473],189
[0.19696248],18,3,[2.9506366],190
[0.19187851],18,12,[2.9573262],191
[0.20149624],18,7,[2.9868407],192
[0.20562004],18,4,[2.9585874],193
[0.19494642],18,12,[2.9547703],194
[0.20074198],18,9,[2.9225788],195
[0.19728601],18,5,[2.978908],196
[0.19442011],18,12,[2.9511385],197
[0.20060033],18,14,[2.990482],198
[0.19608216],18,15,[2.9440253],199
[0.20564136],18,1,[2.9465492],200
[0.19079182],18,12,[2.9452326],201
[0.19538169],18,11,[2.9564128],202
[0.19515052],18,14,[2.990151],203
[0.19916639],18,4,[2.9569743],204
[0.19733012],18,6,[2.9362898],205
[0.19684012],18,19,[2.9055],206
[0.18688083],18,11,[2.9543068],207
[0.1828432],18,15,[2.9418144],208
[0.19514018],18,8,[2.9638276],209
[0.1839782],18,13,[2.9835422],210
[0.17841376],18,2,[2.8867066],211
[0.1750656],18,15,[2.939029],212
[0.17234656],18,5,[2.9773996],213
[0.17189889],18,2,[2.883725],214
[0.16843879],18,15,[2.935806],215
[0.1749221],18,10,[2.9748385],216
[0.16475025],18,2,[2.8765347],217
[0.1612316],18,15,[2.9314587],218
[0.15809874],18,5,[2.9764295],219
[0.15644282],18,15,[2.9275098],220
[0.16080321],18,16,[2.975358],221
[0.15868002],18,16,[2.9751003],222
[0.15084156],18,2,[2.8587985],223
[0.16672893],18,18,[2.8311334],224
[0.15661176],18,1,[2.9455798],225
[0.14946428],18,15,[2.9144883],226
