probability,move,scenario_no,loss,move_no
[0.20241518],5,16,[2.9057424],1
[0.20011564],5,18,[2.910791],2
[0.19964233],5,5,[2.7983391],3
[0.20391734],5,11,[2.9594712],4
[0.20631951],5,3,[2.964598],5
[0.20640585],5,18,[2.906088],6
[0.21126217],5,7,[2.9621594],7
[0.20912315],5,18,[2.9035912],8
[0.21050352],5,9,[2.963056],9
[0.2097514],5,17,[2.956013],10
[0.21011952],5,17,[2.9557946],11
[0.2123618],5,2,[2.964294],12
[0.21340925],5,3,[2.963641],13
[0.21216264],5,14,[2.981973],14
[0.21208544],5,14,[2.981877],15
[0.21256721],5,12,[2.9727533],16
[0.21085313],5,18,[2.894122],17
[0.21126261],5,14,[2.9814575],18
[0.21154448],5,5,[2.7865934],19
[0.21275136],5,4,[2.9376605],20
[0.21394984],5,4,[2.9373207],21
[0.21513881],5,16,[2.895508],22
[0.21727982],5,13,[2.976422],23
[0.21708475],5,11,[2.9569325],24
[0.21581788],5,9,[2.9617803],25
[0.21682462],5,4,[2.9347067],26
[0.2165627],5,14,[2.9808218],27
[0.21701826],5,4,[2.933316],28
[0.2146091],5,17,[2.9527915],29
[0.21756016],5,5,[2.7806568],30
[0.21859469],5,16,[2.8925076],31
[0.21898551],5,15,[2.9765458],32
[0.22004032],5,15,[2.9764953],33
[0.22126853],5,14,[2.9805045],34
[0.22489344],5,10,[2.9850595],35
[0.22277868],5,8,[2.9825516],36
[0.22369114],5,12,[2.973323],37
[0.22632806],5,10,[2.9850044],38
[0.22516537],5,5,[2.7731392],39
[0.22850177],5,10,[2.984904],40
[0.22699356],5,15,[2.9756937],41
[0.231582],5,7,[2.9623988],42
[0.23609015],5,1,[2.9511695],43
[0.23094615],5,9,[2.9613802],44
[0.23373562],5,3,[2.9635015],45
[0.23270757],5,14,[2.980149],46
[0.23294507],5,15,[2.9750493],47
[0.23547329],5,3,[2.9631853],48
[0.23454677],5,12,[2.9731133],49
[0.2338761],5,15,[2.9745297],50
[0.23472309],5,16,[2.889849],51
[0.24024141],5,1,[2.949837],52
[0.23442785],5,12,[2.972612],53
[0.23323345],5,15,[2.973678],54
[0.23548496],5,13,[2.977675],55
[0.23574883],5,10,[2.9842482],56
[0.22994745],5,17,[2.9520607],57
[0.22941281],5,17,[2.9517882],58
[0.22879878],5,17,[2.9512956],59
[0.23233277],5,3,[2.96132],60
[0.22888476],5,18,[2.8954797],61
[0.22849335],5,15,[2.9718306],62
[0.22830749],5,4,[2.927569],63
[0.22603646],5,18,[2.894185],64
[0.22852209],5,7,[2.961769],65
[0.2222514],5,17,[2.9476497],66
[0.22304295],5,15,[2.9706287],67
[0.22187126],5,15,[2.9703043],68
[0.2216942],5,12,[2.9708214],69
[0.22189894],5,5,[2.776359],70
[0.22319426],5,19,[2.9448555],71
[0.223446],5,5,[2.7748268],72
[0.22333169],5,15,[2.9689012],73
[0.22599712],5,4,[2.9256387],74
[0.22699852],5,15,[2.9684515],75
[0.22897007],5,16,[2.8908715],76
[0.22997771],5,2,[2.9687195],77
[0.23116739],5,12,[2.9709222],78
[0.23151734],5,4,[2.9241977],79
[0.23406446],5,19,[2.9453554],80
[0.23248823],5,12,[2.9707146],81
[0.23301767],5,11,[2.9613926],82
[0.23385234],5,3,[2.9604104],83
[0.22931984],5,17,[2.944216],84
[0.23131372],5,6,[2.9729686],85
[0.23131762],5,14,[2.9802418],86
[0.22831087],5,17,[2.943299],87
[0.23307754],5,7,[2.9623637],88
[0.22970495],5,8,[2.984117],89
[0.2309742],5,3,[2.9593852],90
[0.23121087],5,5,[2.767136],91
[0.23244324],5,10,[2.9845967],92
[0.23088042],5,8,[2.9839358],93
