probability,move,scenario_no,loss,move_no
[0.17501093],5,7,[2.980521],355
[0.16517127],5,18,[2.9735289],356
[0.16135421],5,10,[2.9748368],357
[0.17982526],5,16,[2.9780803],358
[0.18130998],5,5,[2.8171592],359
[0.17309421],5,19,[2.857782],360
[0.16902877],5,10,[2.970763],361
[0.20578748],5,16,[2.9788177],362
[0.18062095],5,14,[2.9623876],363
[0.19825113],5,2,[2.905724],364
[0.20654431],5,9,[2.9765031],365
[0.21022394],4,13,[2.932504],366
[0.1816889],5,1,[2.969708],367
[0.20009694],5,11,[2.9822412],368
[0.19282532],5,7,[2.9791257],369
[0.18957695],5,2,[2.8936558],370
[0.22350615],5,5,[2.7753243],371
[0.18113923],5,1,[2.9671583],372
[0.23812152],5,6,[2.9846592],373
[0.20552306],5,18,[2.9726093],374
[0.25384346],5,16,[2.9773207],375
[0.2590433],5,16,[2.976785],376
[0.21152684],5,17,[2.99483],377
[0.95686615],4,4,[2.0706923],378
[0.20679854],5,1,[2.962351],379
[0.20883384],5,18,[2.9692316],380
[0.23460798],5,9,[2.9738698],381
[0.24294177],5,6,[2.9813106],382
[0.30370253],5,15,[2.9379303],383
[0.20646645],5,7,[2.9740257],384
[0.19624008],5,7,[2.9727035],385
[0.14545962],5,8,[2.9775605],386
[0.17236353],5,19,[2.9092522],387
[0.1481592],5,18,[2.9592066],388
[0.1492256],5,12,[2.8722968],389
[0.14936043],5,9,[2.9655218],390
[0.1606897],5,16,[2.9606175],391
[0.31556776],4,13,[2.9331272],392
[0.13733722],5,7,[2.9659557],393
[0.96752936],4,4,[2.0608616],394
[0.13121612],5,6,[2.9713573],395
[0.12453234],5,7,[2.963869],396
[0.13036707],12,2,[2.893396],397
[0.16578959],5,5,[2.8321028],398
[0.20057246],5,15,[2.9312577],399
[0.12905967],5,10,[2.9661474],400
[0.13315423],5,18,[2.954705],401
[0.14121217],5,17,[2.991786],402
[0.15884966],5,10,[2.9652245],403
[0.18547669],5,9,[2.9647727],404
[0.18632616],5,2,[2.8727126],405
[0.17798743],5,10,[2.9623241],406
[0.27525002],5,15,[2.9256213],407
[0.22123438],5,6,[2.9782555],408
[0.14855565],5,8,[2.9800935],409
[0.18567598],5,3,[2.9906452],410
[0.1955563],5,2,[2.8527956],411
[0.16866216],5,17,[2.9925523],412
[0.25236183],5,15,[2.9154336],413
[0.1888748],5,9,[2.9638138],414
[0.18734905],2,12,[2.8699343],415
