probability,move,scenario_no,loss,move_no
[0.17071292],8,1,[2.948982],1
[0.15890141],8,8,[2.8388426],2
[0.21450229],8,4,[2.959871],3
[0.2661517],8,5,[2.98155],4
[0.305216],8,19,[2.976746],5
[0.33654812],8,10,[2.9736118],6
[0.35623387],8,10,[2.9725118],7
[0.36765185],8,17,[2.9847898],8
[0.3672888],8,1,[2.8597941],9
[0.36246994],8,17,[2.9825997],10
[0.3414222],8,7,[2.9821231],11
[0.33140913],8,19,[2.9679582],12
[0.30541953],8,12,[2.9843452],13
[0.2868906],8,13,[2.990525],14
[0.2699253],8,7,[2.976994],15
[0.2738956],1,14,[2.9951646],16
[0.277574],1,10,[2.9378004],17
[0.2881959],1,17,[2.9699805],18
[0.28008822],1,4,[2.9427304],19
[0.2849759],1,7,[2.9627218],20
[0.26843986],1,18,[2.9787278],21
[0.26315847],1,12,[2.974145],22
[0.23857288],1,9,[2.9821365],23
[0.2339562],1,15,[2.9744346],24
[0.21416532],1,9,[2.9797707],25
[0.21097514],1,3,[2.982217],26
[0.19817953],1,15,[2.9698462],27
[0.19065672],1,7,[2.9243846],28
[0.17772889],1,7,[2.9152825],29
[0.15657483],1,10,[2.8600314],30
[0.15387912],10,16,[2.9766583],31
[0.1641143],10,13,[2.976225],32
[0.17697501],10,4,[2.9113955],33
[0.18540423],10,12,[2.95705],34
[0.18905447],10,3,[2.9780722],35
[0.19938192],10,11,[2.9787428],36
[0.1974424],10,13,[2.9700556],37
[0.2048605],10,7,[2.816168],38
[0.19771343],7,13,[2.9657855],39
[0.2210116],7,9,[2.974545],40
[0.23575673],7,13,[2.9594352],41
[0.25070983],7,2,[2.9918377],42
[0.2621333],7,8,[2.9425452],43
[0.2777761],7,15,[2.9669187],44
[0.27889645],7,3,[2.9744034],45
[0.29131585],7,16,[2.9736946],46
[0.28743678],7,4,[2.8837523],47
[0.28212887],7,4,[2.872485],48
[0.26762855],7,3,[2.9684908],49
[0.26399964],7,9,[2.968925],50
[0.2554444],7,11,[2.9815536],51
[0.24204344],7,11,[2.9807305],52
[0.22719905],7,18,[2.9865832],53
[0.22489184],4,1,[2.9669197],54
[0.25311002],4,13,[2.9157393],55
