probability,move,scenario_no,loss,move_no
[0.13685353],1,15,[2.979391],162
[0.13634782],1,17,[2.95369],163
[0.13585104],1,18,[2.9542155],164
[0.13536686],1,15,[2.9791243],165
[0.13487089],1,17,[2.9523008],166
[0.1343938],1,2,[2.9667401],167
[0.13389684],1,11,[2.9532034],168
[0.13336676],1,18,[2.953303],169
[0.13286476],1,14,[2.9120355],170
[0.132349],1,6,[2.9064877],171
[0.13173471],1,14,[2.9107122],172
[0.13113087],1,5,[2.9757962],173
[0.13053672],1,12,[2.9630098],174
[0.1300046],1,1,[2.867566],175
[0.13047649],1,4,[2.9426434],176
[0.13085368],1,12,[2.962683],177
[0.1311941],1,18,[2.9515252],178
[0.13147254],1,14,[2.9040232],179
[0.13163786],1,18,[2.9508893],180
[0.13177416],1,13,[2.9676976],181
[0.13181795],1,1,[2.8657625],182
[0.132796],1,7,[2.9698067],183
[0.13365957],1,15,[2.9785163],184
[0.13439022],1,12,[2.9614275],185
[0.13506852],1,14,[2.8966897],186
[0.13560112],1,13,[2.967609],187
[0.13601531],1,11,[2.9527428],188
[0.13632853],1,13,[2.967299],189
[0.1365224],1,18,[2.9479935],190
[0.13667727],1,1,[2.860929],191
[0.13777925],1,15,[2.9784245],192
[0.13875139],1,1,[2.8588645],193
[0.14059383],1,13,[2.9662056],194
[0.14221846],1,13,[2.9659152],195
[0.14361817],1,18,[2.946596],196
[0.14487152],1,4,[2.9431596],197
[0.14593644],1,2,[2.9687812],198
[0.14686778],1,15,[2.9782088],199
[0.14764068],1,12,[2.9602423],200
[0.14833198],1,12,[2.9600441],201
[0.14894374],1,7,[2.9704921],202
[0.14943305],1,12,[2.9592645],203
[0.14987305],1,11,[2.9527154],204
[0.15017478],1,6,[2.9162362],205
[0.15025817],1,9,[2.9549618],206
[0.15029724],1,10,[2.8928666],207
[0.15019646],1,3,[2.9713297],208
[0.15006648],1,15,[2.9774914],209
[0.14989804],1,14,[2.8893497],210
[0.14965765],1,16,[2.9599888],211
[0.1493421],1,5,[2.9773638],212
[0.14902233],1,6,[2.9146543],213
[0.14853388],1,18,[2.944666],214
[0.14806351],1,6,[2.9135463],215
[0.14745283],1,15,[2.9769478],216
[0.1468227],1,8,[2.9607463],217
[0.14627863],1,4,[2.9435186],218
[0.14570177],1,3,[2.9710844],219
[0.1451372],1,18,[2.943668],220
[0.14460064],1,1,[2.8530366],221
[0.14514868],1,12,[2.9549198],222
[0.14565392],1,7,[2.9706116],223
[0.14603353],1,8,[2.9602864],224
[0.14636716],1,12,[2.9542246],225
[0.14664508],1,6,[2.9074523],226
[0.1466982],1,13,[2.9636014],227
[0.14665025],1,12,[2.952938],228
[0.14660923],1,7,[2.9703007],229
[0.14652553],1,6,[2.9045796],230
[0.14622323],1,8,[2.9591827],231
[0.14595462],1,9,[2.9547365],232
[0.14564943],1,11,[2.953905],233
[0.14528482],1,5,[2.9778733],234
[0.1448974],1,3,[2.9702013],235
[0.14450927],1,5,[2.97773],236
[0.14408597],1,18,[2.9420264],237
[0.14367945],1,4,[2.9435797],238
[0.1432296],1,19,[2.966738],239
[0.14281581],1,14,[2.8962154],240
[0.14234404],1,15,[2.976266],241
[0.14188017],1,11,[2.9532657],242
[0.14140163],1,16,[2.9608018],243
[0.14089008],1,16,[2.9606652],244
[0.14033392],1,12,[2.9485621],245
[0.13985728],1,4,[2.942632],246
[0.1393753],1,14,[2.8935215],247
[0.13885655],1,7,[2.9695203],248
[0.13838662],1,1,[2.8592117],249
[0.13895655],1,4,[2.941636],250
[0.13941838],1,12,[2.9473836],251
