probability,move,scenario_no,loss,move_no
[0.10499165],5,8,[2.945217],1
[0.10622858],5,9,[2.8936741],2
[0.10762759],5,3,[2.9463732],3
[0.10618892],5,12,[2.948418],4
[0.10760395],5,19,[2.919121],5
[0.10588927],9,4,[2.9531512],6
[0.10543506],9,10,[2.954552],7
[0.10744081],9,11,[2.9510238],8
[0.10713546],9,12,[2.9475083],9
[0.10683228],9,16,[2.9573867],10
[0.10806321],9,11,[2.9504647],11
[0.10648211],9,10,[2.9537325],12
[0.10718561],9,17,[2.9540927],13
[0.1073852],9,1,[2.9726317],14
[0.1080172],9,12,[2.9462996],15
[0.10752484],9,3,[2.944604],16
[0.10727201],9,18,[2.9286814],17
[0.10742658],9,15,[2.9194348],18
[0.10772644],9,4,[2.9516973],19
[0.10754642],9,13,[2.9450445],20
[0.10679485],9,10,[2.9524233],21
[0.10844249],9,11,[2.9487724],22
[0.10708455],9,8,[2.9427369],23
[0.10732202],9,3,[2.943967],24
[0.10666606],9,14,[2.9535313],25
[0.10783648],9,9,[2.8895423],26
[0.10705582],9,15,[2.9184027],27
[0.10672318],9,10,[2.9515798],28
[0.10758788],9,4,[2.950863],29
[0.10832624],9,12,[2.9446294],30
[0.10870215],9,11,[2.9477968],31
[0.10790224],9,7,[2.9767916],32
[0.10768002],9,5,[2.903008],33
[0.10874995],9,11,[2.9473672],34
[0.10870218],9,11,[2.947189],35
[0.10700712],9,10,[2.9506094],36
[0.10776066],9,19,[2.9180987],37
[0.10755294],9,1,[2.972508],38
[0.1074831],9,1,[2.9724803],39
[0.10722969],9,15,[2.917167],40
[0.10667057],9,10,[2.949966],41
[0.10738033],9,7,[2.9767063],42
[0.10794349],9,6,[2.9799502],43
[0.10793646],9,11,[2.9457018],44
[0.10791646],9,9,[2.8894613],45
[0.10788996],9,6,[2.9798577],46
[0.10709201],9,16,[2.9573238],47
[0.10709647],9,5,[2.9027653],48
[0.10826726],9,12,[2.9434867],49
[0.10830285],9,11,[2.9449077],50
[0.10826892],9,6,[2.979646],51
[0.10732162],9,17,[2.9549198],52
[0.10731789],9,17,[2.9548593],53
[0.10681152],9,10,[2.948681],54
[0.108241],9,6,[2.9794323],55
[0.10832328],9,12,[2.9429715],56
[0.10715115],9,15,[2.9162757],57
[0.1081172],9,11,[2.9438846],58
[0.10788489],9,2,[2.983046],59
[0.10646483],9,10,[2.9479835],60
[0.10743953],9,3,[2.9444747],61
[0.1072777],9,19,[2.9189146],62
[0.10618819],9,10,[2.947525],63
[0.10790602],9,9,[2.8894703],64
[0.10670986],9,16,[2.9571617],65
[0.10693523],9,1,[2.9722497],66
[0.10732909],9,13,[2.9455974],67
