probability,move,scenario_no,loss,move_no
[0.12583686],5,3,[2.9604158],1
[0.12577341],5,4,[2.9378405],2
[0.12573655],5,3,[2.958808],3
[0.12565841],5,14,[2.9842238],4
[0.12547922],5,14,[2.9840848],5
[0.12525661],5,13,[2.9599907],6
[0.12501572],5,9,[2.9161875],7
[0.12473273],5,12,[2.8985083],8
[0.12417814],5,11,[2.979397],9
[0.12362507],5,13,[2.9584782],10
[0.12311607],5,2,[2.941902],11
[0.12248211],5,15,[2.9729993],12
[0.12185934],5,2,[2.9410396],13
[0.12118813],5,16,[2.9586911],14
[0.12044817],5,11,[2.9788606],15
[0.11973751],5,15,[2.972356],16
[0.11905276],5,15,[2.9721394],17
[0.11839329],5,4,[2.931547],18
[0.11773354],5,1,[2.918463],19
[0.11697399],5,6,[2.9564774],20
[0.11613147],5,10,[2.92479],21
[0.11527911],5,4,[2.9302764],22
[0.11447453],5,13,[2.9557798],23
[0.11370569],5,8,[2.9801505],24
[0.11295725],5,15,[2.9707022],25
[0.11224829],5,11,[2.9779418],26
[0.11155619],5,15,[2.9703596],27
[0.11089236],5,19,[2.9526217],28
[0.11023865],5,18,[2.9783053],29
[0.10958467],5,14,[2.9824455],30
[0.10897737],5,6,[2.955185],31
[0.10829174],5,5,[2.8891668],32
[0.10876381],5,19,[2.9517655],33
[0.10919818],5,11,[2.9773219],34
[0.10957772],5,2,[2.9361734],35
[0.10984733],5,17,[2.9509535],36
[0.11003881],5,6,[2.954461],37
[0.11013954],5,18,[2.977825],38
[0.11022624],5,17,[2.9503734],39
[0.11026191],5,11,[2.9769065],40
[0.11029172],5,7,[2.9529767],41
[0.11024577],5,14,[2.9820802],42
[0.11020026],5,15,[2.9687407],43
[0.11015116],5,16,[2.9570768],44
[0.11003963],5,7,[2.9524474],45
[0.10991485],5,13,[2.9543564],46
[0.10979975],5,17,[2.9485369],47
[0.10965952],5,3,[2.953602],48
[0.10952486],5,7,[2.9515276],49
[0.10937195],5,13,[2.953776],50
[0.10923418],5,6,[2.9526472],51
[0.10902673],5,19,[2.9499152],52
[0.1088626],5,17,[2.9471605],53
[0.1086706],5,3,[2.9526982],54
[0.10847169],5,5,[2.8889446],55
[0.10899597],5,13,[2.952404],56
[0.10944725],5,11,[2.9760299],57
[0.10984125],5,4,[2.9271176],58
[0.11017669],5,3,[2.9515],59
[0.11045969],5,19,[2.9490035],60
[0.11072423],5,15,[2.9680219],61
[0.11093859],5,1,[2.9208813],62
[0.11104541],5,19,[2.9483552],63
[0.11115046],5,2,[2.9365237],64
[0.11115319],5,4,[2.9259598],65
[0.11113784],5,4,[2.9256065],66
[0.11110322],5,18,[2.9771612],67
[0.11105274],5,17,[2.9444423],68
[0.11095309],5,5,[2.8864486],69
[0.11150915],5,11,[2.975723],70
[0.11198514],5,15,[2.9674418],71
[0.11241424],5,7,[2.9498847],72
[0.11276136],5,9,[2.9206755],73
[0.11304378],5,17,[2.943217],74
[0.11326374],5,13,[2.950433],75
[0.11344801],5,9,[2.9201937],76
[0.11358161],5,18,[2.9768224],77
[0.11368755],5,16,[2.9584508],78
[0.11370064],5,1,[2.9217703],79
