probability,move,scenario_no,loss,move_no
[0.99985206],15,15,[2.031152],10936
[0.99996877],3,3,[2.0310452],10937
[0.9998857],11,11,[2.0311215],10938
[0.99987066],17,17,[2.031135],10939
[0.99991274],7,7,[2.0310965],10940
[0.9997241],8,8,[2.0312696],10941
[0.9998878],12,12,[2.0311193],10942
[0.99981457],18,18,[2.0311866],10943
[0.99980885],19,19,[2.0311918],10944
[0.9999689],3,3,[2.031045],10945
[0.999969],3,3,[2.0310447],10946
[0.99988866],12,12,[2.0311186],10947
[0.9998797],5,5,[2.0311267],10948
[0.9999194],16,16,[2.0310905],10949
[0.99987376],17,17,[2.0311322],10950
[0.9998871],11,11,[2.03112],10951
[0.9998808],5,5,[2.0311258],10952
[0.9998616],9,9,[2.0311434],10953
[0.99987924],6,6,[2.0311272],10954
[0.9998987],13,13,[2.0311093],10955
[0.99992],16,16,[2.0310898],10956
[0.9999126],7,7,[2.0310967],10957
[0.9999492],14,14,[2.031063],10958
[0.9998764],17,17,[2.0311298],10959
[0.99989104],12,12,[2.0311165],10960
[0.9998996],13,13,[2.0311086],10961
[0.9998204],4,4,[2.0311813],10962
[0.9998517],15,15,[2.0311525],10963
[0.9999002],13,13,[2.031108],10964
[0.9998789],17,17,[2.0311277],10965
[0.99990094],13,13,[2.0311074],10966
[0.9998801],17,17,[2.0311265],10967
[0.9998184],18,18,[2.031183],10968
[0.9999428],1,1,[2.031069],10969
[0.9997173],8,8,[2.0312757],10970
[0.99996495],2,2,[2.0310485],10971
[0.9999212],16,16,[2.0310888],10972
[0.9999651],2,2,[2.0310485],10973
[0.9998204],18,18,[2.0311813],10974
[0.9999124],7,7,[2.031097],10975
[0.9998223],4,4,[2.0311794],10976
[0.9998801],6,6,[2.0311265],10977
[0.9998235],4,4,[2.0311782],10978
[0.99988866],11,11,[2.0311186],10979
[0.9999219],16,16,[2.031088],10980
[0.9999219],16,16,[2.031088],10981
[0.99980897],19,19,[2.0311918],10982
[0.9998275],4,4,[2.0311747],10983
[0.9998286],4,4,[2.0311737],10984
[0.99985397],15,15,[2.0311503],10985
[0.99988985],11,11,[2.0311174],10986
[0.99990416],13,13,[2.0311046],10987
[0.9998857],17,17,[2.0311213],10988
[0.9999238],16,16,[2.0310864],10989
[0.99981123],19,19,[2.0311897],10990
[0.999884],5,5,[2.031123],10991
[0.99992466],16,16,[2.0310857],10992
[0.9998797],6,6,[2.0311267],10993
[0.99987996],6,6,[2.0311265],10994
[0.99989116],12,12,[2.0311162],10995
[0.9998851],5,5,[2.031122],10996
[0.99986565],10,10,[2.0311399],10997
[0.99988854],17,17,[2.0311186],10998
[0.99970055],8,8,[2.031291],10999
[0.99970156],8,8,[2.0312903],11000
[0.9998254],18,18,[2.0311766],11001
[0.9998925],12,12,[2.031115],11002
[0.99986136],9,9,[2.0311437],11003
[0.99996567],2,2,[2.031048],11004
[0.9998883],5,5,[2.0311189],11005
[0.9998253],18,18,[2.0311766],11006
[0.9998672],10,10,[2.0311384],11007
[0.9998677],10,10,[2.031138],11008
[0.9998944],12,12,[2.0311134],11009
[0.9998272],18,18,[2.031175],11010
[0.99989223],11,11,[2.0311153],11011
[0.9998124],19,19,[2.0311885],11012
[0.9998293],18,18,[2.031173],11013
[0.9999467],14,14,[2.0310652],11014
[0.99989295],11,11,[2.0311148],11015
[0.999887],17,17,[2.03112],11016
[0.99996877],3,3,[2.0310452],11017
[0.9998331],18,18,[2.0311697],11018
[0.99992645],16,16,[2.0310838],11019
[0.9998115],19,19,[2.0311894],11020
[0.999969],3,3,[2.031045],11021
[0.999943],1,1,[2.0310688],11022
[0.9998379],4,4,[2.0311651],11023
[0.99989724],12,12,[2.0311108],11024
[0.99986184],9,9,[2.0311432],11025
[0.9999273],16,16,[2.031083],11026
[0.99989545],11,11,[2.0311124],11027
[0.9998894],17,17,[2.031118],11028
[0.9998863],6,6,[2.0311208],11029
[0.9999654],2,2,[2.031048],11030
[0.9998989],12,12,[2.031109],11031
[0.99986243],9,9,[2.0311427],11032
[0.99989295],5,5,[2.0311146],11033
[0.99984217],4,4,[2.0311613],11034
[0.9998128],19,19,[2.0311882],11035
[0.99996567],2,2,[2.031048],11036
[0.99990225],13,13,[2.0311062],11037
[0.99992824],16,16,[2.0310824],11038
[0.9998944],5,5,[2.0311134],11039
[0.9999012],12,12,[2.0311072],11040
[0.99989533],5,5,[2.0311124],11041
[0.9996985],8,8,[2.031293],11042
[0.9999291],16,16,[2.0310817],11043
[0.9998969],5,5,[2.031111],11044
[0.9998976],5,5,[2.0311105],11045
[0.9999461],14,14,[2.031066],11046
[0.9999299],16,16,[2.0310807],11047
[0.9999665],2,2,[2.031047],11048
[0.9998419],15,15,[2.0311615],11049
[0.99990094],5,5,[2.0311074],11050
[0.9998393],18,18,[2.031164],11051
[0.99988747],6,6,[2.0311198],11052
[0.9999312],16,16,[2.0310795],11053
[0.9999052],7,7,[2.0311034],11054
[0.9998419],15,15,[2.0311615],11055
