probability,move,scenario_no,loss,move_no
[0.10215417],4,12,[2.966711],1
[0.10211313],4,12,[2.9659755],2
[0.10205691],4,16,[2.9561744],3
[0.10210149],4,7,[2.9267766],4
[0.10205151],4,5,[2.9087863],5
[0.10187404],4,11,[2.9189954],6
[0.10164026],4,4,[2.8957918],7
[0.10260484],4,13,[2.9552784],8
[0.1033925],4,10,[2.9757166],9
[0.10410134],4,2,[2.9396465],10
[0.10460679],4,8,[2.9801571],11
[0.10506835],4,2,[2.9391012],12
[0.10541656],4,1,[2.9816737],13
[0.10570826],4,19,[2.9786232],14
[0.10595571],4,7,[2.9221056],15
[0.10620855],4,2,[2.9375103],16
[0.10635691],4,18,[2.925034],17
[0.10646495],4,6,[2.9229798],18
[0.10646092],4,14,[2.9637141],19
[0.10645533],4,2,[2.9359136],20
[0.1063761],4,2,[2.9354274],21
[0.10624651],4,2,[2.934805],22
[0.10607002],4,10,[2.974941],23
[0.1059026],4,14,[2.96312],24
[0.10576638],4,19,[2.9779904],25
[0.1056162],4,18,[2.9234757],26
[0.1054673],4,9,[2.9451919],27
[0.10527249],4,18,[2.9227016],28
[0.10508341],4,16,[2.9529598],29
[0.10491122],4,10,[2.974576],30
[0.10473365],4,9,[2.9444726],31
[0.10454974],4,7,[2.920271],32
[0.10436617],4,4,[2.8930738],33
[0.10472944],4,5,[2.9054801],34
[0.10504188],4,12,[2.9624438],35
[0.10529745],4,19,[2.977271],36
[0.10551589],4,9,[2.94325],37
[0.10570016],4,5,[2.9045913],38
[0.10583992],4,14,[2.961593],39
[0.10597649],4,13,[2.953804],40
[0.10604159],4,19,[2.976906],41
[0.10610624],4,12,[2.9619415],42
[0.1061355],4,18,[2.9186144],43
[0.10615487],4,9,[2.9417417],44
[0.10614759],4,17,[2.9574635],45
[0.1060743],4,16,[2.9519212],46
[0.10600033],4,7,[2.9195802],47
[0.10593663],4,11,[2.9183695],48
[0.10584974],4,2,[2.9291103],49
[0.10569015],4,16,[2.9513612],50
[0.10555631],4,19,[2.9761727],51
[0.10540945],4,14,[2.9606612],52
[0.10527539],4,14,[2.9604924],53
[0.1051467],4,7,[2.918769],54
[0.10501765],4,15,[2.9362063],55
[0.10480366],4,2,[2.928203],56
[0.10451467],4,17,[2.9572475],57
[0.10421365],4,18,[2.9168773],58
