probability,move,scenario_no,loss,move_no
[0.09692866],3,8,[2.9199219],1
[0.09671262],3,8,[2.9178507],2
[0.09598167],3,6,[2.926073],3
[0.09559447],3,14,[2.9345922],4
[0.09506823],3,11,[2.947498],5
[0.09491947],3,14,[2.9329839],6
[0.09478889],3,6,[2.9223447],7
[0.09414966],3,12,[2.960825],8
[0.09384981],3,14,[2.9301739],9
[0.09264575],3,17,[2.9411654],10
[0.09265486],3,11,[2.9442146],11
[0.09286867],3,1,[2.9727073],12
[0.0914594],3,7,[2.9168642],13
[0.09095325],3,7,[2.9163475],14
[0.09164641],3,18,[2.9162014],15
[0.09046547],8,16,[2.9717722],16
[0.09060736],8,16,[2.9716384],17
[0.08952759],8,12,[2.959146],18
[0.08962543],8,12,[2.958882],19
[0.09090014],8,16,[2.9709926],20
[0.09094236],8,1,[2.9716816],21
[0.08983214],8,12,[2.9578161],22
[0.09076126],8,7,[2.9115105],23
[0.09096865],8,9,[2.9157734],24
[0.09043711],8,18,[2.912558],25
[0.09126846],8,8,[2.9061642],26
[0.09025116],8,12,[2.9560637],27
[0.09125905],8,18,[2.910775],28
[0.09135725],8,2,[2.9472342],29
[0.09272469],8,8,[2.9047194],30
[0.09233648],8,10,[2.9691975],31
[0.09354375],8,9,[2.913495],32
[0.09404936],8,9,[2.9129336],33
[0.09509],8,13,[2.9755363],34
[0.09564911],8,15,[2.9798946],35
[0.09492815],8,17,[2.938504],36
[0.09561288],8,16,[2.9684606],37
[0.09599691],8,19,[2.9825442],38
[0.09620254],8,16,[2.9681273],39
[0.09609678],8,7,[2.907361],40
[0.09659732],8,5,[2.978542],41
[0.09681147],8,9,[2.9078984],42
[0.09644534],8,18,[2.9046712],43
[0.09681521],8,1,[2.970699],44
[0.09555261],8,3,[2.9257612],45
[0.09671371],8,17,[2.9365513],46
[0.09658735],8,7,[2.9054286],47
[0.09696528],8,19,[2.98237],48
[0.0969159],8,16,[2.9666722],49
[0.09555047],8,12,[2.9528987],50
[0.0968519],8,9,[2.9042807],51
[0.09730748],8,4,[2.9627233],52
[0.09721741],8,4,[2.9626381],53
[0.09650239],8,19,[2.9821236],54
[0.09746175],8,14,[2.9290683],55
[0.09725814],18,3,[2.9254339],56
[0.09714958],8,14,[2.9287705],57
[0.09694008],8,14,[2.928324],58
[0.09522428],8,7,[2.9027522],59
[0.09526691],9,7,[2.902344],60
[0.09614149],9,15,[2.9801192],61
[0.09585257],18,3,[2.9239786],62
[0.09625018],7,3,[2.9234552],63
[0.09790523],7,18,[2.9036434],64
[0.09761356],7,16,[2.965874],65
[0.10028872],7,19,[2.981787],66
[0.09789082],7,15,[2.9799774],67
