probability,move,scenario_no,loss,move_no
[0.11715191],18,13,[2.936787],1
[0.11972708],18,17,[2.8959439],2
[0.11610002],18,18,[2.8813233],3
[0.12135268],18,19,[2.9320426],4
[0.12533487],18,16,[2.964795],5
[0.12476616],18,6,[2.9537346],6
[0.13038011],18,16,[2.9635913],7
[0.1304313],18,5,[2.9823897],8
[0.13247702],18,13,[2.9223924],9
[0.13474631],18,12,[2.9445288],10
[0.13655955],18,19,[2.9243276],11
[0.13486423],18,11,[2.9483638],12
[0.1365896],18,13,[2.9160433],13
[0.13803458],18,1,[2.9480655],14
[0.13720521],18,13,[2.9118865],15
[0.13651647],18,9,[2.9724119],16
[0.1412649],18,17,[2.877458],17
[0.13624194],18,9,[2.9722688],18
[0.13754086],18,7,[2.9707372],19
[0.13788252],18,19,[2.914958],20
[0.13658562],18,12,[2.9407024],21
[0.13575807],18,7,[2.9701524],22
[0.13357443],18,14,[2.9807262],23
[0.13337915],18,5,[2.9820971],24
[0.13277076],18,4,[2.955179],25
[0.13409127],17,2,[2.9674006],26
[0.1295901],18,6,[2.9480667],27
[0.13128273],18,7,[2.9682686],28
[0.13057074],18,1,[2.945297],29
[0.13260038],18,17,[2.8702817],30
[0.13184384],17,15,[2.9575317],31
[0.13279863],17,1,[2.9438655],32
[0.13451864],17,7,[2.966618],33
[0.13645704],17,18,[2.8730705],34
[0.13256182],17,16,[2.9588985],35
[0.1396851],17,5,[2.9814742],36
[0.13671815],17,1,[2.9404864],37
[0.14005208],17,12,[2.9376721],38
[0.1359589],17,13,[2.8964634],39
[0.13828614],17,10,[2.9895651],40
[0.13628021],17,15,[2.956202],41
[0.13827646],17,9,[2.9704177],42
[0.13042207],17,6,[2.9461167],43
[0.13723406],17,9,[2.97001],44
[0.1355586],17,14,[2.9803922],45
[0.13390733],17,19,[2.909697],46
[0.13548774],17,5,[2.9806778],47
[0.13109362],17,17,[2.8665826],48
[0.13395396],17,19,[2.907275],49
[0.13896869],17,2,[2.9674566],50
[0.1311187],17,6,[2.9437711],51
[0.13786714],17,11,[2.9510262],52
[0.13915516],17,3,[2.9638426],53
[0.14215842],17,2,[2.966659],54
[0.1389974],17,7,[2.9638941],55
[0.13775732],17,1,[2.9336061],56
[0.13466619],17,16,[2.9586976],57
[0.13970709],17,10,[2.989404],58
[0.13948826],17,3,[2.9628406],59
[0.14020006],17,5,[2.979796],60
[0.13838182],17,14,[2.9799874],61
[0.13478944],17,13,[2.8967707],62
[0.1371449],17,10,[2.989059],63
[0.13643196],17,18,[2.8851874],64
[0.13284945],17,4,[2.961602],65
[0.13374959],17,11,[2.9493592],66
[0.13452698],17,5,[2.9790115],67
[0.1300733],17,1,[2.9292488],68
[0.13121921],17,10,[2.9885116],69
[0.12853149],17,15,[2.9553428],70
[0.12926632],17,10,[2.9882226],71
[0.1276246],17,17,[2.870019],72
[0.13112876],17,12,[2.9405956],73
[0.13353066],17,2,[2.963967],74
[0.13167053],17,7,[2.9621334],75
[0.12945664],17,13,[2.8922532],76
[0.1313148],17,15,[2.953546],77
[0.13271533],17,7,[2.9613855],78
[0.12707642],17,6,[2.9425344],79
[0.13259688],17,11,[2.9466364],80
[0.1327898],17,17,[2.8648558],81
[0.1312119],17,13,[2.8868775],82
[0.13175634],17,16,[2.9600377],83
[0.14021356],17,2,[2.9632075],84
[0.13867705],17,14,[2.9797719],85
[0.13902715],17,8,[2.9813406],86
[0.14172766],17,18,[2.889368],87
[0.13575552],17,16,[2.9595656],88
[0.14045148],17,14,[2.9795122],89
[0.14041744],17,14,[2.9792886],90
[0.13925222],17,19,[2.9116817],91
[0.14093605],17,12,[2.9418004],92
[0.1380694],17,19,[2.91023],93
[0.13991813],17,17,[2.8577785],94
[0.14058365],17,7,[2.9585826],95
[0.13910091],17,1,[2.9315546],96
[0.13775818],17,13,[2.8763185],97
[0.14248827],17,14,[2.9774833],98
[0.1383935],17,16,[2.9572368],99
[0.14139397],17,15,[2.9533596],100
[0.14035189],17,1,[2.9302995],101
[0.14290631],17,8,[2.981665],102
[0.14304729],17,12,[2.9408696],103
[0.13901013],17,1,[2.9275124],104
[0.14083411],17,10,[2.987821],105
[0.13471359],17,13,[2.8692677],106
[0.14089392],17,2,[2.9632862],107
[0.13821049],17,12,[2.9381256],108
[0.13450113],17,15,[2.9519906],109
[0.1320897],17,1,[2.920123],110
[0.131741],17,15,[2.950919],111
[0.12926206],17,1,[2.916631],112
[0.1289112],17,15,[2.9490058],113
[0.12881958],17,11,[2.950431],114
[0.12630124],17,19,[2.9029453],115
[0.12601474],17,11,[2.9497433],116
[0.12401974],13,15,[2.9442322],117
[0.12574252],13,12,[2.931142],118
[0.12284478],17,7,[2.958414],119
[0.12444953],13,1,[2.9018223],120
[0.123939],13,16,[2.9559124],121
[0.11946408],13,11,[2.9460545],122
[0.12051096],13,2,[2.9625432],123
[0.1210021],13,12,[2.9259357],124
