probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.19220798],3,3,19,5,[5.876035],136
[0.193094],3,3,1,5,[5.867241],137
[0.19062391],3,3,1,7,[5.933916],138
[0.1724377],3,3,12,4,[5.841225],139
[0.1597221],3,3,19,14,[5.959134],140
[0.16646793],3,3,13,6,[5.9703493],141
[0.15025197],3,3,1,19,[5.9409523],142
[0.14701748],3,3,3,15,[5.8059425],143
[0.15091403],8,8,2,7,[5.9581876],144
[0.1494803],3,3,11,7,[5.869502],145
[0.16219588],3,8,18,3,[5.7854495],146
[0.15650411],3,3,16,3,[5.760993],147
[0.15537106],3,3,10,13,[5.9721413],148
[0.17922072],3,3,1,2,[5.951235],149
[0.18281978],3,3,2,9,[5.960471],150
[0.18172127],3,3,14,1,[5.9359183],151
[0.17730084],3,3,18,10,[5.934231],152
[0.1861446],3,3,4,15,[5.8569946],153
[0.1920512],3,3,12,4,[5.829055],154
[0.21028857],3,3,6,13,[5.9711547],155
[0.20083238],3,3,6,8,[5.806492],156
[0.21360244],3,3,16,2,[5.9327044],157
[0.18506923],3,3,5,7,[5.847226],158
[0.19236086],3,3,2,19,[5.9677324],159
[0.1707845],3,3,10,14,[5.9618483],160
[0.17454077],3,3,1,10,[5.9241347],161
[0.17489968],3,3,7,13,[5.9461584],162
[0.161851],3,3,7,5,[5.837694],163
[0.16572914],3,3,18,11,[5.8721867],164
[0.15308629],3,3,1,5,[5.8164215],165
[0.15303056],3,4,9,13,[5.958212],166
[0.1502854],3,3,2,9,[5.958581],167
[0.1384057],4,3,18,4,[5.7884064],168
[0.13799016],4,4,10,5,[5.8450594],169
[0.1520059],4,5,4,5,[5.6763134],170
[0.14215031],3,4,3,18,[5.7879133],171
[0.15343432],5,5,9,1,[5.888319],172
[0.14588605],4,5,13,17,[5.95893],173
[0.1639695],4,5,13,19,[5.967249],174
[0.14907576],5,5,17,12,[5.9268837],175
[0.15699744],5,5,3,15,[5.830126],176
[0.16370031],4,5,10,13,[5.966204],177
[0.17566128],5,5,13,1,[5.8991957],178
[0.18510917],5,4,14,19,[5.963258],179
[0.16671945],4,5,12,4,[5.7725654],180
[0.17278484],5,5,7,12,[5.911239],181
[0.17215747],4,4,10,18,[5.9136963],182
[0.16801628],4,5,8,14,[5.869138],183
[0.16708644],5,5,6,1,[5.87988],184
[0.16087992],3,4,3,2,[5.8334913],185
[0.18651175],4,4,4,9,[5.7440543],186
[0.17405975],4,4,12,4,[5.735297],187
[0.19206536],4,4,5,1,[5.718673],188
[0.21788318],4,4,18,5,[5.761453],189
[0.19809917],4,4,10,17,[5.9485674],190
[0.20874156],4,4,11,10,[5.9340973],191
[0.21033065],4,4,12,10,[5.9261394],192
[0.22861189],4,4,19,1,[5.857113],193
[0.2268472],4,4,5,13,[5.8004966],194
[0.24817127],4,4,5,9,[5.776063],195
[0.20993394],4,4,1,10,[5.8367157],196
[0.18726985],4,4,1,2,[5.8421926],197
[0.20909129],5,5,7,18,[5.904298],198
[0.19375335],5,4,14,8,[5.886855],199
[0.18004099],5,5,3,6,[5.86559],200
[0.1885586],5,5,5,12,[5.712327],201
[0.20953393],5,5,2,9,[5.964596],202
[0.2131558],5,5,19,12,[5.935483],203
[0.2004307],5,5,13,2,[5.9777675],204
[0.20859347],5,5,3,15,[5.8655567],205
[0.24467911],5,5,17,19,[5.962635],206
[0.23159859],5,5,17,6,[5.96268],207
[0.23023225],5,5,10,6,[5.96161],208
[0.24892056],5,5,7,1,[5.746065],209
[0.23237151],5,5,2,7,[5.9605236],210
[0.23704176],5,5,17,4,[5.846012],211
[0.22904344],5,1,5,11,[5.683588],212
[0.22779687],5,5,10,5,[5.674039],213
[0.2705919],5,5,4,5,[5.535165],214
[0.21662791],5,5,3,8,[5.7596965],215
[0.2954878],5,5,16,19,[5.9692497],216
[0.31567085],5,5,6,5,[5.5874763],217
[0.37404037],5,5,7,5,[5.514841],218
[0.3845297],5,5,5,11,[5.49502],219
[0.4198371],5,5,12,18,[5.920668],220
[0.4702366],5,5,1,15,[5.8679075],221
[0.5155188],5,5,7,12,[5.9496593],222
[0.57990813],5,5,11,19,[5.986331],223
[0.6252005],5,5,4,5,[5.2409587],224
[0.56253755],5,5,14,3,[5.9334154],225
[0.5806432],5,5,5,8,[5.2407947],226
[0.6769067],5,5,4,1,[5.889249],227
[0.58763254],5,5,8,13,[5.93455],228
