probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.13037188],5,5,5,8,[5.835023],1
[0.1437675],5,5,1,3,[5.881882],2
[0.1540386],5,5,2,9,[5.9315886],3
[0.15717453],5,5,9,17,[5.9152126],4
[0.16139695],5,5,5,7,[5.735384],5
[0.16454263],5,5,6,3,[5.8971434],6
[0.17630777],5,5,7,18,[5.819399],7
[0.17542402],5,5,5,16,[5.804496],8
[0.17710872],5,5,14,9,[5.927843],9
[0.18207017],5,5,14,19,[5.943835],10
[0.19051725],5,5,16,10,[5.94308],11
[0.19597168],5,5,5,4,[5.7345695],12
[0.2030864],5,5,14,12,[5.9495482],13
[0.21059005],5,5,12,16,[5.9523826],14
[0.21190438],5,5,10,17,[5.924483],15
[0.22058417],5,5,2,18,[5.9067726],16
[0.21657874],5,5,14,16,[5.9626856],17
[0.21572983],5,5,19,15,[5.912675],18
[0.22675836],5,5,18,7,[5.813882],19
[0.21976243],5,5,13,18,[5.900792],20
[0.22341165],5,5,1,8,[5.9182506],21
[0.21687579],5,5,15,19,[5.9117374],22
[0.21580286],5,5,6,1,[5.9206038],23
[0.21894221],5,5,13,11,[5.9389067],24
[0.21512353],5,5,18,15,[5.870473],25
[0.21874696],5,5,4,17,[5.9039607],26
[0.20929734],5,5,13,8,[5.9419155],27
[0.21354444],5,5,8,7,[5.8511863],28
[0.20580256],5,5,17,14,[5.942548],29
[0.19736956],5,5,1,15,[5.8882546],30
[0.19974516],5,5,1,8,[5.9107523],31
[0.1935026],5,5,15,18,[5.8572354],32
[0.18850712],5,5,18,6,[5.8827724],33
[0.18422487],5,5,5,13,[5.784793],34
[0.18497087],5,5,14,16,[5.958583],35
[0.18718766],5,5,7,6,[5.857133],36
[0.18645531],5,5,1,7,[5.815389],37
[0.18457592],5,5,13,2,[5.947568],38
[0.17875011],5,5,6,5,[5.7899203],39
[0.1881165],5,5,12,4,[5.9142056],40
[0.19032452],5,5,17,2,[5.9421344],41
[0.18241854],5,5,9,1,[5.8833494],42
[0.1838144],5,5,1,18,[5.831893],43
[0.18273711],5,5,3,9,[5.8913527],44
[0.17807923],5,5,1,19,[5.8890276],45
[0.18023944],5,5,19,11,[5.9310293],46
[0.17860717],5,5,9,16,[5.930258],47
[0.18071489],5,5,10,12,[5.9360647],48
[0.17267738],5,5,9,15,[5.8875494],49
[0.1729502],5,5,5,13,[5.794945],50
[0.17549759],5,5,4,15,[5.8860874],51
[0.17293829],5,5,9,10,[5.909211],52
[0.17239958],5,5,15,19,[5.8974314],53
[0.18115541],5,5,12,18,[5.871605],54
[0.17620419],5,5,3,9,[5.886004],55
[0.1782697],5,5,17,4,[5.9046755],56
[0.17432038],5,5,1,8,[5.8865786],57
[0.1706382],5,5,19,16,[5.9399323],58
[0.17126696],5,5,14,3,[5.926505],59
[0.17553726],5,5,12,8,[5.9388328],60
[0.16539991],5,5,6,9,[5.905878],61
[0.16883786],5,5,7,10,[5.8485694],62
[0.16869433],5,5,16,11,[5.9532013],63
[0.16009077],5,5,14,10,[5.9427595],64
[0.16145612],5,5,8,1,[5.8801503],65
[0.161819],5,5,19,2,[5.935481],66
[0.1612131],5,5,7,3,[5.8309765],67
[0.15781873],5,5,11,9,[5.901041],68
[0.15235204],5,5,17,19,[5.9160914],69
[0.15162806],5,5,4,8,[5.904718],70
[0.14920245],5,5,17,10,[5.922673],71
[0.14520124],5,5,10,18,[5.868819],72
[0.14365141],5,5,17,19,[5.912263],73
[0.1407951],5,5,10,18,[5.866433],74
[0.13943587],5,5,10,16,[5.9393473],75
[0.13838956],5,5,18,4,[5.839903],76
[0.13308804],5,5,10,9,[5.8820333],77
[0.13230126],5,5,14,16,[5.956476],78
[0.13607267],5,5,12,5,[5.8319106],79
[0.13021158],5,5,13,1,[5.882105],80
[0.13530912],5,5,2,4,[5.916648],81
[0.12705767],5,5,19,1,[5.8543296],82
[0.12951462],5,5,5,4,[5.800284],83
[0.13306825],5,5,12,6,[5.9413304],84
[0.12699117],5,5,1,15,[5.8449],85
[0.12830602],5,5,15,13,[5.912178],86
[0.13068053],5,5,3,1,[5.8515453],87
[0.12743379],5,5,6,10,[5.921095],88
[0.13124701],5,5,19,2,[5.926742],89
[0.12926136],5,5,16,4,[5.908389],90
[0.1318885],5,5,13,2,[5.951295],91
[0.12445845],5,5,10,6,[5.918103],92
[0.12494346],5,5,9,5,[5.798711],93
[0.12940569],5,5,15,12,[5.910493],94
[0.12825182],5,5,4,7,[5.8336525],95
[0.12862213],5,5,17,4,[5.880103],96
[0.1302978],5,5,18,11,[5.87492],97
[0.12658285],5,5,11,15,[5.911441],98
[0.12523444],5,5,16,9,[5.90536],99
[0.12475225],5,5,14,17,[5.9364295],100
[0.12317202],5,5,18,10,[5.8467956],101
[0.12963106],5,5,2,9,[5.9038076],102
[0.12731789],5,5,2,8,[5.947198],103
[0.1245346],5,5,2,14,[5.958525],104
[0.12424675],5,5,11,13,[5.9422913],105
[0.12613314],5,5,9,2,[5.898335],106
[0.11486389],5,5,19,6,[5.916959],107
[0.12314253],5,5,12,8,[5.9368334],108
[0.11713602],5,5,4,16,[5.88866],109
[0.1199669],5,5,2,5,[5.855482],110
[0.11380917],5,5,16,19,[5.9268036],111
[0.11847527],5,5,9,3,[5.8653936],112
[0.11880387],5,5,9,17,[5.869338],113
[0.11762282],5,5,1,18,[5.8064804],114
[0.11517539],5,5,6,5,[5.8517323],115
[0.11988432],5,5,16,11,[5.95076],116
[0.12402792],5,5,5,12,[5.84201],117
[0.12060694],5,5,5,8,[5.843546],118
[0.12202983],5,5,6,10,[5.9145374],119
[0.13214721],5,5,4,2,[5.8809233],120
[0.12904805],5,5,7,14,[5.9038887],121
[0.13085364],5,5,13,1,[5.8798285],122
[0.13699052],5,5,11,13,[5.9405575],123
[0.13430528],5,5,4,8,[5.873334],124
[0.13523795],5,5,1,7,[5.8349752],125
[0.13694191],5,5,6,17,[5.9277754],126
[0.1357329],5,5,5,18,[5.770325],127
[0.1377936],5,5,17,1,[5.864336],128
[0.13691452],5,5,16,14,[5.9564714],129
[0.13772857],5,5,6,4,[5.8707113],130
[0.14007606],5,5,14,3,[5.938095],131
[0.14407066],5,5,11,9,[5.8752136],132
[0.14231335],5,5,11,4,[5.8689365],133
[0.13740833],5,5,8,19,[5.916544],134
[0.13930517],5,5,14,3,[5.9372478],135
[0.14206806],5,5,12,15,[5.9171753],136
[0.13803294],5,5,17,1,[5.854231],137
[0.13641013],5,5,18,4,[5.802429],138
[0.13967542],5,5,12,14,[5.9447474],139
