probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.15829447],3,3,7,15,[5.8736944],1
[0.16019581],3,3,10,18,[5.8620768],2
[0.1567937],3,3,17,10,[5.8765774],3
[0.15096198],3,3,17,19,[5.9298215],4
[0.14664608],3,3,9,17,[5.9200783],5
[0.14225608],3,3,2,17,[5.87869],6
[0.13806781],3,3,19,5,[5.9417925],7
[0.13308088],3,3,18,14,[5.871512],8
[0.12515858],7,7,1,15,[5.9174585],9
[0.12456428],7,7,14,6,[5.8867],10
[0.12472501],7,7,16,2,[5.8714952],11
[0.12147111],10,10,6,14,[5.8805356],12
[0.11953501],10,10,6,18,[5.894736],13
[0.12463858],10,10,5,7,[5.8608356],14
[0.12245042],10,10,8,1,[5.913825],15
[0.12312923],10,10,5,17,[5.9348335],16
[0.11882876],7,7,18,13,[5.9105597],17
[0.11960033],7,7,4,9,[5.9189873],18
[0.11927509],7,7,4,15,[5.9346094],19
[0.11855402],7,7,2,15,[5.8556666],20
[0.11581942],7,7,17,11,[5.9358606],21
[0.11665326],7,7,13,5,[5.955035],22
[0.11534213],7,7,8,2,[5.852339],23
[0.12120698],2,2,17,11,[5.933545],24
[0.1194488],2,2,6,2,[5.8272257],25
[0.12002847],2,2,10,12,[5.8808603],26
[0.12176239],2,2,5,3,[5.9109173],27
[0.12803069],2,2,2,19,[5.8272085],28
[0.13515176],2,2,6,10,[5.839778],29
[0.13775626],2,2,6,14,[5.8580627],30
[0.14519924],2,2,4,15,[5.927226],31
[0.1504232],2,2,2,17,[5.793438],32
[0.15332809],2,2,8,7,[5.868873],33
[0.15818568],2,2,6,2,[5.781604],34
[0.15666062],2,2,3,14,[5.8545284],35
[0.1718955],2,2,8,15,[5.9236784],36
[0.17076169],2,2,18,10,[5.821152],37
[0.17572431],2,2,13,1,[5.932417],38
[0.18316138],2,2,1,6,[5.895075],39
[0.18315136],2,2,12,18,[5.922513],40
[0.18767062],2,2,18,15,[5.885248],41
[0.18955196],2,2,17,3,[5.893833],42
[0.18944798],2,2,18,1,[5.8830814],43
[0.18038213],2,2,2,14,[5.731407],44
[0.1895156],2,2,9,8,[5.9275503],45
[0.19132851],2,2,19,6,[5.895694],46
[0.20299925],2,2,16,4,[5.949312],47
[0.19641778],2,2,19,11,[5.949256],48
[0.19788067],2,2,6,4,[5.8995023],49
[0.18957789],2,2,9,14,[5.876971],50
[0.19892071],2,2,6,12,[5.918909],51
[0.19049256],2,2,9,10,[5.8620057],52
[0.18885313],2,2,12,10,[5.8884077],53
[0.18663605],2,2,5,6,[5.8994045],54
[0.19047683],2,2,4,7,[5.895958],55
[0.1878864],2,2,18,1,[5.8709755],56
[0.18922989],2,2,6,17,[5.861467],57
[0.16641055],2,2,10,5,[5.865615],58
[0.17520908],2,2,13,17,[5.928365],59
[0.1645819],2,2,13,9,[5.9386706],60
[0.16513406],2,2,4,12,[5.9591103],61
[0.15984885],2,2,18,13,[5.8932114],62
[0.15547416],2,2,3,9,[5.9138823],63
[0.1566149],2,2,7,2,[5.7685256],64
[0.1655059],2,2,16,11,[5.965722],65
[0.15366177],2,2,10,7,[5.8082414],66
[0.14507166],2,2,5,10,[5.852432],67
[0.15707572],2,2,12,17,[5.9387293],68
[0.1482903],2,2,12,19,[5.9590306],69
[0.15768556],2,2,1,16,[5.9338884],70
[0.15143928],2,2,7,15,[5.887436],71
[0.14677532],2,2,15,9,[5.9187284],72
[0.1485009],2,2,4,11,[5.95102],73
[0.14934975],2,2,17,6,[5.838279],74
[0.14378542],2,2,3,11,[5.943309],75
[0.13519946],10,10,2,13,[5.8427906],76
[0.14193091],2,2,1,7,[5.870122],77
[0.14111046],2,2,4,7,[5.8796773],78
[0.1466509],2,2,11,17,[5.926056],79
[0.13805264],2,2,9,6,[5.84461],80
[0.14262173],2,2,15,17,[5.9003716],81
[0.13899723],2,2,12,17,[5.9284563],82
[0.1341507],2,2,8,3,[5.9283295],83
[0.13510405],2,2,2,1,[5.8118687],84
[0.13422817],2,2,5,16,[5.9575825],85
[0.1374705],2,2,8,15,[5.9324636],86
[0.12895928],2,2,5,9,[5.9305286],87
[0.13453455],2,2,17,5,[5.9050303],88
[0.13343133],2,2,7,19,[5.8691025],89
[0.13359119],2,2,9,2,[5.814951],90
[0.13915883],2,2,6,8,[5.8605804],91
[0.13528791],2,2,9,3,[5.9016504],92
[0.1396125],2,2,11,19,[5.9552045],93
[0.13729613],2,2,8,13,[5.9500227],94
[0.14111985],2,2,1,9,[5.8933907],95
[0.13749702],2,2,12,9,[5.9349403],96
