probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.08309019],7,7,15,10,[5.8973446],1
[0.08300696],7,7,14,6,[5.878159],2
[0.08351078],7,7,19,7,[5.8494687],3
[0.08426221],7,7,13,16,[5.8841],4
[0.08670847],7,7,17,10,[5.8953695],5
[0.08513315],7,7,15,13,[5.900812],6
[0.08811565],7,7,19,4,[5.8894343],7
[0.08821899],7,7,7,13,[5.873031],8
[0.0862997],7,7,15,17,[5.866015],9
[0.08875271],7,7,12,8,[5.917508],10
[0.09069113],7,7,7,14,[5.8349657],11
[0.0904452],7,7,1,15,[5.8906],12
[0.0947345],7,7,10,9,[5.8996744],13
[0.09113007],7,7,15,8,[5.891181],14
[0.0956765],7,7,1,13,[5.922245],15
[0.09493011],7,7,12,6,[5.891925],16
[0.09645463],7,7,10,15,[5.8742847],17
[0.09548979],7,7,6,17,[5.8729973],18
[0.0976966],7,7,17,13,[5.8966475],19
[0.09319883],7,7,5,8,[5.922281],20
[0.09695602],7,7,16,4,[5.8666553],21
[0.09836397],7,7,17,11,[5.9098177],22
[0.09563726],7,7,15,4,[5.8705235],23
[0.09691052],7,7,8,10,[5.9168253],24
[0.09899296],7,7,7,11,[5.8747425],25
[0.09977241],7,7,10,12,[5.899804],26
[0.09510093],7,7,17,15,[5.8411226],27
[0.09851421],7,7,12,18,[5.8986025],28
[0.09673531],7,7,5,19,[5.893182],29
[0.09897216],7,7,15,10,[5.8604627],30
[0.10016601],7,7,4,7,[5.846634],31
[0.10062171],7,7,14,12,[5.8778543],32
[0.09987792],7,7,18,2,[5.8949313],33
[0.09730516],7,7,5,6,[5.895779],34
[0.10232501],7,7,10,3,[5.9295654],35
[0.09940649],7,7,6,3,[5.9198523],36
[0.09983463],7,7,8,14,[5.8923807],37
[0.10252712],7,7,12,7,[5.8428006],38
[0.10071462],7,7,15,4,[5.857828],39
[0.1005914],7,7,5,7,[5.854079],40
[0.10725597],7,7,11,4,[5.9268727],41
[0.10481225],7,7,3,19,[5.919516],42
[0.10492276],7,7,8,1,[5.9303374],43
[0.10437335],7,7,16,18,[5.8716516],44
[0.10758068],7,7,6,4,[5.8842344],45
[0.1090565],7,7,1,7,[5.855213],46
[0.10831285],7,7,2,17,[5.877042],47
[0.10575534],7,7,15,3,[5.88605],48
[0.11257599],7,7,10,1,[5.915929],49
[0.1145824],7,7,4,11,[5.924762],50
[0.11050088],7,7,15,2,[5.849448],51
[0.113548],7,7,10,3,[5.928133],52
[0.11190129],7,7,16,2,[5.871792],53
[0.11245912],7,7,8,11,[5.9391174],54
[0.11550606],7,7,9,13,[5.9214783],55
[0.11253217],7,7,17,2,[5.875259],56
[0.11317348],7,7,3,2,[5.925598],57
[0.11384308],7,7,10,16,[5.8716755],58
[0.1124716],7,7,3,7,[5.8651514],59
[0.1165155],7,7,10,12,[5.8928723],60
[0.11619569],7,7,9,11,[5.934763],61
[0.11359733],7,7,5,2,[5.9001594],62
[0.11324944],7,7,3,6,[5.918892],63
[0.11106846],7,7,3,5,[5.939539],64
[0.11315398],7,7,5,1,[5.9246902],65
[0.11719148],7,7,1,2,[5.9059157],66
[0.1138499],7,7,6,3,[5.9181337],67
[0.11172216],7,7,16,8,[5.886745],68
[0.11355679],7,7,6,3,[5.917162],69
[0.11658262],7,7,14,12,[5.886689],70
[0.11348914],7,7,5,2,[5.8920755],71
[0.11730532],7,7,10,14,[5.8757267],72
[0.11237991],7,7,15,4,[5.8543916],73
[0.10841025],7,7,15,8,[5.8644743],74
[0.11244927],7,7,18,7,[5.8385577],75
[0.11355093],7,7,16,11,[5.9000945],76
[0.11465406],7,7,19,7,[5.825927],77
[0.11581028],7,7,19,1,[5.9106393],78
[0.11806232],7,7,11,19,[5.9216986],79
[0.1167668],7,7,3,10,[5.9165554],80
[0.11749119],7,7,19,7,[5.8219357],81
[0.11293008],7,7,8,16,[5.8849335],82
[0.11609612],7,7,12,8,[5.9112673],83
[0.11956497],7,7,6,4,[5.8861613],84
[0.11544607],7,7,17,15,[5.832545],85
[0.11814208],7,7,8,7,[5.839984],86
[0.12509443],7,7,11,10,[5.914259],87
[0.12280002],7,7,14,3,[5.917691],88
