probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.1121678],13,13,14,12,[5.9003353],1
[0.11261326],1,1,7,10,[5.9168396],2
[0.10935552],13,13,5,1,[5.8488407],3
[0.11222336],13,13,19,2,[5.9418488],4
[0.11315308],1,1,1,3,[5.8341966],5
[0.11616623],1,1,3,1,[5.8305874],6
[0.11976064],1,1,2,4,[5.909194],7
[0.12181749],1,1,15,3,[5.903266],8
[0.12440432],1,1,12,18,[5.9014826],9
[0.12652162],1,1,18,4,[5.917431],10
[0.12987012],1,1,6,18,[5.903884],11
[0.12984332],1,1,14,2,[5.922905],12
[0.1292319],1,1,19,13,[5.8752995],13
[0.13070072],1,1,18,3,[5.917753],14
[0.13175438],1,1,8,3,[5.908311],15
[0.12956247],1,1,8,5,[5.9213285],16
[0.1357166],1,1,12,7,[5.8819275],17
[0.13493815],1,1,4,6,[5.864293],18
[0.13501295],1,1,4,10,[5.885518],19
[0.13542312],1,1,13,16,[5.8452992],20
[0.13390446],1,1,15,10,[5.900801],21
[0.13144866],1,1,9,8,[5.918975],22
[0.13383526],1,1,9,7,[5.9131794],23
[0.12988527],1,1,13,2,[5.8628397],24
[0.12807122],1,1,2,8,[5.926094],25
[0.13051274],1,1,16,3,[5.880863],26
[0.12620838],1,1,9,13,[5.8516726],27
[0.12890558],1,1,9,16,[5.8929777],28
[0.1293635],1,1,6,7,[5.8826118],29
[0.12564051],1,1,12,6,[5.8460493],30
[0.12081002],1,1,18,14,[5.9342933],31
[0.12437523],1,1,16,12,[5.8628197],32
[0.1251742],1,1,7,6,[5.879628],33
[0.12123559],1,1,11,10,[5.907427],34
[0.11742676],1,1,5,12,[5.878741],35
[0.11956091],1,1,6,11,[5.881962],36
[0.11731371],1,1,14,11,[5.921949],37
[0.1161967],1,1,12,14,[5.876636],38
[0.11324455],1,1,19,3,[5.907323],39
[0.11533502],1,1,7,8,[5.9205294],40
[0.1137214],1,1,18,10,[5.916335],41
[0.11410525],1,1,12,17,[5.890645],42
[0.11369064],1,1,17,1,[5.8620806],43
[0.11138336],1,1,9,2,[5.9103637],44
[0.10961626],1,1,18,13,[5.8692727],45
[0.11123955],1,1,16,19,[5.91189],46
[0.11028335],1,1,8,9,[5.912088],47
[0.1127682],1,1,13,7,[5.859762],48
[0.1103368],1,1,11,4,[5.8964233],49
[0.10886966],1,1,2,3,[5.8955607],50
[0.10669438],1,1,9,5,[5.904789],51
[0.10843619],13,13,5,10,[5.901806],52
[0.10678861],1,1,2,18,[5.9333014],53
[0.10805102],1,1,3,17,[5.91319],54
[0.10614491],1,1,1,3,[5.8247833],55
[0.1047093],1,1,5,4,[5.898322],56
[0.10490075],1,1,3,8,[5.893425],57
[0.1058877],1,1,18,1,[5.86325],58
[0.1039783],13,13,5,1,[5.849611],59
[0.10971969],13,13,19,15,[5.936184],60
[0.10881142],1,1,15,13,[5.854609],61
[0.10809883],1,1,18,3,[5.898717],62
[0.11044171],1,1,17,19,[5.9526434],63
[0.11057208],1,1,4,9,[5.884507],64
[0.11086197],1,1,8,9,[5.907499],65
[0.11301661],1,1,11,6,[5.882234],66
[0.11408015],1,1,9,16,[5.8854938],67
[0.1133744],1,1,9,6,[5.8671026],68
[0.11206274],1,1,15,4,[5.9013014],69
[0.11012353],1,1,2,8,[5.920738],70
[0.11258855],1,1,1,10,[5.830202],71
[0.11260503],1,1,10,12,[5.86277],72
[0.11237884],1,1,15,10,[5.9053946],73
[0.11312245],1,1,10,9,[5.8839293],74
[0.11154],1,1,8,12,[5.8757863],75
[0.11230748],1,1,8,1,[5.8442235],76
[0.11300891],1,1,18,10,[5.9108524],77
