probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.12556219],12,12,6,5,[5.9114847],1
[0.12696704],12,12,2,16,[5.923127],2
[0.12456145],12,12,13,7,[5.838724],3
[0.12535551],13,13,4,16,[5.8535156],4
[0.13007244],13,13,16,8,[5.8947363],5
[0.12814444],13,13,2,9,[5.9610057],6
[0.13295189],13,13,1,12,[5.854578],7
[0.1396842],13,13,15,17,[5.894417],8
[0.14421763],13,13,15,7,[5.9203634],9
[0.13213779],13,13,2,3,[5.9459333],10
[0.13469711],13,13,4,15,[5.8662753],11
[0.13741995],13,13,19,6,[5.89441],12
[0.12963775],13,13,12,9,[5.867708],13
[0.1354443],13,13,7,3,[5.9261074],14
[0.13070631],13,13,6,17,[5.871644],15
[0.12447974],13,13,18,3,[5.9563866],16
[0.12773561],12,12,13,11,[5.844102],17
[0.12646359],12,12,4,3,[5.866896],18
[0.12401823],13,13,15,9,[5.9370823],19
[0.1261606],12,12,10,14,[5.928501],20
[0.12109185],13,13,13,5,[5.827202],21
[0.12531659],13,13,18,13,[5.8539505],22
[0.13321207],13,13,16,13,[5.7728014],23
[0.13361125],13,13,2,9,[5.954506],24
[0.1409946],13,13,10,3,[5.9421587],25
[0.15434578],13,13,16,9,[5.89381],26
[0.15807395],13,13,1,17,[5.895096],27
[0.15780562],13,13,8,19,[5.9204416],28
[0.16449746],13,13,17,13,[5.7533493],29
[0.1727194],13,13,6,17,[5.8685217],30
[0.17064932],13,13,13,11,[5.7925644],31
[0.18411432],13,13,6,1,[5.913019],32
[0.18213998],13,13,18,2,[5.958208],33
[0.19571869],13,13,6,13,[5.7383356],34
[0.2055808],13,13,10,16,[5.887331],35
[0.21419269],13,13,16,4,[5.816808],36
[0.21221296],13,13,5,9,[5.944242],37
[0.22642227],13,13,19,6,[5.896481],38
[0.23224635],13,13,7,4,[5.869898],39
[0.22775748],13,13,14,19,[5.9198685],40
[0.2313444],13,13,15,19,[5.912057],41
[0.23532744],13,13,16,1,[5.8761134],42
[0.22753033],13,13,13,1,[5.734375],43
[0.23040403],13,13,9,13,[5.745154],44
[0.24598704],13,13,9,6,[5.917716],45
[0.25060916],13,13,19,14,[5.9180975],46
[0.27161622],13,13,7,15,[5.92166],47
[0.2573989],13,13,13,10,[5.7115593],48
[0.27938712],13,13,17,15,[5.8858404],49
[0.2830538],13,13,15,12,[5.8987575],50
[0.29019898],13,13,5,17,[5.8961315],51
[0.29646373],13,13,18,16,[5.8899736],52
[0.3090955],13,13,7,15,[5.9212556],53
[0.2940333],13,13,16,8,[5.87403],54
[0.29231676],13,13,3,4,[5.893467],55
[0.29535827],13,13,18,16,[5.8812113],56
[0.27855912],13,13,8,5,[5.9480886],57
[0.2951604],13,13,19,7,[5.911347],58
[0.27633888],13,13,8,16,[5.852169],59
[0.27167284],13,13,4,3,[5.8933754],60
[0.26714304],13,13,2,15,[5.928804],61
[0.26078492],13,13,1,14,[5.9458876],62
[0.24715807],13,13,3,8,[5.951232],63
[0.24199386],13,13,4,1,[5.890836],64
[0.23602694],13,13,11,5,[5.9504013],65
[0.23227488],13,13,1,12,[5.9188213],66
[0.23247433],13,13,1,16,[5.8178773],67
[0.23445721],13,13,7,6,[5.904932],68
[0.20982283],13,13,11,5,[5.948882],69
[0.20839481],13,13,15,9,[5.9277754],70
[0.19264491],13,13,4,2,[5.8817816],71
[0.19214016],13,13,4,16,[5.722889],72
[0.18710533],13,13,2,16,[5.7945147],73
[0.18488118],16,16,7,1,[5.928887],74
[0.19369766],16,16,2,9,[5.9622207],75
[0.1969818],16,16,4,19,[5.8471203],76
[0.20088552],16,16,6,3,[5.9168777],77
[0.21478307],16,16,15,10,[5.9230814],78
[0.21408288],16,16,5,19,[5.9135666],79
[0.1992093],16,16,13,7,[5.786921],80
[0.19831294],16,16,13,11,[5.8157787],81
[0.2273682],16,16,16,18,[5.752204],82
[0.21522483],16,16,1,4,[5.853412],83
[0.20772049],16,16,6,13,[5.7751713],84
[0.21337955],16,16,5,4,[5.843256],85
[0.22169514],16,16,3,19,[5.9182096],86
[0.22054236],16,16,2,7,[5.935684],87
[0.22339007],16,16,9,11,[5.967574],88
[0.22160183],16,16,6,9,[5.9285336],89
[0.19218174],16,16,2,13,[5.795155],90
[0.22743337],16,16,1,8,[5.9481792],91
[0.20397002],16,16,4,10,[5.84715],92
[0.19004434],16,16,11,4,[5.836862],93
[0.19693185],16,16,17,5,[5.9136744],94
[0.18300012],16,16,14,10,[5.9625373],95
[0.18911754],16,16,18,4,[5.8337812],96
[0.19136637],16,16,17,19,[5.8931017],97
[0.17932962],16,16,18,15,[5.937111],98
[0.17627534],13,16,19,3,[5.91683],99
[0.17404634],4,4,1,9,[5.9516783],100
[0.18504335],4,4,11,15,[5.9296513],101
[0.19580548],4,4,4,2,[5.763366],102
[0.18931161],4,4,17,3,[5.924393],103
[0.21204442],4,4,12,5,[5.929052],104
[0.20782264],4,4,4,16,[5.617344],105
[0.22647724],4,4,5,18,[5.955854],106
[0.23512138],4,4,10,12,[5.9509544],107
[0.23977116],4,4,10,1,[5.953329],108
[0.24698752],4,4,15,1,[5.9119797],109
[0.25635606],4,4,18,2,[5.966256],110
[0.25199407],4,4,1,19,[5.904787],111
[0.25420836],4,4,13,17,[5.7936144],112
[0.26878053],4,4,12,4,[5.6789255],113
[0.26199168],4,4,17,3,[5.921846],114
[0.2768255],4,4,7,11,[5.953164],115
[0.2767406],4,4,12,8,[5.94862],116
[0.2838039],4,4,9,12,[5.950814],117
[0.28866428],4,4,1,15,[5.9052286],118
[0.2913221],4,4,18,4,[5.68398],119
[0.2940897],4,4,12,8,[5.947475],120
[0.2938595],4,4,17,19,[5.879037],121
[0.30181137],4,4,16,18,[5.876587],122
[0.30873066],4,4,7,1,[5.9308515],123
[0.3165715],4,4,6,1,[5.913615],124
[0.30661964],4,4,1,18,[5.946622],125
[0.3134616],4,4,19,11,[5.923867],126
