probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.11497717],1,1,14,6,[5.8987775],1
[0.11522632],16,16,7,3,[5.855982],2
[0.11332111],16,16,19,6,[5.9513264],3
[0.11553773],16,16,18,16,[5.866438],4
[0.1149051],16,16,14,9,[5.846657],5
[0.11747895],16,16,10,1,[5.7979717],6
[0.11685992],16,16,3,11,[5.892067],7
[0.11587302],16,16,6,12,[5.917095],8
[0.11663536],16,16,5,4,[5.9393578],9
[0.11687847],16,16,6,19,[5.949383],10
[0.11732817],16,16,4,16,[5.8520923],11
[0.12060988],16,16,18,16,[5.861159],12
[0.11944725],16,16,13,15,[5.9156313],13
[0.12252182],16,16,12,8,[5.9169464],14
[0.12177818],16,16,15,4,[5.9505877],15
[0.12307107],16,16,14,18,[5.8991323],16
[0.12257587],16,16,14,3,[5.836095],17
[0.12550896],16,16,4,1,[5.8634796],18
[0.12685344],16,16,17,3,[5.8870335],19
[0.1240357],16,16,5,13,[5.903599],20
[0.12657212],16,16,18,4,[5.9548874],21
[0.12614138],16,16,18,13,[5.9210954],22
[0.12579481],16,16,6,11,[5.9411077],23
[0.12455951],16,16,4,5,[5.936685],24
[0.1261866],16,16,8,2,[5.9419746],25
[0.1232512],16,16,15,12,[5.9178295],26
[0.12507133],16,16,5,19,[5.938732],27
[0.12593679],16,16,7,12,[5.8699703],28
[0.12743832],16,16,15,7,[5.909176],29
[0.12185469],16,16,2,15,[5.942708],30
[0.12392133],16,16,16,3,[5.794159],31
[0.1234391],16,16,19,4,[5.9420123],32
[0.12231775],16,16,2,19,[5.9368477],33
[0.12560621],16,16,7,19,[5.900883],34
[0.1266234],16,16,18,6,[5.9565744],35
[0.12640002],16,16,1,14,[5.807268],36
[0.12376905],16,16,5,4,[5.933164],37
[0.12103115],16,16,12,4,[5.90574],38
[0.12660556],16,16,1,5,[5.8591995],39
[0.12632431],16,16,17,5,[5.9297504],40
[0.12254199],16,16,19,13,[5.90629],41
[0.12445956],16,16,9,6,[5.905465],42
[0.12599558],16,16,6,17,[5.9391747],43
[0.12366171],16,16,10,1,[5.809404],44
[0.12252912],16,16,17,10,[5.87904],45
[0.12010901],16,16,12,16,[5.81106],46
[0.12351044],16,16,4,8,[5.944627],47
[0.12121017],16,16,1,2,[5.8538036],48
[0.12226483],16,16,4,1,[5.854315],49
[0.12652685],16,16,1,8,[5.867979],50
[0.12163749],16,16,17,14,[5.879081],51
[0.1169317],16,16,2,4,[5.9297],52
[0.12025197],16,16,1,12,[5.8185472],53
[0.12197267],16,16,1,16,[5.7594633],54
[0.11743603],1,1,3,6,[5.8970304],55
[0.12114641],16,16,5,7,[5.892588],56
[0.12177589],16,1,7,4,[5.8968506],57
[0.12116466],16,16,1,9,[5.814969],58
[0.12546249],1,1,19,1,[5.842552],59
[0.12086328],16,16,3,17,[5.89022],60
[0.13177785],1,1,6,1,[5.838153],61
[0.12490932],1,1,10,18,[5.8971243],62
[0.12971926],1,1,17,6,[5.937851],63
[0.13249907],1,1,18,2,[5.9461384],64
[0.13200973],1,1,9,8,[5.9164357],65
[0.13296355],1,1,3,5,[5.8857656],66
[0.1404206],1,1,7,14,[5.847822],67
[0.1355379],1,1,9,8,[5.9162045],68
[0.14274609],1,1,5,4,[5.92692],69
