probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.11278278],4,4,3,19,[5.859945],1
[0.11325846],4,4,2,3,[5.867959],2
[0.10711112],4,4,14,6,[5.903146],3
[0.10990798],3,3,18,12,[5.930229],4
[0.10798265],3,3,11,5,[5.863099],5
[0.11071382],3,3,15,11,[5.9119444],6
[0.11774804],3,3,9,17,[5.9405303],7
[0.12030917],3,3,15,18,[5.9172373],8
[0.11106606],3,3,1,6,[5.867244],9
[0.11727406],3,3,4,9,[5.8950214],10
[0.11698373],3,3,19,5,[5.840924],11
[0.11756573],3,3,7,11,[5.9177265],12
[0.11328114],3,3,6,12,[5.895765],13
[0.11540125],3,3,12,14,[5.9363785],14
[0.11757759],3,3,11,9,[5.9268904],15
[0.12004835],3,3,14,17,[5.9156675],16
[0.114787],3,3,3,19,[5.811965],17
[0.11711057],3,3,9,3,[5.8675146],18
[0.12343125],3,3,4,8,[5.835415],19
[0.12235814],3,3,6,17,[5.8716965],20
[0.12221023],3,3,5,19,[5.8328085],21
[0.1255483],3,3,12,19,[5.8921976],22
[0.12583397],3,3,5,12,[5.872433],23
[0.12463689],3,3,16,4,[5.8774867],24
[0.13399932],3,3,18,2,[5.9185543],25
[0.12503307],3,3,7,19,[5.895864],26
[0.12387322],3,3,14,2,[5.923305],27
[0.12952182],3,3,3,8,[5.8000946],28
[0.12536937],3,3,5,19,[5.817193],29
[0.12704505],3,3,2,10,[5.9312735],30
[0.13300191],3,3,17,9,[5.9339213],31
[0.12880932],3,3,12,9,[5.9529076],32
[0.12609236],3,3,14,2,[5.9209356],33
[0.12794736],3,3,5,2,[5.8524685],34
[0.12424496],3,3,19,13,[5.881263],35
[0.12185162],3,3,6,2,[5.8741493],36
[0.12535024],3,3,16,19,[5.8872356],37
[0.13033648],3,3,12,8,[5.9013977],38
[0.131462],3,3,11,17,[5.8860035],39
[0.11442582],3,3,13,6,[5.890829],40
[0.11772235],3,3,2,13,[5.924123],41
[0.12587477],3,3,10,18,[5.932952],42
[0.12452026],3,3,18,10,[5.9327703],43
[0.11402767],5,5,6,11,[5.8588886],44
[0.11383216],3,3,9,13,[5.959591],45
[0.11758574],3,3,14,8,[5.89804],46
[0.11278557],3,3,5,19,[5.7845964],47
[0.11815252],3,3,18,3,[5.836671],48
[0.11432499],5,5,2,10,[5.916192],49
[0.11598549],3,3,18,13,[5.9291325],50
[0.11338335],3,3,7,9,[5.9625325],51
[0.11490239],5,5,6,13,[5.879224],52
[0.11283946],5,5,14,9,[5.950306],53
[0.11389732],5,5,3,6,[5.800246],54
[0.11669817],3,3,9,8,[5.919095],55
[0.11186063],5,5,4,3,[5.8098364],56
[0.12054385],3,3,17,3,[5.8250933],57
[0.11701737],3,3,15,11,[5.912571],58
[0.12662499],3,3,18,10,[5.925436],59
[0.1195887],3,3,7,13,[5.946065],60
[0.12644108],3,3,7,9,[5.9621162],61
[0.12493737],3,3,12,4,[5.887879],62
[0.13197641],3,3,8,5,[5.8281975],63
[0.12828101],3,3,2,16,[5.9265184],64
[0.12618123],3,3,7,6,[5.8749776],65
[0.12413504],3,3,6,12,[5.862091],66
[0.12836216],3,3,5,2,[5.835893],67
[0.13150556],3,3,6,18,[5.8491435],68
[0.12877677],3,3,19,3,[5.7775545],69
[0.12480712],3,3,5,13,[5.8581905],70
[0.12924582],3,3,12,1,[5.933256],71
[0.13505326],3,3,17,13,[5.9196157],72
[0.12702493],3,3,14,11,[5.912386],73
[0.12813304],3,3,16,12,[5.947603],74
[0.1277318],3,3,5,3,[5.7540655],75
[0.13085563],3,3,10,7,[5.946312],76
[0.13598703],3,3,8,5,[5.8168674],77
[0.12820543],3,3,19,6,[5.7963457],78
[0.1327335],3,3,16,19,[5.8961487],79
[0.13079412],3,3,15,12,[5.93872],80
[0.12651007],3,3,10,6,[5.8500614],81
[0.13694608],3,3,13,18,[5.921713],82
[0.13791856],3,3,18,7,[5.931387],83
[0.13668272],3,3,16,18,[5.9372177],84
[0.13108696],6,3,6,9,[5.857934],85
[0.1293298],6,6,16,3,[5.8546567],86
[0.12953477],6,6,14,1,[5.937602],87
[0.13708243],3,3,17,12,[5.9189744],88
[0.13620715],3,3,1,8,[5.909857],89
[0.13397944],6,6,12,8,[5.899786],90
[0.13662495],6,6,10,16,[5.9538836],91
[0.1383673],6,6,2,5,[5.817294],92
[0.13770717],6,6,4,5,[5.809845],93
[0.13734576],6,6,12,5,[5.826085],94
[0.1380263],6,6,3,11,[5.830328],95
[0.14018981],6,6,6,4,[5.7951345],96
[0.1391179],5,5,3,10,[5.848171],97
[0.13641049],5,5,17,5,[5.8152905],98
[0.14326116],5,5,11,16,[5.9370127],99
[0.14265649],5,5,9,5,[5.8384666],100
[0.14605932],5,5,6,18,[5.81575],101
[0.15153293],5,5,8,9,[5.9222193],102
[0.15911958],5,5,16,13,[5.9526553],103
[0.16207428],5,5,4,12,[5.8982606],104
[0.1662218],5,5,3,11,[5.8286643],105
[0.164916],5,5,4,11,[5.894361],106
[0.16471718],5,5,4,15,[5.917094],107
[0.16548242],5,5,10,5,[5.8004217],108
[0.16408937],5,5,7,18,[5.934358],109
[0.17156102],5,5,7,13,[5.9512324],110
[0.16945627],5,5,5,7,[5.803234],111
[0.17597587],5,5,7,14,[5.951763],112
[0.18367007],5,5,14,11,[5.927625],113
[0.18547992],5,5,8,11,[5.891255],114
[0.18877243],5,5,10,14,[5.94723],115
[0.19069497],5,5,3,10,[5.8446493],116
[0.18570486],5,5,17,6,[5.8319135],117
[0.18813385],5,5,4,16,[5.909713],118
