probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.11080087],7,7,6,7,[5.8616505],1
[0.13660032],7,7,11,3,[5.872772],2
[0.15374802],7,7,8,1,[5.8784466],3
[0.16577461],7,7,10,11,[5.8253717],4
[0.17165163],7,7,7,10,[5.757593],5
[0.18559264],7,7,2,17,[5.9515333],6
[0.19756326],7,7,2,4,[5.92546],7
[0.20869851],7,7,6,4,[5.917921],8
[0.21418385],7,7,16,10,[5.895424],9
[0.21451786],7,7,1,10,[5.8371487],10
[0.21351708],7,7,8,16,[5.9088755],11
[0.21817805],7,7,14,12,[5.947684],12
[0.20959044],7,7,1,4,[5.8564816],13
[0.20268485],7,7,8,4,[5.8605995],14
[0.19804814],7,7,14,18,[5.954318],15
[0.19394386],7,7,11,3,[5.824526],16
[0.18699118],7,7,1,2,[5.872795],17
[0.18386081],7,7,5,12,[5.9466324],18
[0.17349114],7,7,5,13,[5.968668],19
[0.16769175],7,7,11,13,[5.8392296],20
[0.15681426],7,7,17,10,[5.8489895],21
[0.1531779],7,7,17,12,[5.9428096],22
[0.15217614],11,11,3,18,[5.9375577],23
[0.15425657],11,11,12,8,[5.871806],24
[0.15976624],11,11,3,14,[5.9529457],25
[0.15480454],11,11,4,7,[5.7790833],26
[0.15679994],11,11,7,9,[5.855174],27
[0.153795],11,11,11,16,[5.8190427],28
[0.1519409],11,11,8,4,[5.814857],29
[0.15884984],11,11,4,7,[5.763838],30
[0.15951012],11,11,9,2,[5.960353],31
[0.16019787],11,11,5,8,[5.882146],32
[0.15475479],11,11,13,18,[5.9552665],33
[0.16104549],11,11,11,10,[5.7078905],34
[0.16245244],11,11,1,16,[5.881195],35
[0.16331303],11,11,15,8,[5.8772173],36
[0.16506442],11,11,17,2,[5.951374],37
[0.17136493],11,11,3,6,[5.9478235],38
[0.16103509],11,11,14,8,[5.854867],39
[0.16927095],11,11,2,3,[5.9379044],40
[0.1628391],11,11,9,11,[5.822683],41
[0.17020385],11,11,7,2,[5.81024],42
[0.16983055],8,11,2,8,[5.805377],43
[0.17178494],8,11,5,18,[5.955758],44
[0.1700806],8,8,19,8,[5.8055315],45
[0.17518693],8,8,18,16,[5.9503946],46
[0.17845693],8,8,7,5,[5.8186765],47
[0.20105831],8,8,1,16,[5.906313],48
[0.19817837],8,8,7,8,[5.6002393],49
[0.23506635],8,8,11,10,[5.745167],50
[0.24859281],8,8,13,10,[5.899806],51
[0.23694566],8,8,1,7,[5.754719],52
[0.24759626],8,8,16,11,[5.825563],53
[0.25583485],8,8,8,13,[5.691482],54
[0.27011263],8,8,14,18,[5.9614515],55
[0.27467355],8,8,3,15,[5.970051],56
[0.27589783],8,8,17,15,[5.985612],57
[0.30030292],8,8,13,10,[5.9068346],58
[0.29546544],8,8,12,1,[5.9240904],59
[0.30621445],8,8,8,19,[5.628369],60
[0.30252245],8,8,5,6,[5.9817095],61
[0.31858245],8,8,16,1,[5.9244547],62
[0.35373265],8,8,18,4,[5.9382057],63
[0.35479665],8,8,17,13,[5.98521],64
[0.358927],8,8,17,1,[5.93286],65
[0.38212618],8,8,18,10,[5.891287],66
[0.3702261],8,8,8,13,[5.5429897],67
[0.38836515],8,8,14,19,[5.992182],68
[0.3735195],8,8,5,2,[5.966389],69
[0.3721465],8,8,6,11,[5.8688045],70
[0.40075216],8,8,12,4,[5.953191],71
[0.44545755],8,8,9,13,[5.993371],72
[0.40768397],8,8,18,5,[5.965028],73
[0.3810886],8,8,4,15,[5.96485],74
[0.38556463],8,8,12,4,[5.9497175],75
[0.34900585],8,8,1,16,[5.900907],76
[0.37734637],8,8,4,1,[5.8780336],77
[0.38928542],8,8,10,9,[5.9071198],78
[0.33311832],8,8,13,17,[5.979519],79
[0.32011163],8,8,1,13,[5.8859158],80
[0.27018565],8,8,2,17,[5.9585466],81
[0.24861105],8,8,1,16,[5.846189],82
[0.23855355],8,8,7,4,[5.7918005],83
[0.23291668],8,8,6,9,[5.983531],84
[0.19930671],8,8,6,8,[5.6754556],85
[0.1867891],8,8,7,12,[5.8122644],86
[0.18795682],8,8,19,7,[5.831763],87
[0.20331752],8,8,4,2,[5.9070215],88
[0.22350383],8,8,9,13,[5.976668],89
[0.18034579],7,8,7,2,[5.7679005],90
[0.18819447],8,8,4,18,[5.897396],91
[0.1832156],8,8,10,14,[5.902565],92
[0.20792113],7,7,13,5,[5.965045],93
[0.1926824],7,7,7,9,[5.7539763],94
[0.22208805],7,8,17,12,[5.9588776],95
[0.22843014],7,7,12,9,[5.96578],96
[0.24973989],7,7,6,9,[5.979704],97
[0.26027352],7,7,3,4,[5.903096],98
[0.21644294],7,7,1,18,[5.8296885],99
[0.29645425],7,7,14,12,[5.9617677],100
[0.27717745],7,7,1,7,[5.533923],101
[0.3019702],7,7,7,10,[5.5785475],102
[0.33956447],7,7,4,5,[5.904086],103
[0.2912469],7,7,12,18,[5.9359045],104
[0.3651847],7,7,7,13,[5.5795984],105
[0.38797346],7,7,2,19,[5.9674244],106
[0.34720382],7,7,17,11,[5.909223],107
[0.39561266],7,7,14,1,[5.860873],108
[0.4117485],7,7,1,15,[5.865526],109
[0.39246756],7,7,3,9,[5.978901],110
[0.45231467],7,7,6,2,[5.969468],111
[0.3682129],7,7,13,17,[5.9709444],112
[0.334769],7,7,10,18,[5.900131],113
[0.37164196],7,7,5,1,[5.804238],114
[0.36164135],7,7,11,16,[5.9142046],115
[0.3031804],7,7,14,18,[5.9595366],116
[0.33272368],7,7,19,7,[5.5480747],117
[0.30728805],7,7,7,11,[5.4921837],118
[0.27765793],7,7,11,18,[5.8873196],119
[0.39512172],7,7,15,12,[5.974854],120
[0.4084185],7,7,12,16,[5.968193],121
[0.42118445],7,7,7,6,[5.468822],122
[0.38444293],7,7,4,19,[5.937496],123
[0.35305426],7,7,17,5,[5.9784613],124
[0.43282646],7,7,16,10,[5.9424286],125
[0.37576964],7,7,9,11,[5.9033394],126
[0.43350944],7,7,15,10,[5.946759],127
[0.3714642],7,7,11,10,[5.83692],128
[0.3387435],7,7,17,4,[5.9269104],129
[0.41775197],7,7,15,13,[5.987634],130
[0.28262687],7,7,3,17,[5.971623],131
[0.37978348],7,7,10,12,[5.9024305],132
[0.25288653],7,7,18,3,[5.924944],133
[0.33590695],7,7,12,10,[5.8881435],134
[0.20203207],7,7,9,8,[5.816536],135
[0.28215867],7,7,9,12,[5.953218],136
[0.3054877],7,7,4,2,[5.9068875],137
[0.24096316],8,7,8,4,[5.7364454],138
[0.2448991],8,7,12,8,[5.7466965],139
[0.19340229],7,8,17,10,[5.8685493],140
[0.18522069],7,7,19,5,[5.980628],141
[0.17686746],7,7,14,6,[5.977476],142
[0.17383692],7,7,2,10,[5.8438873],143
[0.18587698],8,8,4,15,[5.9056745],144
[0.1941586],8,8,17,19,[5.976431],145
[0.23493537],7,8,7,5,[5.676936],146
[0.16571583],8,8,16,1,[5.851769],147
[0.27075538],8,8,13,9,[5.9750605],148
[0.24083911],8,7,17,6,[5.9714193],149
[0.25058582],7,8,13,7,[5.574564],150
[0.21517321],8,8,2,9,[5.9587464],151
[0.18682912],8,7,2,8,[5.60702],152
[0.16093954],7,8,1,16,[5.848127],153
[0.16900982],7,7,16,11,[5.891541],154
[0.25828287],7,7,6,5,[5.97367],155
[0.18592909],8,8,8,10,[5.447682],156
[0.21004817],8,8,3,19,[5.9759855],157
[0.24763383],8,7,5,8,[5.538906],158
[0.20478669],8,8,11,3,[5.902136],159
[0.2217602],7,8,3,16,[5.9742937],160
[0.3795172],8,7,17,10,[5.8711176],161
[0.4634745],8,7,17,15,[5.9826183],162
[0.2449212],8,8,8,14,[5.395879],163
[0.36493835],8,7,10,17,[5.869525],164
[0.4272333],8,7,12,17,[5.9554214],165
[0.3871966],7,8,9,16,[5.9810066],166
[0.43106392],8,8,9,14,[5.993498],167
[0.29424438],8,8,6,8,[5.281337],168
[0.38663644],8,8,14,8,[5.2587247],169
[0.5445006],8,7,8,7,[4.9317064],170
[0.5805069],8,8,9,4,[5.970635],171
[0.5086959],8,8,3,6,[5.990777],172
[0.49460864],8,8,1,2,[5.9110317],173
[0.66338044],8,8,13,18,[6.0139027],174
[0.6055407],8,8,4,5,[5.9728613],175
[0.5609727],8,8,2,5,[5.985218],176
[0.55313903],8,8,19,12,[5.9865913],177
[0.72370386],7,8,7,9,[5.6177216],178
[0.66049117],8,8,9,8,[5.125024],179
[0.3434278],7,8,4,16,[5.929122],180
[0.3240534],8,8,12,15,[5.9644794],181
[0.30521864],8,8,8,4,[5.056694],182
[0.37377462],8,7,12,17,[5.9727087],183
[0.25325465],7,7,2,4,[5.9076552],184
[0.209001],8,7,8,13,[5.104328],185
[0.18192196],7,7,7,11,[5.360997],186
[0.26202622],7,7,13,15,[5.982341],187
[0.3022222],7,7,4,15,[5.917306],188
[0.31430343],8,7,8,4,[5.032007],189
[0.24961679],7,7,11,15,[5.8839874],190
[0.2550081],7,7,11,15,[5.8805237],191
[0.55814606],7,8,17,6,[5.984541],192
[0.31538537],7,7,16,9,[5.974496],193
[0.5463524],8,7,17,19,[5.984661],194
[0.43676645],7,7,12,6,[5.957651],195
[0.31971657],7,7,9,5,[5.9722877],196
[0.2287189],7,7,10,13,[5.8921084],197
[0.3176954],7,7,12,9,[5.940389],198
[0.35023803],7,7,2,6,[5.9605484],199
[0.22553657],7,7,9,3,[5.9609475],200
[0.43471953],7,8,17,12,[5.9374638],201
[0.16284065],7,7,14,1,[5.8763742],202
[0.45031214],8,7,8,16,[5.124659],203
[0.2620731],7,7,6,12,[5.9221888],204
[0.18023966],7,7,11,6,[5.8182144],205
[0.1470572],7,11,16,10,[5.8812933],206
[0.15010028],8,7,14,8,[5.094864],207
[0.14975438],7,11,16,10,[5.875155],208
[0.27774763],8,7,18,16,[5.95251],209
[0.35365424],8,7,2,17,[5.9498143],210
[0.15852687],7,11,7,11,[5.3463817],211
[0.14742185],7,11,7,5,[5.386752],212
[0.14475079],11,11,10,13,[5.877229],213
[0.14714728],11,11,14,3,[5.964224],214
[0.15945679],7,11,14,16,[5.9457293],215
[0.17253786],7,7,5,13,[5.9593053],216
[0.15519455],11,11,19,5,[5.970298],217
[0.17456698],7,11,1,16,[5.841504],218
[0.14592321],11,11,3,10,[5.862885],219
[0.16899762],7,7,7,3,[5.281134],220
[0.7872931],7,8,7,18,[5.4020348],221
[0.22106417],7,7,7,4,[5.182514],222
[0.19167136],7,7,15,3,[5.9618196],223
[0.1932474],7,7,11,4,[5.755575],224
[0.31667867],8,7,6,8,[5.053068],225
[0.3904849],7,7,5,7,[5.1746817],226
[0.23778568],7,7,3,15,[5.9609413],227
[0.23753561],7,7,13,11,[5.820733],228
[0.28450346],8,7,3,18,[5.9493227],229
[0.19138613],8,7,1,8,[5.0381904],230
[0.39660394],8,7,8,5,[5.060959],231
[0.20972855],7,7,11,4,[5.737673],232
[0.3086959],8,7,18,5,[5.958029],233
[0.22877382],7,7,4,15,[5.9083557],234
[0.19835684],7,11,1,16,[5.838682],235
[0.1909772],11,11,10,15,[5.889782],236
[0.19797003],8,11,1,8,[4.9630957],237
[0.17952994],11,11,6,3,[5.9272103],238
[0.17891759],7,7,12,14,[5.9521494],239
[0.18995747],8,7,18,12,[5.939889],240
[0.18052547],11,11,2,19,[5.96694],241
[0.17605312],11,11,6,4,[5.8679533],242
[0.17159426],7,7,5,12,[5.9272823],243
[0.15751839],11,11,12,6,[5.9272738],244
[0.16732045],11,11,1,19,[5.8405237],245
[0.15716144],11,11,1,6,[5.811689],246
[0.14154546],11,11,13,10,[5.874894],247
[0.14734931],7,11,16,2,[5.927971],248
[0.13761272],1,1,1,13,[5.796277],249
[0.15186058],1,1,13,15,[5.9613414],250
[0.15446237],7,1,5,16,[5.917428],251
[0.18484901],1,1,10,15,[5.8888884],252
[0.19529334],8,1,4,18,[5.87665],253
[0.1405559],8,1,12,18,[5.9234705],254
[0.14912282],8,1,8,2,[5.0318213],255
[0.3428511],8,7,5,17,[5.9679055],256
[0.19111921],1,1,13,15,[5.9529133],257
[0.16686806],1,1,2,19,[5.959236],258
[0.1636552],8,1,19,17,[5.9719753],259
[0.1701934],1,1,15,2,[5.9487705],260
[0.16294168],8,1,17,15,[5.9673386],261
[0.16185494],1,1,16,9,[5.9242377],262
[0.17913017],8,7,2,17,[5.9473257],263
[0.16595736],8,7,17,2,[5.94427],264
[0.17807744],1,1,19,5,[5.9491205],265
[0.15912107],1,1,2,13,[5.923441],266
[0.1775048],8,1,6,8,[5.0630703],267
[0.17158774],1,1,6,3,[5.9134035],268
[0.17153586],7,1,19,7,[5.4553213],269
[0.1553036],1,1,1,15,[5.7487936],270
[0.148639],1,1,9,6,[5.9374943],271
[0.18958567],7,8,2,17,[5.9275064],272
[0.15285525],7,1,7,6,[5.101822],273
[0.16479114],1,1,9,4,[5.887246],274
[0.13186957],1,1,3,1,[5.721015],275
[0.1837776],1,1,4,3,[5.855445],276
[0.15897654],1,1,13,15,[5.9232197],277
[0.38017207],7,8,17,15,[5.965936],278
[0.1530164],8,1,8,14,[5.0466213],279
[0.14673865],7,1,9,16,[5.9386578],280
[0.20954417],1,1,6,4,[5.8364964],281
[0.17832138],1,1,14,6,[5.931243],282
[0.19896168],1,1,15,4,[5.8502483],283
[0.14962879],1,1,3,15,[5.908309],284
[0.14743213],8,7,5,18,[5.934413],285
[0.13225633],7,7,7,9,[5.0916696],286
[0.13722698],1,7,11,9,[5.8988695],287
[0.14585349],8,1,6,18,[5.9032125],288
[0.15628138],7,8,16,18,[5.9565873],289
[0.14087644],7,7,12,19,[5.9364643],290
[0.22632515],1,8,1,18,[5.783343],291
[0.14192148],7,1,16,9,[5.936223],292
[0.17504255],1,1,9,4,[5.8561573],293
[0.13259244],1,1,2,6,[5.86856],294
[0.17956886],1,1,15,13,[5.908731],295
[0.14754455],1,1,2,14,[5.9436827],296
[0.13133433],7,1,2,7,[5.0582595],297
[0.16858824],7,1,16,5,[5.9161143],298
[0.10582365],1,1,18,2,[5.9112015],299
[0.18975629],7,1,13,16,[5.907362],300
[0.14671928],1,1,18,13,[5.9303856],301
[0.14516743],1,1,6,18,[5.880689],302
[0.16063865],1,1,3,9,[5.934868],303
[0.13587072],7,1,12,7,[5.0679812],304
[0.18761589],8,1,8,10,[5.0652523],305
[0.12235819],7,1,9,17,[5.953427],306
[0.1617099],1,1,10,9,[5.9267445],307
[0.11992965],7,1,7,12,[5.0619],308
[0.12583192],7,1,16,2,[5.8681026],309
[0.15333131],1,1,1,19,[5.7654085],310
[0.15261982],1,1,11,4,[5.8083687],311
[0.1594849],8,1,8,13,[5.020543],312
[0.15147465],1,1,16,4,[5.7910333],313
[0.15980585],8,1,14,8,[5.0526237],314
[0.11603737],8,1,8,2,[4.994404],315
[0.17661852],7,1,10,7,[5.0370755],316
[0.14814441],1,1,10,16,[5.861128],317
[0.10990266],1,1,12,5,[5.926161],318
[0.19808076],7,1,4,7,[4.9505625],319
[0.19558063],1,1,4,19,[5.841486],320
[0.17338368],1,1,5,4,[5.829367],321
[0.9448148],8,7,7,8,[4.30766],322
[0.16109958],4,7,16,4,[5.7418404],323
[0.1929283],1,1,10,13,[5.8966722],324
[0.16143528],4,4,14,6,[5.927067],325
[0.14694344],4,4,5,2,[5.898613],326
[0.21416709],8,8,17,14,[6.0131855],327
[0.22166294],7,8,7,4,[4.939228],328
[0.28160053],8,8,12,17,[5.9889817],329
[0.20621888],4,4,6,3,[5.9174786],330
[0.19939265],4,4,16,5,[5.8900833],331
[0.2160921],8,4,19,17,[6.0118694],332
[0.23623121],4,4,19,13,[5.9432335],333
[0.2387504],8,4,6,18,[5.942315],334
[0.19148405],4,4,2,16,[5.83757],335
[0.24062292],4,4,11,13,[5.9100223],336
[0.221906],4,4,4,3,[5.688241],337
[0.2621325],4,4,19,15,[5.9574027],338
[0.26449475],4,4,3,19,[5.9589643],339
[0.2328139],4,4,9,3,[5.9488344],340
[0.273746],7,4,19,7,[5.1025105],341
[0.91052425],8,7,7,18,[5.1200376],342
[0.24960889],8,4,3,8,[5.0102262],343
[0.22751564],4,4,15,12,[5.926902],344
[0.31290263],4,4,1,2,[5.8416386],345
[0.23172228],8,4,14,17,[6.0090866],346
[0.17271617],8,7,17,2,[5.9463654],347
[0.19807765],4,4,2,5,[5.890741],348
[0.9529307],8,7,8,7,[4.1180925],349
[0.2364256],8,4,13,18,[5.925166],350
[0.2120759],4,4,19,5,[5.946663],351
[0.19598468],8,4,3,18,[5.9240055],352
[0.1943235],7,4,3,7,[5.020405],353
[0.19636582],8,4,8,15,[5.011317],354
[0.20245962],4,4,15,19,[5.9429054],355
[0.31945553],7,8,18,7,[5.095974],356
[0.1775146],7,4,7,19,[5.037604],357
[0.13992003],7,4,7,12,[5.011485],358
[0.2887313],8,7,14,17,[5.9839544],359
[0.2636313],4,4,4,1,[5.600248],360
[0.26739576],4,4,6,1,[5.8145914],361
[0.13230872],4,4,9,2,[5.8801603],362
[0.16103022],4,4,14,10,[5.943609],363
[0.1758085],4,4,11,3,[5.8852386],364
[0.13169597],7,4,2,7,[4.9513426],365
[0.23136681],4,4,1,18,[5.862338],366
[0.12575457],4,4,2,4,[5.729399],367
[0.12237056],7,7,9,12,[5.9252462],368
[0.12233406],7,2,2,17,[5.8576813],369
[0.27179852],4,4,1,13,[5.818437],370
[0.40957645],8,7,8,16,[4.999254],371
[0.1659175],4,4,10,5,[5.9213543],372
[0.14263111],7,4,19,17,[5.954928],373
[0.14296366],4,2,12,14,[5.9393435],374
[0.15511869],8,4,9,8,[5.0467653],375
[0.16752848],2,4,2,3,[5.7935705],376
[0.1505795],7,2,17,19,[5.9499044],377
[0.18424554],8,4,8,19,[5.046722],378
[0.16642728],8,2,8,12,[5.002304],379
[0.1884888],4,4,19,11,[5.9200544],380
[0.18164842],8,4,13,8,[5.000104],381
[0.14974095],2,2,19,5,[5.933305],382
[0.15525751],2,2,9,6,[5.918476],383
[0.15860324],8,2,8,16,[4.9819345],384
[0.16446885],7,2,5,7,[5.0152187],385
[0.22631656],4,4,1,9,[5.8113856],386
[0.16163386],2,2,12,6,[5.890229],387
[0.16051336],7,4,16,19,[5.8939986],388
[0.15403615],2,2,12,19,[5.899882],389
[0.15995699],4,4,10,6,[5.897026],390
[0.31386077],8,7,2,17,[5.830909],391
[0.21756962],2,8,18,2,[5.78525],392
[0.1635156],2,2,5,16,[5.8931313],393
[0.15262455],4,2,19,14,[5.935172],394
[0.14572348],2,2,19,2,[5.7723966],395
[0.1560626],7,2,6,7,[4.9962063],396
[0.17513843],1,4,1,4,[5.615715],397
[0.16964063],2,2,15,2,[5.7850285],398
[0.17296754],4,2,13,11,[5.9155407],399
[0.18351004],2,2,18,11,[5.938756],400
[0.18245105],2,2,19,15,[5.903431],401
