probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.17734556],3,3,13,11,[5.87556],135
[0.17226389],3,3,7,11,[5.809335],136
[0.16699174],3,3,2,8,[5.8333497],137
[0.16131966],3,3,15,11,[5.851953],138
[0.15562156],3,3,8,12,[5.8193555],139
[0.14949629],3,3,7,8,[5.812538],140
[0.15313862],11,11,4,19,[5.9347587],141
[0.15860696],11,11,19,16,[5.912859],142
[0.16317381],11,11,8,11,[5.7069716],143
[0.17157066],11,11,3,17,[5.8419185],144
[0.17824897],11,11,19,13,[5.9480014],145
[0.18400499],11,11,16,9,[5.8789816],146
[0.18812115],11,11,16,12,[5.8830113],147
[0.1908934],11,11,19,6,[5.920458],148
[0.19273603],11,11,3,16,[5.8324585],149
[0.19315104],11,11,17,4,[5.947344],150
[0.19277477],11,11,12,14,[5.909937],151
[0.19179401],11,11,3,8,[5.729126],152
[0.18792841],11,11,13,1,[5.9789333],153
[0.18427335],11,11,19,7,[5.882285],154
[0.17985862],11,11,1,9,[5.924473],155
[0.17509347],11,11,6,14,[5.9430676],156
[0.17062293],11,11,13,15,[5.972801],157
[0.16994771],8,8,10,6,[5.944036],158
[0.17094705],8,8,13,6,[5.950487],159
[0.17161776],8,8,6,8,[5.7885447],160
[0.17779948],8,8,12,17,[5.9010363],161
[0.18293989],8,8,14,10,[5.9578342],162
[0.18736562],8,8,7,1,[5.920225],163
[0.19064876],8,8,13,18,[5.980047],164
[0.19346529],8,8,1,4,[5.966158],165
[0.19576548],8,8,12,5,[5.9003553],166
[0.19705573],8,8,1,12,[5.911267],167
[0.19758508],8,8,13,5,[5.961828],168
[0.19760351],8,8,17,11,[5.8488574],169
[0.19589032],8,8,9,8,[5.736231],170
[0.20064837],8,8,17,1,[5.9604263],171
[0.2048448],8,8,8,9,[5.7269278],172
[0.21506031],8,8,3,11,[5.7786245],173
[0.22188891],8,8,5,8,[5.7524114],174
[0.2355068],8,8,8,13,[5.747761],175
[0.25649706],8,8,6,5,[5.9328337],176
[0.27539852],8,8,14,10,[5.9619846],177
[0.29256734],8,8,4,7,[5.916104],178
[0.30726135],8,8,2,5,[5.9452457],179
[0.31926605],8,8,3,15,[5.9045925],180
[0.32792106],8,8,4,19,[5.941349],181
[0.33425334],8,8,3,19,[5.878956],182
