probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.14943376],8,8,6,18,[5.934203],1
[0.14320771],8,8,19,3,[5.8109894],2
[0.134942],8,8,5,3,[5.854394],3
[0.12850499],19,8,3,9,[5.8616295],4
[0.12686402],19,19,4,17,[5.8917522],5
[0.13973139],3,3,12,19,[5.8216214],6
[0.15285322],3,3,5,9,[5.914953],7
[0.16161354],3,3,6,12,[5.915902],8
[0.16618645],3,3,18,11,[5.919492],9
[0.18040209],3,3,5,7,[5.884488],10
[0.1769155],3,3,1,6,[5.93373],11
[0.1793893],19,3,9,6,[5.9132195],12
[0.17856294],3,3,6,1,[5.9275794],13
[0.174462],3,3,18,7,[5.9000225],14
[0.18108088],3,3,1,8,[5.914458],15
[0.17226425],3,3,9,1,[5.942279],16
[0.16793701],3,3,9,7,[5.9004307],17
[0.17018437],3,3,10,8,[5.890236],18
[0.1697729],3,3,5,11,[5.8811226],19
[0.1556105],3,3,4,18,[5.904474],20
[0.15007083],19,3,6,18,[5.8603115],21
[0.1456198],3,3,6,12,[5.866911],22
[0.1400449],19,3,6,19,[5.7584105],23
[0.13448095],19,3,18,1,[5.91453],24
[0.12948151],3,3,7,1,[5.9016123],25
[0.14258514],19,19,15,11,[5.951331],26
[0.13524303],19,19,14,11,[5.948273],27
[0.12996903],19,19,1,10,[5.9328628],28
[0.13405693],6,6,16,4,[5.9314575],29
[0.1412967],19,6,19,2,[5.854952],30
[0.14016178],6,6,16,11,[5.932427],31
[0.14092524],6,6,12,8,[5.8863916],32
[0.14380522],6,6,1,2,[5.957591],33
[0.14636108],6,6,4,12,[5.905281],34
[0.14058942],6,6,18,2,[5.915119],35
[0.14525774],19,19,3,15,[5.9112744],36
[0.13219622],6,6,5,1,[5.882285],37
[0.1415984],19,19,15,13,[5.980397],38
[0.13849081],19,19,19,15,[5.8413305],39
[0.13026622],19,19,18,2,[5.9017086],40
[0.14306055],19,19,12,5,[5.8674717],41
[0.1381828],19,19,5,4,[5.8619304],42
[0.13309555],19,19,5,8,[5.848499],43
[0.1343637],19,19,11,8,[5.872034],44
[0.13048522],19,19,19,17,[5.823099],45
[0.1347859],19,19,1,18,[5.8438873],46
[0.14176461],19,19,7,11,[5.8710623],47
[0.14537203],19,19,3,17,[5.901496],48
[0.13852161],19,19,18,1,[5.82862],49
