probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.14423437],18,18,18,7,[5.8009057],1
[0.17168897],18,18,10,17,[5.887751],2
[0.18979116],18,18,2,17,[5.9131627],3
[0.20294388],18,18,17,12,[5.831907],4
[0.199053],18,18,15,3,[5.9716415],5
[0.20415802],18,18,6,2,[5.914592],6
[0.20398769],18,18,11,16,[5.9362803],7
[0.2066151],18,18,14,9,[5.8850594],8
[0.20305906],18,18,18,12,[5.681445],9
[0.20725471],18,18,8,4,[5.924553],10
[0.20830064],18,18,7,10,[5.8716245],11
[0.21689826],18,18,13,8,[5.934594],12
[0.21077748],18,18,18,1,[5.7723064],13
[0.22125328],18,18,8,11,[5.900525],14
[0.2295539],18,18,13,6,[5.930324],15
[0.2303933],18,18,19,1,[5.9727497],16
[0.2385293],18,18,13,7,[5.922934],17
[0.23349717],18,18,4,3,[5.963335],18
[0.23816772],18,18,2,10,[5.9048567],19
[0.2437161],18,18,7,5,[5.8979416],20
[0.23437595],18,18,3,4,[5.962187],21
[0.23669034],18,18,4,12,[5.8631787],22
[0.23586607],18,18,2,19,[5.9537964],23
[0.23118092],18,18,2,8,[5.902062],24
[0.2240299],18,18,7,4,[5.8944035],25
[0.22262925],18,18,18,14,[5.74603],26
[0.22272605],18,18,18,16,[5.7551904],27
[0.2376079],18,18,18,5,[5.7226496],28
[0.24786717],18,18,18,4,[5.7155952],29
[0.27042767],18,18,2,17,[5.889771],30
[0.27804884],18,18,2,15,[5.948956],31
[0.30325902],18,18,18,16,[5.677055],32
[0.32031468],18,18,6,10,[5.8936987],33
[0.34522995],18,18,10,9,[5.8951173],34
[0.36592162],18,18,5,7,[5.9006333],35
[0.3669384],18,18,16,3,[5.9723763],36
[0.39376915],18,18,19,8,[5.9398704],37
[0.38268667],18,18,7,3,[5.9162025],38
[0.3895146],18,18,3,1,[5.9817486],39
[0.40467978],18,18,15,19,[5.9843273],40
[0.40963775],18,18,13,15,[5.9843554],41
[0.39907828],18,18,16,3,[5.9724855],42
[0.40526602],18,18,16,2,[5.940549],43
[0.403034],18,18,8,3,[5.938489],44
[0.39947525],18,18,3,8,[5.936755],45
[0.39510074],18,18,15,7,[5.9147024],46
[0.39516288],18,18,19,4,[5.9632244],47
[0.39479288],18,18,14,8,[5.925067],48
[0.3689286],18,18,15,10,[5.925749],49
[0.3629965],18,18,7,13,[5.89643],50
[0.35255176],18,18,16,4,[5.9457045],51
[0.3401835],18,18,17,1,[5.937016],52
[0.33098134],18,18,19,16,[5.9625196],53
[0.32510456],18,18,6,9,[5.9242435],54
[0.31092092],18,18,13,19,[5.975376],55
[0.2998405],18,18,10,14,[5.908887],56
[0.28647524],18,18,17,11,[5.9165382],57
[0.27974552],18,18,18,15,[5.701973],58
[0.27588293],18,18,16,12,[5.911909],59
[0.27542618],18,18,11,14,[5.9529705],60
[0.2711912],18,18,11,6,[5.930934],61
[0.26124325],18,18,12,7,[5.8170843],62
[0.26257855],18,18,2,17,[5.8853855],63
[0.25280195],18,18,10,18,[5.6612043],64
[0.25874755],18,18,13,18,[5.7133164],65
[0.2658598],18,18,4,8,[5.8897605],66
[0.27056897],18,18,11,18,[5.6882353],67
[0.28132915],18,18,8,10,[5.8476105],68
[0.28652948],18,18,1,12,[5.932789],69
[0.31784603],18,18,18,5,[5.6463466],70
[0.30920672],18,18,4,1,[5.9556394],71
[0.33055165],18,18,6,12,[5.90466],72
[0.3435745],18,18,6,17,[5.9079666],73
[0.35474104],18,18,8,9,[5.900114],74
[0.35430378],18,18,1,14,[5.972616],75
[0.35964328],18,18,2,9,[5.9321404],76
[0.34962815],18,18,13,7,[5.894909],77
[0.36912802],18,18,8,15,[5.9137645],78
[0.34604675],18,18,1,2,[5.951382],79
[0.35323334],18,18,12,9,[5.910715],80
[0.33336702],18,18,11,7,[5.8806257],81
[0.3424319],18,18,9,13,[5.9573708],82
[0.31166545],18,18,7,1,[5.883482],83
[0.33330575],18,18,14,17,[5.924792],84
[0.3228945],18,18,2,14,[5.938012],85
[0.305265],18,18,13,9,[5.950859],86
[0.29725838],18,18,2,9,[5.9167824],87
[0.2759699],18,18,3,10,[5.91722],88
[0.28181776],18,18,9,6,[5.9141636],89
[0.27044046],18,18,9,17,[5.892887],90
[0.2766663],18,18,2,5,[5.927232],91
[0.2476735],18,18,9,12,[5.874566],92
[0.2359413],18,18,17,12,[5.853734],93
[0.2436649],18,18,16,5,[5.952787],94
[0.22680682],18,18,8,6,[5.861346],95
[0.2114655],18,18,2,17,[5.8687067],96
[0.21011294],18,18,14,6,[5.92533],97
[0.19115306],18,18,8,4,[5.8681173],98
[0.18760753],18,18,18,10,[5.7255116],99
[0.18281089],18,18,1,15,[5.971788],100
[0.18360473],18,18,6,18,[5.7420983],101
[0.18069951],18,18,6,11,[5.9105196],102
[0.19669804],18,18,12,5,[5.8798957],103
[0.17362136],18,18,3,4,[5.9522367],104
[0.18144746],18,18,10,13,[5.9175205],105
[0.17518362],18,18,13,11,[5.951233],106
[0.17910437],18,18,18,7,[5.6915717],107
[0.17418104],18,18,7,11,[5.863568],108
[0.18354556],18,18,19,12,[5.8904123],109
[0.18945391],18,18,19,2,[5.9278064],110
[0.18234672],18,18,8,13,[5.8797812],111
[0.1832245],18,18,8,12,[5.790921],112
[0.17586349],18,18,10,1,[5.918129],113
[0.17682248],18,18,1,18,[5.783169],114
[0.19871955],18,18,7,5,[5.8736067],115
[0.19457836],18,18,14,17,[5.9066663],116
[0.19310728],18,18,14,16,[5.9576883],117
[0.18323837],18,18,12,8,[5.7657595],118
[0.17891435],18,18,1,8,[5.867139],119
[0.19722925],18,18,12,5,[5.8509617],120
[0.17972696],18,18,18,3,[5.7793264],121
[0.18161686],18,18,18,7,[5.6748066],122
[0.19732623],18,18,14,19,[5.9678144],123
[0.18109906],18,18,12,7,[5.74596],124
[0.20823818],18,18,18,14,[5.7368374],125
[0.19819447],18,18,3,19,[5.9798064],126
[0.22518082],18,18,5,13,[5.9622726],127
[0.21994552],18,18,9,17,[5.896761],128
[0.21440512],18,18,2,7,[5.832649],129
[0.22591488],18,18,8,19,[5.8626995],130
[0.22607288],18,18,4,18,[5.707588],131
[0.22856762],18,18,6,1,[5.9417562],132
[0.22406901],18,18,4,12,[5.822114],133
[0.22786051],18,18,1,3,[5.976123],134
[0.23761514],18,18,7,10,[5.810414],135
[0.2527023],18,18,15,1,[5.9796467],136
[0.23346016],18,18,9,12,[5.799514],137
[0.24440548],18,18,8,19,[5.8668776],138
[0.2596224],18,18,15,19,[5.9847503],139
[0.24702016],18,18,5,12,[5.8019767],140
[0.23462713],18,18,15,7,[5.8580785],141
[0.21051551],18,18,17,11,[5.926689],142
[0.20773995],12,18,7,12,[5.634248],143
[0.20794258],18,18,14,7,[5.8301826],144
[0.19965039],12,18,10,12,[5.727603],145
[0.20841509],12,12,2,16,[5.95391],146
[0.2352126],12,12,13,10,[5.9458838],147
[0.24050808],12,12,1,8,[5.8710847],148
[0.23684084],12,12,18,5,[5.7623234],149
[0.25371835],12,12,9,11,[5.9454174],150
[0.25431556],12,12,1,17,[5.944071],151
[0.25277892],12,12,1,2,[5.9576426],152
[0.27403465],12,12,16,4,[5.970553],153
[0.26951998],12,12,11,16,[5.968705],154
[0.25513563],12,12,13,18,[5.8015137],155
[0.24664181],12,12,18,12,[5.514827],156
[0.27153683],12,12,8,14,[5.8698874],157
[0.27110288],12,12,13,17,[5.9479628],158
[0.2676873],12,12,9,5,[5.948509],159
[0.2625051],12,12,8,2,[5.8519344],160
[0.27666748],12,12,3,10,[5.9517226],161
[0.2475953],12,12,2,19,[5.9615183],162
[0.2587917],12,12,2,15,[5.962763],163
[0.2693724],12,12,10,16,[5.947527],164
[0.26246583],12,12,11,10,[5.93697],165
[0.2578855],12,12,10,5,[5.936018],166
[0.24236283],12,12,11,9,[5.9447575],167
[0.2528109],18,12,7,18,[5.6036043],168
[0.23691195],12,12,1,16,[5.972292],169
[0.21210243],12,18,3,17,[5.9478884],170
[0.21599256],12,12,16,11,[5.9634466],171
[0.22819945],18,12,18,11,[5.721677],172
[0.22659183],18,18,14,17,[5.9379973],173
[0.25889483],18,18,8,5,[5.847518],174
[0.24679263],18,18,13,5,[5.9696326],175
[0.25775534],18,18,15,19,[5.9861374],176
[0.25592262],18,18,17,14,[5.9347563],177
[0.21577471],18,18,12,4,[5.781391],178
[0.2265652],18,18,8,3,[5.857973],179
[0.20558967],18,18,7,1,[5.8024254],180
[0.2514251],18,18,14,16,[5.967403],181
[0.2149987],18,18,7,19,[5.8159943],182
[0.21347201],12,18,12,7,[5.624195],183
[0.26220676],18,18,10,5,[5.918969],184
[0.20238987],18,7,17,1,[5.926094],185
[0.20739265],18,18,2,18,[5.679744],186
[0.18664296],18,7,9,13,[5.954378],187
