probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.0825369],16,16,18,11,[5.889231],1
[0.08019654],16,16,5,3,[5.892789],2
[0.07907984],16,16,15,8,[5.915962],3
[0.07949411],16,16,14,2,[5.883328],4
[0.07955341],14,14,15,17,[5.863268],5
[0.08109242],14,14,7,14,[5.839506],6
[0.0805761],14,14,4,19,[5.9119625],7
[0.08154719],14,14,16,14,[5.837718],8
[0.08260671],14,14,10,1,[5.8943734],9
[0.08489276],14,14,11,17,[5.8418922],10
[0.08372144],14,14,6,10,[5.87512],11
[0.08321731],14,14,6,3,[5.8620663],12
[0.08615857],14,14,16,4,[5.867654],13
[0.08390072],14,14,9,3,[5.8888702],14
[0.08676173],14,14,1,8,[5.9257727],15
[0.08866166],14,14,18,7,[5.8760405],16
[0.08480368],14,14,13,11,[5.8961015],17
[0.08648403],14,14,15,8,[5.9103503],18
[0.08591029],14,14,18,11,[5.878108],19
[0.08476684],14,14,1,9,[5.9160433],20
[0.0864394],14,14,10,14,[5.8499813],21
[0.08625807],14,14,16,13,[5.8953896],22
[0.08561487],14,14,9,10,[5.902158],23
[0.08468448],14,14,3,9,[5.8860383],24
[0.0870688],14,14,16,14,[5.829203],25
[0.08807447],14,14,6,17,[5.8523],26
[0.08631317],14,14,12,6,[5.901399],27
[0.08918326],14,14,12,8,[5.9407463],28
[0.08866051],14,14,4,1,[5.89867],29
[0.0877698],14,14,12,1,[5.9215326],30
[0.08975224],14,14,2,18,[5.9201345],31
[0.0873211],14,14,11,13,[5.8932734],32
[0.09041256],14,14,15,17,[5.859126],33
[0.08777033],14,14,3,1,[5.8775764],34
[0.08749545],14,14,14,9,[5.8712716],35
[0.08914248],14,14,18,12,[5.9218235],36
[0.08993579],14,14,16,18,[5.869484],37
[0.09115677],14,14,15,17,[5.857966],38
[0.08988417],14,14,15,2,[5.904784],39
[0.08922031],14,14,6,2,[5.897373],40
[0.09109464],14,14,3,7,[5.856135],41
