probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.10607985],4,4,15,1,[5.933237],1
[0.11471192],1,1,7,8,[5.9327183],2
[0.17568867],1,1,17,3,[5.9204025],3
[0.2127662],1,1,8,14,[5.8870053],4
[0.20827213],1,1,13,19,[5.949852],5
[0.1929897],1,1,18,7,[5.9106197],6
[0.17705294],8,8,2,8,[5.7872877],7
[0.24740973],8,8,8,16,[5.733904],8
[0.3473968],8,8,19,14,[5.8898306],9
[0.44022164],8,8,15,18,[5.952258],10
[0.51868147],8,8,4,19,[5.935791],11
[0.5516254],8,8,16,19,[5.9335938],12
[0.5802366],8,8,6,17,[5.9665804],13
[0.5693942],8,8,5,12,[6.004235],14
[0.56409603],8,8,2,4,[5.9895096],15
[0.5229432],8,8,6,13,[6.0018826],16
[0.4643501],8,8,1,18,[5.947114],17
[0.4369053],8,8,9,11,[5.996707],18
[0.37745786],8,8,1,9,[5.975547],19
[0.35492024],8,8,3,10,[5.970277],20
[0.31788415],8,8,8,15,[5.614334],21
[0.33773193],8,8,17,1,[5.9230905],22
[0.34075278],8,8,15,9,[5.9553328],23
[0.36334825],8,8,11,16,[5.9879475],24
[0.34116578],8,8,15,18,[5.880225],25
[0.34986916],8,8,4,11,[5.9879045],26
[0.32872978],8,8,2,9,[5.9663258],27
[0.33444867],8,8,16,13,[5.9781017],28
[0.30594307],8,8,4,16,[5.9672947],29
[0.28403798],8,8,5,6,[5.991647],30
[0.26602647],8,8,7,6,[5.944086],31
[0.23476474],8,8,11,8,[5.6981897],32
[0.2133422],8,8,18,10,[5.8627815],33
[0.26700762],8,8,12,8,[5.654254],34
[0.29615334],8,8,4,5,[5.9775453],35
[0.3297998],8,8,1,12,[5.967314],36
[0.37948158],8,8,16,14,[5.9369955],37
[0.4006979],8,8,5,11,[5.996686],38
[0.41036668],8,8,11,16,[5.9617395],39
[0.42963922],8,8,3,5,[5.9792013],40
[0.43826172],8,8,3,14,[5.9488997],41
[0.41739187],8,8,14,16,[5.9140577],42
[0.36709294],8,8,10,13,[5.986575],43
[0.3849441],8,8,17,14,[5.915164],44
[0.286791],8,8,1,4,[5.931905],45
[0.27991587],8,8,1,17,[5.9052444],46
[0.22913218],8,8,17,9,[5.920864],47
[0.21353655],8,8,11,18,[5.8418984],48
[0.2240945],8,8,2,8,[5.566588],49
[0.18538713],8,8,6,18,[5.817351],50
[0.21647587],8,8,15,7,[5.9178896],51
[0.20867944],18,18,6,19,[5.955455],52
[0.22500704],18,18,4,2,[5.931323],53
[0.24756517],18,18,16,19,[5.8800354],54
[0.25003287],18,18,9,1,[5.9326587],55
[0.2704353],18,18,4,6,[5.9364834],56
[0.25341833],18,18,9,5,[5.982112],57
[0.27206662],8,18,8,10,[5.733892],58
[0.23949835],8,18,17,13,[5.8925242],59
[0.21810058],18,18,5,9,[5.9783583],60
[0.19953658],18,18,1,7,[5.8765726],61
[0.1810843],18,18,7,1,[5.8653755],62
[0.17715971],18,18,10,16,[5.907515],63
[0.17726815],8,8,13,10,[5.9798584],64
[0.20489724],8,8,16,11,[5.900675],65
[0.13707542],8,8,19,5,[5.953069],66
[0.14431779],8,8,9,6,[5.956911],67
[0.25555843],8,8,2,15,[5.9497957],68
[0.15583956],8,8,2,19,[5.9287148],69
[0.16428311],8,8,8,3,[5.393644],70
[0.1875032],8,8,11,7,[5.9096384],71
[0.15551074],8,1,17,9,[5.874569],72
[0.15289396],8,8,13,9,[5.950493],73
[0.3319766],8,8,8,2,[5.153287],74
[0.3644113],8,8,13,2,[5.957342],75
[0.18254556],8,8,14,9,[5.9208264],76
[0.2575675],8,8,7,11,[5.885007],77
[0.27677718],8,8,13,5,[5.9761324],78
[0.18994218],8,8,4,8,[5.1180224],79
[0.19701855],8,8,1,6,[5.88315],80
[0.17303887],8,7,19,17,[5.8804474],81
[0.27015272],8,8,3,7,[5.8453865],82
[0.18012877],8,7,14,18,[5.9423447],83
[0.21614927],8,7,17,10,[5.913081],84
[0.24636146],8,7,8,19,[5.0752783],85
[0.22441126],7,7,3,5,[5.973375],86
[0.21673113],7,7,2,7,[5.676236],87
[0.28790852],7,7,6,10,[5.971669],88
[0.3439378],7,7,2,1,[5.8427143],89
[0.3882106],8,7,8,7,[4.697646],90
[0.43651095],8,7,17,10,[5.9092054],91
[0.46397495],7,7,4,7,[5.496827],92
[0.5340594],8,7,8,15,[5.05083],93
[0.5924013],8,7,8,2,[4.988104],94
[0.64258194],7,7,6,3,[5.997702],95
[0.6763536],7,7,6,4,[5.9964767],96
[0.7086719],7,7,1,4,[5.9681067],97
[0.7076291],7,7,10,11,[6.0173426],98
[0.704457],7,7,7,10,[5.287145],99
[0.71586627],7,7,10,13,[6.0170326],100
[0.42856845],7,7,4,17,[5.966384],101
[0.75172853],7,7,7,12,[5.238631],102
[0.787072],7,7,10,5,[6.027953],103
[0.8037029],7,7,19,15,[6.017131],104
[0.8049767],7,7,3,14,[6.024384],105
[0.83936524],7,7,10,9,[6.032974],106
[0.84326893],7,7,3,1,[6.0100856],107
[0.538118],7,7,6,18,[5.9921355],108
[0.8326744],7,7,9,7,[5.169047],109
[0.84954983],8,7,17,2,[5.9599533],110
[0.73856735],7,8,17,6,[5.982053],111
[0.78632784],7,7,13,6,[6.018077],112
[0.78715783],7,7,2,5,[5.970043],113
[0.731435],7,7,10,15,[6.0155535],114
[0.4643007],7,7,4,18,[5.967681],115
[0.6261803],7,7,14,7,[5.232754],116
[0.67548865],7,7,11,10,[6.0129757],117
[0.6461045],7,7,10,3,[6.002164],118
[0.65067774],7,7,19,5,[5.997085],119
[0.6437863],7,7,3,11,[6.006768],120
[0.53877205],7,7,5,2,[5.8462152],121
[0.5969768],8,7,8,16,[5.049135],122
[0.34620306],7,7,7,4,[5.324003],123
[0.3042712],7,7,2,16,[5.710945],124
[0.31447485],2,2,12,6,[5.9646854],125
[0.33889073],7,7,10,9,[5.981927],126
[0.42223343],2,2,6,2,[5.5214357],127
[0.4771538],2,2,10,9,[5.98535],128
[0.5847791],2,2,1,6,[5.9526634],129
[0.6365341],2,2,2,15,[5.349609],130
[0.70237476],2,2,5,19,[6.0058784],131
[0.7611218],2,2,14,19,[6.0115566],132
[0.75421435],2,2,13,9,[6.0230284],133
[0.8199787],2,2,19,3,[6.022266],134
[0.82196367],2,2,9,12,[6.035029],135
[0.8694685],2,2,15,10,[6.031591],136
[0.85536253],2,2,3,11,[6.037881],137
[0.8637855],8,2,5,8,[5.1856327],138
[0.85342336],2,2,6,1,[5.9876027],139
[0.8003136],2,2,19,5,[6.020893],140
[0.7688635],2,2,4,5,[6.01447],141
[0.6769309],2,2,18,2,[5.3059993],142
[0.71727765],2,2,13,18,[6.015668],143
[0.71318877],7,2,7,4,[5.5391064],144
[0.7229213],2,2,10,6,[5.8960466],145
[0.49301717],7,2,9,7,[5.3769407],146
[0.36146477],7,7,4,19,[5.961865],147
[0.78330994],8,7,8,7,[4.5924797],148
[0.4507266],2,2,3,18,[5.9791],149
[0.577611],7,7,6,4,[5.8819494],150
[0.46672085],7,7,19,5,[5.97208],151
[0.30658367],8,7,8,15,[5.0312953],152
[0.30981904],7,7,19,15,[5.9471397],153
[0.2774618],8,7,8,10,[5.007282],154
[0.65874195],8,7,6,17,[5.8703337],155
[0.2598523],7,7,14,12,[5.988058],156
[0.39583892],7,7,4,3,[5.925913],157
[0.39250734],7,7,12,9,[5.9907646],158
[0.25984782],6,6,3,4,[5.8971205],159
[0.27850842],7,6,9,7,[5.1264534],160
[0.29330233],6,6,9,10,[5.946063],161
[0.30624872],8,6,4,18,[5.847335],162
[0.36686534],8,6,8,6,[4.672143],163
[0.33434048],8,6,8,14,[5.027037],164
[0.4397582],6,6,2,15,[5.904106],165
[0.4265603],6,6,2,4,[5.7650366],166
[0.5489939],6,8,18,6,[5.5884643],167
[0.48789862],7,6,2,7,[5.3779783],168
[0.39065534],6,6,10,13,[5.965657],169
[0.4038876],6,6,5,19,[5.9643106],170
[0.3638721],7,6,7,4,[4.85241],171
[0.3301131],6,6,1,5,[5.984318],172
[0.32381243],6,6,5,10,[5.970545],173
[0.8755382],8,7,8,16,[5.0657444],174
[0.30502415],7,4,14,16,[6.016632],175
[0.30349278],7,4,16,14,[6.0191026],176
[0.347789],4,4,18,14,[5.978806],177
[0.7023016],8,7,19,8,[5.077323],178
[0.8097758],7,7,9,5,[6.029841],179
[0.5770473],7,7,7,5,[5.060075],180
[0.44016597],7,7,13,15,[5.995675],181
[0.4351326],7,7,14,16,[6.0235605],182
[0.36360174],7,7,15,13,[5.990924],183
[0.30091065],7,4,2,17,[5.9632673],184
[0.60714847],7,7,13,7,[5.0599957],185
[0.5280984],7,7,1,16,[6.0195723],186
[0.41679916],7,7,16,2,[5.9859324],187
[0.29960638],7,7,2,16,[5.965787],188
[0.32991222],7,4,16,18,[5.9736204],189
[0.37771472],7,4,19,16,[5.9682746],190
[0.33547026],4,4,3,14,[5.9740496],191
[0.36124343],8,4,8,4,[4.6781397],192
[0.3798665],4,4,9,5,[5.979381],193
[0.32865018],4,4,3,2,[5.859619],194
[0.40317065],7,4,16,9,[5.981016],195
[0.3934602],7,4,7,13,[5.110914],196
[0.32388955],8,4,2,8,[4.8548737],197
[0.32332888],4,4,2,10,[5.7740073],198
[0.27296346],4,4,16,11,[5.9866123],199
[0.27817553],4,4,16,1,[5.969342],200
[0.28221726],2,2,14,12,[5.986513],201
[0.38259855],2,2,6,14,[5.802866],202
[0.410553],2,2,5,6,[5.800646],203
[0.33153403],2,2,10,18,[5.949465],204
[0.32588455],2,2,16,13,[5.979315],205
[0.39677542],2,2,15,9,[5.9777164],206
[0.41057444],7,2,3,7,[5.058942],207
[0.40583366],7,2,7,3,[5.054186],208
[0.49075267],7,2,7,2,[4.5682406],209
[0.42568463],2,2,18,15,[5.9745064],210
[0.42322263],2,2,18,4,[5.916071],211
[0.4778653],2,2,1,6,[5.7423396],212
[0.37542102],7,2,7,9,[5.0278783],213
[0.37299234],2,2,11,4,[5.914793],214
[0.5215225],8,7,17,14,[5.9848537],215
[0.32422158],2,2,13,1,[5.975896],216
[0.31767917],2,2,4,2,[5.4282055],217
[0.26347783],2,2,9,10,[5.9216514],218
[0.3137319],8,2,8,19,[5.0129194],219
[0.30706623],2,2,14,11,[5.9808745],220
[0.28817093],2,2,12,19,[5.968153],221
[0.26231185],2,2,4,5,[5.8229],222
[0.19193715],8,2,8,9,[5.0047646],223
[0.2115679],7,7,9,1,[5.94055],224
[0.2599734],2,2,18,5,[5.9485416],225
[0.22680782],2,4,14,12,[5.970724],226
[0.5414537],7,2,16,2,[5.46824],227
[0.24675782],2,4,5,2,[5.5657787],228
[0.22952375],7,4,9,16,[5.9681025],229
[0.35611027],2,2,3,18,[5.9417963],230
[0.34248233],2,2,9,6,[5.8214636],231
[0.25335583],2,2,19,11,[5.962509],232
[0.23057735],2,2,13,19,[5.9443636],233
[0.42415565],2,2,9,6,[5.8195105],234
[0.3834768],2,2,18,13,[5.939389],235
[0.412565],2,2,5,2,[5.210424],236
[0.4936894],7,2,16,13,[5.9780054],237
[0.4326054],8,2,8,16,[5.0309677],238
[0.27262816],2,2,4,17,[5.8998613],239
[0.32146457],2,2,16,14,[5.9597845],240
[0.22107673],2,2,4,17,[5.8726144],241
