probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.3861232],5,5,6,14,[5.9900227],135
[0.44946215],5,5,11,19,[5.9650784],136
[0.4859639],5,5,14,7,[5.9658957],137
[0.5603654],5,5,8,14,[6.0006866],138
[0.56066126],5,5,3,8,[5.9825697],139
[0.6209586],5,5,10,1,[6.0022535],140
[0.60619175],5,5,7,1,[5.977174],141
[0.5368451],5,5,7,13,[5.974758],142
[0.617226],5,5,9,6,[5.978146],143
[0.6298351],5,5,19,1,[5.976602],144
[0.55403364],5,5,18,3,[5.9535813],145
[0.53144515],5,5,19,6,[5.9684896],146
[0.4324053],5,5,18,12,[5.8363485],147
[0.38039365],5,5,19,17,[5.9296193],148
[0.31018263],5,5,14,12,[5.81128],149
[0.2587579],5,5,3,2,[5.904171],150
[0.22996701],5,5,15,10,[5.9701834],151
[0.19176397],12,12,16,10,[5.811675],152
[0.19584668],12,12,17,13,[5.976678],153
[0.3020083],12,5,5,12,[5.4768095],154
[0.23134539],12,12,12,10,[5.6900735],155
[0.19603136],12,12,7,14,[5.90641],156
[0.24843395],12,12,7,1,[5.92175],157
[0.25427353],12,5,5,3,[5.6958466],158
[0.23152706],12,12,5,17,[5.753205],159
[0.31865025],12,12,3,7,[5.893345],160
[0.3604265],12,12,12,10,[5.5046616],161
[0.3991411],12,12,8,16,[5.856461],162
[0.35729355],12,12,19,6,[5.948225],163
[0.35563868],5,12,10,5,[5.481078],164
[0.304537],12,12,13,19,[5.9501953],165
[0.28975093],12,12,13,16,[5.833755],166
[0.4074612],5,5,1,4,[5.9629655],167
[0.35192],12,5,13,7,[5.9209294],168
[0.3840423],5,5,5,11,[5.3124933],169
[0.3858685],5,5,4,15,[5.9729204],170
[0.4673751],5,5,13,1,[5.9912586],171
[0.46812794],5,5,7,14,[5.9206886],172
[0.42189595],5,5,4,17,[5.964283],173
[0.6467087],12,5,12,19,[5.564958],174
[0.48772407],16,5,11,16,[5.751645],175
[0.32628232],16,5,3,17,[5.9502525],176
[0.34548792],5,16,16,5,[4.960051],177
[0.30918244],16,12,6,13,[5.999569],178
[0.36230588],5,16,3,14,[5.958591],179
[0.33567378],16,16,17,4,[5.9641438],180
[0.3249329],16,16,8,16,[5.477544],181
[0.53609395],16,5,15,4,[5.9725122],182
[0.40732327],16,16,2,4,[5.978413],183
[0.43235475],5,16,2,5,[5.2165394],184
[0.5204165],16,16,3,8,[5.9723663],185
[0.6521529],16,16,3,4,[5.9725513],186
[0.57571226],16,5,6,14,[6.0037556],187
[0.43500054],16,16,19,2,[5.9789295],188
[0.6654908],5,16,1,14,[6.004448],189
[0.5646107],16,16,17,1,[6.001912],190
[0.46705788],16,16,12,4,[5.6512566],191
[0.6424426],16,16,4,9,[5.960541],192
[0.46142298],16,16,9,6,[5.968647],193
