probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.11350055],11,11,1,13,[5.9057536],1
[0.11553697],11,11,7,11,[5.8248367],2
[0.11929101],11,11,3,17,[5.8692775],3
[0.12972212],11,11,11,15,[5.8004017],4
[0.13925551],11,11,19,11,[5.810707],5
[0.1460554],11,11,19,3,[5.9028974],6
[0.1525748],11,11,12,7,[5.910492],7
[0.15931869],11,11,14,8,[5.948585],8
[0.16665855],11,11,13,15,[5.894621],9
[0.17413777],11,11,2,5,[5.9121075],10
[0.18076533],11,11,1,10,[5.8926044],11
[0.17414358],11,11,12,14,[5.9549336],12
[0.18493831],11,11,5,19,[5.9234753],13
[0.18748975],11,11,19,6,[5.8905725],14
[0.18159406],11,11,11,14,[5.797827],15
[0.18084624],11,11,1,3,[5.862715],16
[0.19123541],11,11,14,2,[5.923273],17
[0.18817867],11,11,1,8,[5.8816442],18
[0.19985552],11,11,7,9,[5.928637],19
[0.19641043],11,11,10,12,[5.936125],20
[0.19633307],11,11,10,17,[5.894479],21
[0.20192404],11,11,2,10,[5.903805],22
[0.19568154],11,11,8,6,[5.9064784],23
[0.20052534],11,11,10,15,[5.8991823],24
[0.18707688],11,11,1,8,[5.8675156],25
[0.1831615],11,11,17,13,[5.889079],26
[0.18774347],11,11,4,15,[5.916296],27
[0.1790771],11,11,8,5,[5.9334188],28
[0.17633736],11,11,3,11,[5.754153],29
[0.17932805],11,11,2,3,[5.868611],30
[0.18304612],11,11,2,14,[5.913572],31
[0.18305266],11,11,7,2,[5.8681164],32
[0.1829166],11,11,6,18,[5.902791],33
[0.1779209],11,11,18,14,[5.9425125],34
[0.1748161],11,11,4,17,[5.91016],35
[0.17774174],11,11,14,6,[5.9253864],36
[0.16741607],11,11,1,3,[5.828595],37
[0.1635621],11,11,8,3,[5.8879623],38
[0.16824387],11,11,4,11,[5.8097324],39
[0.16486658],11,11,18,13,[5.925253],40
[0.16885467],11,11,19,12,[5.919827],41
[0.16914612],11,11,5,11,[5.7971544],42
[0.17275035],11,11,11,7,[5.756218],43
[0.17786044],11,11,11,14,[5.793017],44
[0.18543193],11,11,18,14,[5.938845],45
[0.19215935],11,11,1,2,[5.816558],46
[0.19617727],11,11,3,2,[5.839642],47
[0.20963885],11,11,2,9,[5.911331],48
[0.20946215],11,11,15,7,[5.8794723],49
[0.21182263],11,11,7,15,[5.8794637],50
[0.20536843],11,11,3,11,[5.7020226],51
[0.21495691],11,11,19,12,[5.927353],52
[0.21641806],11,11,3,19,[5.8781376],53
[0.21794008],11,11,12,14,[5.952375],54
[0.23404607],11,11,10,6,[5.9184875],55
[0.23216712],11,11,19,6,[5.9027224],56
[0.22933841],11,11,5,11,[5.735362],57
[0.23758477],11,11,11,16,[5.72348],58
[0.24676315],11,11,19,14,[5.9334955],59
[0.25716257],11,11,2,9,[5.9070883],60
[0.254964],11,11,1,2,[5.8228445],61
[0.25964847],11,11,4,8,[5.9557858],62
[0.27238947],11,11,9,11,[5.7027283],63
[0.27143577],11,11,2,13,[5.8835487],64
[0.28790233],11,11,7,9,[5.93758],65
[0.28414616],11,11,10,8,[5.941899],66
[0.28551152],11,11,1,5,[5.895468],67
[0.29234397],11,11,1,4,[5.899432],68
[0.2940331],11,11,11,18,[5.6505365],69
[0.30032143],11,11,12,16,[5.95409],70
[0.30972916],11,11,19,6,[5.9057045],71
[0.30292305],11,11,14,8,[5.9512463],72
[0.30397934],11,11,7,3,[5.873395],73
[0.32395834],11,11,4,10,[5.9644213],74
[0.31942776],11,11,6,2,[5.8615847],75
[0.32534415],11,11,9,11,[5.644005],76
[0.32132047],11,11,8,9,[5.9641166],77
[0.31554106],11,11,3,6,[5.881959],78
[0.3274956],11,11,15,7,[5.901961],79
[0.32848683],11,11,15,7,[5.901492],80
[0.325679],11,11,13,19,[5.932948],81
[0.33520973],11,11,4,19,[5.9445143],82
[0.32825255],11,11,6,2,[5.8578863],83
[0.31756154],11,11,18,13,[5.9511027],84
[0.32235098],11,11,7,6,[5.889658],85
[0.31686562],11,11,7,10,[5.914938],86
[0.30096054],11,11,17,13,[5.939887],87
[0.30840793],11,11,4,17,[5.952297],88
[0.3135439],11,11,9,11,[5.648696],89
[0.30322066],11,11,19,7,[5.8822412],90
[0.29312864],11,11,3,19,[5.876075],91
[0.29355422],11,11,13,15,[5.926497],92
[0.30150563],11,11,16,14,[5.9654827],93
[0.2947941],11,11,2,1,[5.822467],94
[0.29791847],11,11,19,5,[5.9266014],95
[0.29745522],11,11,4,7,[5.9128065],96
[0.2964206],11,11,4,16,[5.971252],97
[0.28542924],11,11,18,16,[5.951374],98
[0.28023455],11,11,4,1,[5.906834],99
[0.2730736],11,11,10,6,[5.912573],100
[0.27341795],11,11,7,4,[5.9024086],101
[0.26175275],11,11,14,10,[5.9539165],102
[0.25001603],11,11,2,13,[5.867875],103
[0.24882792],11,11,7,14,[5.887625],104
[0.23068763],11,11,3,1,[5.841382],105
[0.22953606],11,11,5,3,[5.9072285],106
[0.22813496],11,11,5,12,[5.9608335],107
[0.21568422],11,11,17,12,[5.9384694],108
[0.21568859],11,11,19,13,[5.905445],109
[0.21769607],11,11,18,16,[5.946018],110
[0.20742849],11,11,10,7,[5.861722],111
[0.1985715],11,11,10,17,[5.9292603],112
[0.2019751],11,11,16,18,[5.9440804],113
[0.18407528],11,11,17,13,[5.92967],114
[0.18015148],11,11,16,3,[5.8903246],115
