probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.10888685],12,12,17,1,[5.888896],1
[0.20154683],1,1,1,12,[5.70277],2
[0.3965888],1,1,14,6,[5.9699497],3
[0.5394935],1,1,13,16,[5.981638],4
[0.6236581],1,1,11,3,[5.9877477],5
[0.64627594],1,1,2,8,[5.984617],6
[0.61552775],1,1,11,9,[5.988311],7
[0.5635358],1,1,14,1,[5.431856],8
[0.6517015],1,1,9,10,[6.007001],9
[0.6919859],1,1,9,6,[6.0021186],10
[0.73772854],1,1,7,5,[6.01645],11
[0.7400192],1,1,11,9,[5.9971886],12
[0.7447134],1,1,19,4,[6.018736],13
[0.729745],1,1,15,2,[6.0107],14
[0.7170279],1,1,16,10,[6.01223],15
[0.703923],1,1,7,13,[5.999907],16
[0.6690714],1,1,13,7,[5.99236],17
[0.61575913],1,1,18,12,[5.9217534],18
[0.5334157],1,1,1,2,[5.455203],19
[0.5313123],1,1,6,2,[5.9579716],20
[0.55566275],1,1,11,10,[5.952242],21
[0.54885775],1,1,7,18,[5.99208],22
[0.5258444],1,1,10,15,[5.99815],23
[0.488999],1,1,16,18,[5.9812374],24
[0.49197593],1,1,3,14,[5.9547205],25
[0.43934417],1,1,2,17,[5.926917],26
[0.39357996],1,1,18,3,[5.9764037],27
[0.3707603],1,1,17,14,[5.9022512],28
[0.31698823],1,1,15,4,[5.9863033],29
[0.26388076],1,1,8,9,[5.947776],30
[0.22417872],1,1,18,6,[5.914034],31
[0.19698645],1,1,19,6,[5.9104114],32
[0.17565429],1,1,5,6,[5.891786],33
[0.14555867],1,1,9,17,[5.8808556],34
[0.17218062],6,6,5,3,[5.963564],35
[0.19872698],6,6,7,10,[5.963211],36
[0.24293259],6,6,7,18,[5.9432697],37
[0.2693743],6,6,17,6,[5.5994062],38
[0.3338491],6,6,9,11,[5.9037094],39
[0.3851972],6,6,2,14,[5.877807],40
[0.41224548],6,6,11,19,[5.9560585],41
[0.43386176],6,6,16,19,[5.9862576],42
[0.43317667],6,6,10,13,[5.977994],43
[0.4290848],6,6,14,18,[5.900777],44
[0.4053612],6,6,9,13,[5.922716],45
[0.36618665],6,6,11,17,[5.798812],46
[0.326354],6,6,3,4,[5.9730167],47
[0.28154418],6,6,15,8,[5.981989],48
[0.2240812],17,17,18,4,[5.944639],49
[0.23766135],17,17,18,12,[5.91508],50
[0.2569078],17,17,8,1,[5.957529],51
[0.2348566],17,17,6,3,[5.7806015],52
[0.23340754],17,17,11,6,[5.739496],53
[0.21491727],17,17,8,3,[5.9470706],54
[0.20284665],6,17,13,16,[5.964661],55
[0.1973025],6,6,8,15,[5.9742994],56
[0.19839239],6,6,1,7,[5.945559],57
[0.20156363],6,6,1,19,[5.9612517],58
[0.21156248],6,6,13,7,[5.941796],59
[0.21617873],6,6,1,16,[5.9578314],60
[0.24523814],6,6,3,8,[5.900762],61
[0.19528574],6,6,2,14,[5.889864],62
[0.19856243],6,6,5,4,[5.984313],63
[0.20258698],6,6,5,16,[5.9739733],64
[0.1666645],6,6,9,15,[5.922863],65
[0.16066757],6,6,13,17,[5.8737764],66
[0.1433208],6,6,4,6,[5.723138],67
[0.1859271],6,6,10,12,[5.9647303],68
[0.20725875],6,6,3,8,[5.8149137],69
[0.18180582],6,6,8,16,[5.9126396],70
[0.18009195],6,6,12,9,[5.8999014],71
[0.19919115],6,6,12,10,[5.9635367],72
[0.1518334],3,3,18,10,[5.9364333],73
[0.16346149],6,6,14,12,[5.8919916],74
[0.14921418],3,3,19,1,[5.944562],75
[0.15191677],6,3,6,11,[5.554401],76
[0.15258393],3,3,10,8,[5.847512],77
[0.14961454],6,6,18,4,[5.9442677],78
[0.20047988],6,6,1,2,[5.931802],79
[0.17975841],6,6,11,16,[5.925421],80
[0.197179],8,8,19,17,[5.930757],81
[0.18805692],6,6,10,4,[5.96025],82
[0.22687265],8,6,8,5,[5.7785883],83
[0.26935664],6,8,9,6,[5.3242555],84
[0.24150343],6,8,1,15,[5.9535403],85
[0.28887862],8,8,19,8,[5.646622],86
[0.344054],6,8,14,16,[5.9221153],87
[0.44687897],6,8,18,15,[5.972163],88
[0.42025974],8,8,4,18,[5.9622836],89
[0.5040665],8,8,14,10,[5.9338436],90
[0.48766464],6,8,16,13,[5.967612],91
[0.482985],8,8,19,4,[5.982769],92
[0.4693189],8,8,14,7,[5.929631],93
[0.44424316],6,8,15,11,[5.969738],94
[0.4401743],8,8,5,18,[5.9628158],95
[0.42415142],8,8,10,17,[5.925002],96
[0.3497793],6,8,10,6,[5.0811844],97
[0.25448412],6,8,15,7,[5.9817324],98
[0.20899421],8,8,18,7,[5.9178286],99
